NODE_NAME,NODE_ID,NODE_TYPE,TIMESTAMP,LOG_LEVEL,CLASS_METHOD_LINE,OPERATION,JOB_ID,ACTIONS
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604443,Info,ODLib_startBroker_71,INIT,,""
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604458,Info,grpc.GRPCClientBase_<init>_20,CHANNEL_BUILT,,"HOST=127.0.0.1;PORT=50055;CHANNEL_STATE=IDLE"
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604465,Info,ODLib_startBroker_79,COMPLETE,,""
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604476,Info,grpc.GRPCClientBase_<init>_20,CHANNEL_BUILT,,"HOST=127.0.0.1;PORT=50053;CHANNEL_STATE=IDLE"
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604477,Info,ODLib_startWorker_97,INIT,,""
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604483,Info,ODLib_startWorker_105,COMPLETE,,""
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604509,Info,ODLib_startBroker_71,INIT,,""
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604510,Info,grpc.GRPCClientBase_<init>_20,CHANNEL_BUILT,,"HOST=127.0.0.1;PORT=50051;CHANNEL_STATE=IDLE"
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604512,Info,ODLib_startScheduler_84,INIT,,""
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604518,Info,structures.Worker_<init>_72,INIT,,"WORKER_ID=4f31eb54-742c-4f3b-80c3-cd02d0e75b6f;WORKER_TYPE=LOCAL"
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604519,Info,ODLib_startScheduler_92,COMPLETE,,""
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604520,Info,grpc.GRPCClientBase_<init>_20,CHANNEL_BUILT,,"HOST=odcloud.duckdns.org;PORT=50051;CHANNEL_STATE=IDLE"
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604520,Info,structures.Worker_<init>_72,INIT,,"WORKER_ID=891c940d-9942-4330-963a-5079f50158f5;WORKER_TYPE=CLOUD"
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604522,Info,grpc.GRPCServerBase_start_20,INIT,,"PORT=50051;USING_NETTY=true"
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604530,Info,structures.Worker$enableAutoStatusUpdate$1_invoke_121,REQUEST_WORKER_STATUS_INIT,,"WORKER_ID=891c940d-9942-4330-963a-5079f50158f5;WORKER_TYPE=CLOUD"
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604530,Info,structures.Worker$enableAutoStatusUpdate$1_invoke_127,REQUEST_WORKER_STATUS_OFFLINE,,"WORKER_ID=891c940d-9942-4330-963a-5079f50158f5;WORKER_TYPE=CLOUD"
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604557,Info,grpc.GRPCClientBase_<init>_20,CHANNEL_BUILT,,"HOST=127.0.0.1;PORT=50051;CHANNEL_STATE=IDLE"
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604558,Info,services.worker.WorkerService_<clinit>_32,COMPLETE,,""
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604558,Info,services.worker.WorkerService_start_45,INIT,,""
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604573,Info,grpc.GRPCClientBase_<init>_20,CHANNEL_BUILT,,"HOST=127.0.0.1;PORT=50051;CHANNEL_STATE=IDLE"
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604575,Info,grpc.GRPCServerBase_start_20,INIT,,"PORT=50053;USING_NETTY=true"
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604581,Info,services.worker.WorkerProfiler_start$ODLib_Common_33,START,,""
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604594,Info,services.worker.WorkerService_monitorBattery_89,INIT,,""
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604599,Info,services.broker.multicast.MulticastAdvertiser$start$1_invoke_45,INIT_THREAD,,""
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604603,Info,services.broker.grpc.BrokerGRPCClient$announceMulticast$1_run_153,COMPLETE,,"STATUS_CODE=Success"
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604605,Info,services.broker.multicast.MulticastAdvertiser$start$1_invoke_100,INTERFACE_AVAILABLE,,"INTERFACE=wlan0"
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604607,Info,services.broker.multicast.MulticastAdvertiser$start$1_invoke_53,USING_DEFAULT_INTERFACE,,"ADVERTISE_INTERFACE=name:wlan0 (wlan0)"
HT4BTJT00127,4f31eb54-742c-4f3b-80c3-cd02d0e75b6f,ANDROID,1562093604607,Info,services.worker.WorkerService_monitorBattery_91,COMPLETE,,""
