NODE_NAME,NODE_ID,NODE_TYPE,TIMESTAMP,LOG_LEVEL,CLASS_METHOD_LINE,OPERATION,JOB_ID,ACTIONS
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752656,Info,ODLib_startBroker_71,INIT,,""
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752672,Info,ODLib_startBroker_79,COMPLETE,,""
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752672,Info,ODLib_startWorker_97,INIT,,""
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752684,Info,grpc.GRPCClientBase_<init>_20,CHANNEL_BUILT,,"HOST=127.0.0.1;PORT=50055;CHANNEL_STATE=IDLE"
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752690,Info,ODLib_startWorker_105,COMPLETE,,""
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752694,Info,grpc.GRPCClientBase_<init>_20,CHANNEL_BUILT,,"HOST=127.0.0.1;PORT=50053;CHANNEL_STATE=IDLE"
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752710,Info,grpc.GRPCClientBase_<init>_20,CHANNEL_BUILT,,"HOST=127.0.0.1;PORT=50051;CHANNEL_STATE=IDLE"
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752716,Info,ODLib_startBroker_71,INIT,,""
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752718,Info,structures.Worker_<init>_72,INIT,,"WORKER_ID=8f78f84f-67dc-4bac-94e3-706c4e89fdcd;WORKER_TYPE=LOCAL"
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752720,Info,ODLib_startScheduler_84,INIT,,""
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752722,Info,grpc.GRPCClientBase_<init>_20,CHANNEL_BUILT,,"HOST=odcloud.duckdns.org;PORT=50051;CHANNEL_STATE=IDLE"
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752723,Info,structures.Worker_<init>_72,INIT,,"WORKER_ID=665cbb99-5ed4-4e22-8642-5a273ac46215;WORKER_TYPE=CLOUD"
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752723,Info,ODLib_startScheduler_92,COMPLETE,,""
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752724,Info,grpc.GRPCServerBase_start_20,INIT,,"PORT=50051;USING_NETTY=true"
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752727,Info,structures.Worker$enableAutoStatusUpdate$1_invoke_121,REQUEST_WORKER_STATUS_INIT,,"WORKER_ID=665cbb99-5ed4-4e22-8642-5a273ac46215;WORKER_TYPE=CLOUD"
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752727,Info,structures.Worker$enableAutoStatusUpdate$1_invoke_127,REQUEST_WORKER_STATUS_OFFLINE,,"WORKER_ID=665cbb99-5ed4-4e22-8642-5a273ac46215;WORKER_TYPE=CLOUD"
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752753,Info,grpc.GRPCClientBase_<init>_20,CHANNEL_BUILT,,"HOST=127.0.0.1;PORT=50051;CHANNEL_STATE=IDLE"
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752753,Info,services.worker.WorkerService_<clinit>_32,COMPLETE,,""
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752754,Info,services.worker.WorkerService_start_45,INIT,,""
HT4BVJT00012,8f78f84f-67dc-4bac-94e3-706c4e89fdcd,ANDROID,1562094752764,Info,grpc.GRPCClientBase_<init>_20,CHANNEL_BUILT,,"HOST=127.0.0.1;PORT=50051;CHANNEL_STATE=IDLE"
