ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,compute-europe-west,2027,37,158,124,1,1620
HT4BTJT00078,compute-europe-west,1067,19,270,4,0,688
HT4BTJT00078,compute-europe-west,1008,24,225,3,0,665
HT4BTJT00078,compute-europe-west,1108,17,305,3,1,677
HT4BTJT00078,compute-europe-west,1042,31,307,3,1,676
HT4BTJT00078,compute-europe-west,1124,25,357,4,0,670
HT4BTJT00078,compute-europe-west,1009,27,310,4,0,655
HT4BTJT00078,compute-europe-west,904,31,139,3,0,639
HT4BTJT00078,compute-europe-west,938,19,218,3,1,664
HT4BTJT00078,compute-europe-west,953,21,267,3,0,657
HT4BTJT00078,compute-europe-west,1351,22,632,4,0,676
HT4BTJT00078,compute-europe-west,1169,17,426,3,0,655
HT4BTJT00078,compute-europe-west,1007,27,265,3,0,636
HT4BTJT00078,compute-europe-west,899,26,191,4,0,661
HT4BTJT00078,compute-europe-west,1106,32,155,12,1,822
HT4BTJT00078,compute-europe-west,1004,24,268,3,0,648
HT4BTJT00078,compute-europe-west,1006,29,224,3,1,641
HT4BTJT00078,compute-europe-west,1004,24,309,3,1,645
HT4BTJT00078,compute-europe-west,1109,26,308,3,1,662
HT4BTJT00078,compute-europe-west,1068,16,347,3,1,638
HT4BTJT00078,compute-europe-west,924,13,267,3,0,637
HT4BTJT00078,compute-europe-west,806,7,129,3,0,634
HT4BTJT00078,compute-europe-west,1207,19,220,3,1,625
HT4BTJT00078,compute-europe-west,1004,26,262,3,0,630
HT4BTJT00078,compute-europe-west,1011,14,262,3,1,649
HT4BTJT00078,compute-europe-west,1011,16,311,4,0,648
HT4BTJT00078,compute-europe-west,1312,29,427,6,0,738
HT4BTJT00078,compute-europe-west,900,25,181,3,0,652
