ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,compute-europe-west,2042,28,663,17,4,1294
HT4AVJT02309,compute-europe-west,1659,5,553,7,3,1028
HT4AVJT02309,compute-europe-west,6611,12,5501,17,3,1013
HT4AVJT02309,compute-europe-west,2116,8,1000,16,3,1023
HT4AVJT02309,compute-europe-west,1805,9,740,16,2,993
HT4AVJT02309,compute-europe-west,1602,12,593,6,1,975
HT4AVJT02309,compute-europe-west,1810,7,724,6,2,990
HT4AVJT02309,compute-europe-west,1774,16,680,14,2,999
HT4AVJT02309,compute-europe-west,7384,11,6275,17,2,1017
HT4AVJT02309,compute-europe-west,2091,11,1089,6,1,971
HT4AVJT02309,compute-europe-west,1811,13,766,14,2,987
HT4AVJT02309,compute-europe-west,5618,5,4495,16,2,986
HT4BTJT00078,compute-europe-west,2126,21,742,18,4,1303
HT4BTJT00078,compute-europe-west,1640,14,547,6,2,994
HT4BTJT00078,compute-europe-west,2197,9,1148,16,4,998
HT4BTJT00078,compute-europe-west,2113,8,972,7,3,1025
HT4BTJT00078,compute-europe-west,1803,12,709,15,3,985
HT4BTJT00078,compute-europe-west,4313,9,3202,63,1,1002
HT4BTJT00078,compute-europe-west,1916,9,870,17,2,978
HT4BTJT00078,compute-europe-west,1839,7,726,17,3,994
HT4BTJT00078,compute-europe-west,2009,12,991,6,1,988
HT4BTJT00078,compute-europe-west,2083,9,1045,17,3,989
HT4BTJT00078,compute-europe-west,2230,10,1192,6,3,993
HT4BTJT00078,compute-europe-west,2224,8,1047,16,2,986
HT4BTJT00078,compute-europe-west,2116,17,668,18,4,1295
HT4BTJT00078,compute-europe-west,1708,16,545,5,3,1021
HT4BTJT00078,compute-europe-west,1907,9,798,15,4,1045
HT4BTJT00078,compute-europe-west,1802,8,731,16,2,1002
HT4BTJT00078,compute-europe-west,1801,14,662,15,2,1004
HT4BTJT00078,compute-europe-west,1819,22,777,5,1,977
HT4BTJT00078,compute-europe-west,1869,14,819,6,2,969
HT4BTJT00078,compute-europe-west,1810,31,669,13,2,992
HT4BTJT00078,compute-europe-west,1763,20,698,16,3,1002
HT4BTJT00078,compute-europe-west,1818,22,620,8,2,1135
HT4BTJT00078,compute-europe-west,1802,15,740,17,2,1005
HT4BTJT00078,compute-europe-west,2016,28,706,20,2,987
HT4BTJT00078,compute-europe-west,4679,11,3640,16,3,992
