ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,joaquim-MS-7996,1913,52,290,15,2,1512
HT4AVJT02309,joaquim-MS-7996,1548,19,126,3,1,1387
HT4AVJT02309,joaquim-MS-7996,1616,9,149,7,1,1379
HT4AVJT02309,joaquim-MS-7996,1554,10,138,8,2,1387
HT4AVJT02309,joaquim-MS-7996,1527,4,133,4,0,1364
HT4AVJT02309,joaquim-MS-7996,1616,17,124,5,0,1375
HT4AVJT02309,joaquim-MS-7996,1701,13,166,7,1,1391
HT4AVJT02309,joaquim-MS-7996,1519,17,99,7,1,1375
HT4AVJT02309,joaquim-MS-7996,1612,16,156,7,1,1387
HT4AVJT02309,joaquim-MS-7996,1575,23,154,7,1,1381
HT4AVJT02309,joaquim-MS-7996,1518,8,88,5,1,1374
HT4AVJT02309,joaquim-MS-7996,1480,5,86,7,1,1368
HT4AVJT02309,joaquim-MS-7996,1611,21,155,3,0,1359
HT4BTJT00078,joaquim-MS-7996,1817,23,196,8,1,1492
HT4BTJT00078,joaquim-MS-7996,1614,30,121,6,1,1393
HT4BTJT00078,joaquim-MS-7996,1536,11,139,4,1,1368
HT4BTJT00078,joaquim-MS-7996,1613,16,153,3,1,1365
HT4BTJT00078,joaquim-MS-7996,1714,27,161,7,2,1396
HT4BTJT00078,joaquim-MS-7996,1612,26,181,7,1,1387
HT4BTJT00078,joaquim-MS-7996,1613,19,158,7,1,1381
HT4BTJT00078,joaquim-MS-7996,1618,25,101,6,16,1356
HT4BTJT00078,joaquim-MS-7996,1614,23,172,7,1,1389
HT4BTJT00078,joaquim-MS-7996,1626,13,123,7,1,1383
HT4BTJT00078,joaquim-MS-7996,1622,23,91,5,1,1378
HT4BTJT00078,joaquim-MS-7996,1476,15,88,3,0,1347
HT4BTJT00078,joaquim-MS-7996,1544,14,138,6,1,1381
HT4BTJT00078,joaquim-MS-7996,1817,15,194,8,1,1495
HT4BTJT00078,joaquim-MS-7996,1614,28,127,6,1,1399
HT4BTJT00078,joaquim-MS-7996,1555,18,128,3,1,1377
HT4BTJT00078,joaquim-MS-7996,1614,21,140,2,1,1369
HT4BTJT00078,joaquim-MS-7996,1707,34,174,7,1,1397
HT4BTJT00078,joaquim-MS-7996,1517,12,123,3,1,1364
HT4BTJT00078,joaquim-MS-7996,1610,17,158,4,1,1385
HT4BTJT00078,joaquim-MS-7996,1605,23,104,7,1,1373
HT4BTJT00078,joaquim-MS-7996,1694,24,165,8,1,1393
HT4BTJT00078,joaquim-MS-7996,1618,25,144,7,1,1386
HT4BTJT00078,joaquim-MS-7996,1621,27,104,6,0,1382
HT4BTJT00078,joaquim-MS-7996,1518,24,107,5,1,1379
HT4BTJT00078,joaquim-MS-7996,1600,17,141,6,1,1389
