ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,joaquim-MS-7996,1548,18,41,21,1,1453
HT4BTJT00078,joaquim-MS-7996,1404,21,47,7,0,1314
HT4BTJT00078,joaquim-MS-7996,1422,24,44,6,1,1328
HT4BTJT00078,joaquim-MS-7996,1520,17,54,6,1,1347
HT4BTJT00078,joaquim-MS-7996,1598,59,67,6,1,1401
HT4BTJT00078,joaquim-MS-7996,1535,22,65,6,1,1326
HT4BTJT00078,joaquim-MS-7996,1385,17,28,6,1,1325
HT4BTJT00078,joaquim-MS-7996,1517,18,42,6,1,1336
HT4BTJT00078,joaquim-MS-7996,1402,26,57,5,0,1304
HT4BTJT00078,joaquim-MS-7996,1620,23,210,6,1,1331
HT4BTJT00078,joaquim-MS-7996,1434,9,53,3,1,1327
HT4BTJT00078,joaquim-MS-7996,1419,25,34,5,0,1339
HT4BTJT00078,joaquim-MS-7996,1569,28,47,6,1,1470
HT4BTJT00078,joaquim-MS-7996,1519,22,52,6,0,1338
HT4BTJT00078,joaquim-MS-7996,1395,7,31,2,0,1314
HT4BTJT00078,joaquim-MS-7996,1515,32,68,5,1,1346
HT4BTJT00078,joaquim-MS-7996,1633,15,90,7,1,1408
HT4BTJT00078,joaquim-MS-7996,1515,22,73,6,1,1345
HT4BTJT00078,joaquim-MS-7996,1434,25,34,6,0,1334
HT4BTJT00078,joaquim-MS-7996,1418,21,39,2,0,1298
HT4BTJT00078,joaquim-MS-7996,1622,26,62,6,1,1320
HT4BTJT00078,joaquim-MS-7996,1514,23,88,3,1,1305
HT4BTJT00078,joaquim-MS-7996,1417,17,45,5,1,1318
HT4BTJT00078,joaquim-MS-7996,1417,25,40,5,0,1337
HT4BTJT00078,joaquim-MS-7996,1618,22,35,27,1,1454
HT4BTJT00078,joaquim-MS-7996,1428,31,59,6,0,1329
HT4BTJT00078,joaquim-MS-7996,1423,27,43,5,1,1344
HT4BTJT00078,joaquim-MS-7996,1430,24,64,4,1,1337
HT4BTJT00078,joaquim-MS-7996,1598,15,63,6,1,1397
HT4BTJT00078,joaquim-MS-7996,1545,52,58,5,1,1334
HT4BTJT00078,joaquim-MS-7996,1423,15,28,6,1,1317
HT4BTJT00078,joaquim-MS-7996,1510,64,36,5,1,1324
HT4BTJT00078,joaquim-MS-7996,1415,15,47,6,0,1319
HT4BTJT00078,joaquim-MS-7996,1524,19,69,6,1,1330
HT4BTJT00078,joaquim-MS-7996,1517,26,56,5,0,1331
HT4BTJT00078,joaquim-MS-7996,1517,31,43,5,0,1339
