ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00980,joaquim-MS-7996,2225,14,375,12,3,1689
HT4CWJT00980,joaquim-MS-7996,1811,14,215,4,1,1548
HT4CWJT00980,joaquim-MS-7996,2020,6,387,14,2,1559
HT4CWJT00980,joaquim-MS-7996,2005,15,335,13,3,1589
HT4CWJT00980,joaquim-MS-7996,1989,7,334,17,2,1571
HT4CWJT00980,joaquim-MS-7996,1802,7,195,11,1,1556
HT4CWJT00980,joaquim-MS-7996,1992,19,305,12,2,1569
HT4CWJT00980,joaquim-MS-7996,2009,8,331,11,2,1569
HT4CWJT00980,joaquim-MS-7996,1896,6,247,10,1,1575
HT4CWJT00980,joaquim-MS-7996,1998,7,329,12,2,1565
HT4CWJT00980,joaquim-MS-7996,2029,17,396,5,2,1540
HT4CWJT00980,joaquim-MS-7996,2017,7,331,5,1,1569
HT4BTJT00078,joaquim-MS-7996,2244,12,382,20,3,1765
HT4BTJT00078,joaquim-MS-7996,1821,28,232,4,1,1541
HT4BTJT00078,joaquim-MS-7996,2032,12,390,15,5,1593
HT4BTJT00078,joaquim-MS-7996,2014,9,389,12,3,1579
HT4BTJT00078,joaquim-MS-7996,1993,8,351,13,2,1572
HT4BTJT00078,joaquim-MS-7996,1786,14,206,8,2,1550
HT4BTJT00078,joaquim-MS-7996,1914,12,277,15,1,1570
HT4BTJT00078,joaquim-MS-7996,2019,15,307,12,2,1577
HT4BTJT00078,joaquim-MS-7996,2000,59,354,14,3,1556
HT4BTJT00078,joaquim-MS-7996,1926,11,250,10,2,1561
HT4BTJT00078,joaquim-MS-7996,2016,16,330,5,2,1551
HT4BTJT00078,joaquim-MS-7996,2037,10,342,12,2,1563
HT4BTJT00078,joaquim-MS-7996,1961,12,334,19,3,1562
HT4BTJT00078,joaquim-MS-7996,2214,13,367,16,4,1696
HT4BTJT00078,joaquim-MS-7996,1911,10,227,5,2,1580
HT4BTJT00078,joaquim-MS-7996,2113,10,431,15,5,1579
HT4BTJT00078,joaquim-MS-7996,2014,14,354,16,4,1575
HT4BTJT00078,joaquim-MS-7996,2005,20,325,12,2,1568
HT4BTJT00078,joaquim-MS-7996,1783,10,211,4,1,1536
HT4BTJT00078,joaquim-MS-7996,1915,10,267,12,2,1565
HT4BTJT00078,joaquim-MS-7996,1910,10,261,11,2,1565
HT4BTJT00078,joaquim-MS-7996,2102,8,364,14,2,1612
HT4BTJT00078,joaquim-MS-7996,1958,11,331,9,2,1534
HT4BTJT00078,joaquim-MS-7996,2024,10,354,5,1,1541
HT4BTJT00078,joaquim-MS-7996,2035,8,393,19,2,1552
HT4BTJT00078,joaquim-MS-7996,1947,10,340,8,1,1530
