ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,HT4AVJT02309,9102,13,109,25,5,8986
HT4AVJT02309,HT4AVJT02309,8406,12,34,16,2,8347
HT4AVJT02309,HT4AVJT02309,8407,14,72,10,3,8342
HT4AVJT02309,HT4AVJT02309,8355,11,65,11,3,8294
HT4AVJT02309,HT4AVJT02309,8394,18,35,8,2,8333
HT4AVJT02309,HT4AVJT02309,8453,10,32,13,3,8397
HT4AVJT02309,HT4AVJT02309,8408,15,26,11,2,8354
HT4BTJT00078,HT4BTJT00078,9255,15,86,26,2,9127
HT4BTJT00078,HT4BTJT00078,8515,32,76,13,3,8391
HT4BTJT00078,HT4BTJT00078,8417,24,118,14,3,8295
HT4BTJT00078,HT4BTJT00078,8562,19,65,19,2,8461
HT4BTJT00078,HT4BTJT00078,8588,20,69,16,3,8517
HT4BTJT00078,HT4BTJT00078,8668,15,48,11,2,8598
HT4BTJT00078,HT4BTJT00078,8588,29,42,21,3,8502
HT4BTJT00078,HT4BTJT00078,9692,21,85,23,5,9557
HT4BTJT00078,HT4BTJT00078,8674,18,110,9,2,8573
HT4BTJT00078,HT4BTJT00078,8521,18,85,15,2,8438
HT4BTJT00078,HT4BTJT00078,8604,10,31,21,4,8541
HT4BTJT00078,HT4BTJT00078,8787,15,40,18,3,8711
HT4BTJT00078,HT4BTJT00078,8861,68,26,17,3,8750
HT4BTJT00078,HT4BTJT00078,8659,17,71,9,1,8596
