ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,9211,34,36,47,3,9098
HT4BTJT00078,HT4BTJT00078,8520,25,65,26,4,8408
HT4BTJT00078,HT4BTJT00078,9074,15,54,9,3,8994
HT4BTJT00078,HT4BTJT00078,8443,32,61,23,3,8327
HT4BTJT00078,HT4BTJT00078,8436,12,24,18,2,8390
HT4BTJT00078,HT4BTJT00078,8310,13,59,12,3,8236
HT4BTJT00078,HT4BTJT00078,9504,18,60,22,2,9438
HT4BTJT00078,HT4BTJT00078,8584,15,50,10,1,8507
HT4BTJT00078,HT4BTJT00078,8498,21,53,9,2,8413
HT4BTJT00078,HT4BTJT00078,8492,25,52,15,2,8395
HT4BTJT00078,HT4BTJT00078,8536,16,26,18,3,8481
HT4BTJT00078,HT4BTJT00078,8411,13,51,13,3,8331
HT4BTJT00078,HT4BTJT00078,9507,19,20,29,2,9438
HT4BTJT00078,HT4BTJT00078,8724,18,49,10,2,8644
HT4BTJT00078,HT4BTJT00078,8572,28,72,25,10,8440
HT4BTJT00078,HT4BTJT00078,8447,18,50,7,2,8373
HT4BTJT00078,HT4BTJT00078,8788,12,57,8,3,8706
HT4BTJT00078,HT4BTJT00078,8415,16,51,13,2,8335
