ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00980,HT4CWJT00980,9447,14,108,17,5,9337
HT4CWJT00980,HT4CWJT00980,8816,21,110,20,4,8692
HT4CWJT00980,HT4CWJT00980,8697,6,99,19,14,8587
HT4CWJT00980,HT4CWJT00980,8600,13,90,12,5,8516
HT4CWJT00980,HT4CWJT00980,8591,7,94,16,6,8507
HT4CWJT00980,HT4CWJT00980,8670,7,88,13,4,8599
HT4CWJT00980,HT4CWJT00980,8745,19,166,15,6,8569
HT4BTJT00078,HT4BTJT00078,9432,13,143,27,3,9280
HT4BTJT00078,HT4BTJT00078,8605,18,108,16,3,8459
HT4BTJT00078,HT4BTJT00078,8572,9,128,37,6,8429
HT4BTJT00078,HT4BTJT00078,8613,14,101,16,4,8513
HT4BTJT00078,HT4BTJT00078,8673,12,80,18,5,8561
HT4BTJT00078,HT4BTJT00078,8781,9,91,15,4,8696
HT4BTJT00078,HT4BTJT00078,8722,14,120,20,6,8596
HT4BTJT00078,HT4BTJT00078,9911,15,141,28,10,9745
HT4BTJT00078,HT4BTJT00078,8806,16,97,15,3,8711
HT4BTJT00078,HT4BTJT00078,8737,19,128,15,5,8604
HT4BTJT00078,HT4BTJT00078,8937,21,80,19,5,8814
HT4BTJT00078,HT4BTJT00078,8824,15,106,18,4,8723
HT4BTJT00078,HT4BTJT00078,8948,12,77,13,4,8875
HT4BTJT00078,HT4BTJT00078,8924,16,123,23,6,8786
