ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,2171,16,398,17,8,1598
HT4BTJT00127,joaquim-MS-7996,2170,65,455,16,8,1624
HT4CWJT00250,joaquim-MS-7996,2098,41,498,4,1,1546
HT4BVJT00003,joaquim-MS-7996,1984,66,357,9,2,1536
HT4BVJT00189,joaquim-MS-7996,2156,67,500,15,7,1551
HT4CWJT00250,joaquim-MS-7996,1864,77,221,9,1,1544
HT4BTJT00127,joaquim-MS-7996,1850,11,309,4,1,1515
HT4CWJT00250,joaquim-MS-7996,1941,9,348,27,1,1546
HT4BVJT00003,joaquim-MS-7996,3083,71,264,1216,2,1511
HT4BVJT00189,joaquim-MS-7996,1962,50,358,8,2,1532
HT4BVJT00189,joaquim-MS-7996,2036,11,428,15,8,1546
HT4CWJT00250,joaquim-MS-7996,1959,10,356,18,3,1566
HT4BTJT00127,joaquim-MS-7996,2077,31,410,17,2,1525
HT4BTJT00127,joaquim-MS-7996,1973,12,302,12,2,1586
HT4BTJT00127,joaquim-MS-7996,1940,24,356,11,1,1530
HT4CWJT00250,joaquim-MS-7996,1928,44,295,4,1,1538
HT4CWJT00250,joaquim-MS-7996,3139,22,210,1379,0,1515
HT4CWJT00250,joaquim-MS-7996,2207,12,269,345,0,1538
HT4BTJT00127,joaquim-MS-7996,3211,15,247,1366,0,1516
HT4CWJT00250,joaquim-MS-7996,1922,9,331,31,1,1528
HT4BTJT00127,joaquim-MS-7996,1961,9,320,13,2,1593
HT4BVJT00189,joaquim-MS-7996,3211,38,449,1206,2,1527
HT4BVJT00003,joaquim-MS-7996,3489,44,342,1507,1,1554
HT4BVJT00189,joaquim-MS-7996,3100,44,575,975,1,1519
HT4BVJT00189,joaquim-MS-7996,4554,13,736,2330,1,1522
HT4BVJT00189,joaquim-MS-7996,5529,42,364,3600,1,1519
HT4BVJT00189,joaquim-MS-7996,1899,48,285,11,2,1537
HT4BVJT00189,joaquim-MS-7996,2047,15,401,17,3,1616
HT4BVJT00189,joaquim-MS-7996,3119,53,313,1224,1,1517
HT4BVJT00003,joaquim-MS-7996,2014,30,365,13,6,1538
HT4BVJT00189,joaquim-MS-7996,2061,12,371,15,2,1629
HT4BVJT00003,joaquim-MS-7996,1958,44,291,16,1,1525
HT4CWJT00250,joaquim-MS-7996,1939,43,278,11,2,1548
HT4BVJT00003,joaquim-MS-7996,2753,17,363,781,1,1527
HT4BVJT00003,joaquim-MS-7996,2279,10,229,489,0,1520
HT4BVJT00003,joaquim-MS-7996,1984,11,378,13,6,1551
HT4BVJT00189,joaquim-MS-7996,2097,14,478,66,1,1523
HT4BVJT00189,joaquim-MS-7996,1866,10,294,9,5,1552
