ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,HT4AVJT02309,9765,10,58,12,2,9689
HT4AVJT02309,HT4AVJT02309,18533,15,42,8762,5,9719
HT4AVJT02309,HT4AVJT02309,28374,13,44,18174,12,10148
HT4AVJT02309,HT4BVJT00003,7406,11,445,12,3,6926
HT4AVJT02309,HT4BVJT00003,16213,5,705,6565,2,8934
HT4AVJT02309,HT4BVJT00003,25168,9,688,15462,4,9037
HT4AVJT02309,HT4BTJT00030,7211,16,218,29,6,6946
HT4AVJT02309,HT4BTJT00030,15974,13,232,6774,3,8979
HT4AVJT02309,compute-europe-west,1188,17,386,4,1,777
HT4AVJT02309,compute-europe-west,1913,4,496,651,2,757
HT4AVJT02309,compute-europe-west,2215,5,145,1286,1,760
HT4AVJT02309,compute-europe-west,2518,9,131,1612,0,735
HT4AVJT02309,compute-europe-west,2766,6,121,1951,1,675
HT4AVJT02309,compute-europe-west,3091,7,214,2183,0,685
HT4AVJT02309,compute-europe-west,1876,4,657,543,0,670
HT4AVJT02309,compute-europe-west,2175,6,1117,378,0,670
HT4AVJT02309,joaquim-MS-7996,1673,15,166,10,3,1474
HT4AVJT02309,joaquim-MS-7996,2058,11,96,484,0,1464
HT4AVJT02309,joaquim-MS-7996,3102,9,168,1473,1,1457
HT4AVJT02309,joaquim-MS-7996,3693,5,160,2117,1,1407
HT4AVJT02309,joaquim-MS-7996,4274,16,109,2729,1,1419
HT4AVJT02309,joaquim-MS-7996,5560,5,92,4049,1,1410
HT4AVJT02309,joaquim-MS-7996,6519,11,175,4923,1,1413
HT4AVJT02309,joaquim-MS-7996,7871,10,145,6325,0,1399
HT4AVJT02309,joaquim-MS-7996,9115,5,73,7630,1,1404
HT4AVJT02309,joaquim-MS-7996,10392,10,69,8890,1,1420
HT4AVJT02309,joaquim-MS-7996,11422,10,82,9920,1,1408
HT4AVJT02309,joaquim-MS-7996,12687,5,64,11206,1,1410
HT4AVJT02309,compute-europe-west,1122,5,428,3,0,686
HT4AVJT02309,compute-europe-west,1225,5,251,288,1,677
HT4AVJT02309,compute-europe-west,1123,14,360,3,1,671
HT4AVJT02309,compute-europe-west,1156,14,447,4,1,681
HT4AVJT02309,compute-europe-west,7180,5,6495,2,1,676
HT4AVJT02309,compute-europe-west,11484,5,9895,875,2,711
HT4AVJT02309,compute-europe-west,8412,8,7719,3,0,681
HT4AVJT02309,compute-europe-west,9730,21,8626,379,0,698
HT4AVJT02309,compute-europe-west,10255,17,9089,420,1,712
HT4AVJT02309,compute-europe-west,10346,12,8065,1579,0,700
HT4AVJT02309,compute-europe-west,6202,4,5208,304,1,684
HT4AVJT02309,compute-europe-west,13485,8,6928,5826,1,707
HT4AVJT02309,compute-europe-west,9231,9,5773,2761,1,680
HT4AVJT02309,compute-europe-west,9667,21,5607,3354,1,687
HT4AVJT02309,compute-europe-west,13442,12,5553,7177,1,696
HT4AVJT02309,compute-europe-west,7801,6,4826,2223,0,689
HT4AVJT02309,compute-europe-west,9752,8,4976,4036,1,695
HT4AVJT02309,compute-europe-west,10332,10,5006,4614,1,693
HT4AVJT02309,compute-europe-west,9199,15,3310,5185,0,691
HT4AVJT02309,compute-europe-west,8068,11,843,6530,0,681
HT4AVJT02309,compute-europe-west,9023,11,487,7832,0,682
HT4AVJT02309,compute-europe-west,9278,15,149,8434,1,673
HT4AVJT02309,compute-europe-west,9428,8,218,8530,1,668
HT4AVJT02309,compute-europe-west,9762,6,150,8937,0,669
HT4AVJT02309,compute-europe-west,10244,8,134,9432,0,668
HT4AVJT02309,compute-europe-west,10180,10,307,9188,1,669
HT4AVJT02309,compute-europe-west,9943,10,226,9043,0,668
HT4AVJT02309,compute-europe-west,9679,24,291,8706,1,654
HT4AVJT02309,compute-europe-west,9391,10,260,8452,1,665
HT4AVJT02309,joaquim-MS-7996,1619,19,145,7,1,1448
HT4AVJT02309,joaquim-MS-7996,2128,12,156,532,1,1419
HT4AVJT02309,joaquim-MS-7996,3235,18,44,1757,0,1412
HT4AVJT02309,joaquim-MS-7996,3538,46,134,1832,0,1422
HT4AVJT02309,joaquim-MS-7996,4692,8,96,3172,1,1418
HT4AVJT02309,joaquim-MS-7996,5528,9,130,3935,0,1418
HT4AVJT02309,joaquim-MS-7996,6833,13,102,5319,1,1403
HT4AVJT02309,joaquim-MS-7996,7866,9,98,6320,0,1435
HT4AVJT02309,joaquim-MS-7996,8901,17,80,7361,0,1442
HT4AVJT02309,joaquim-MS-7996,9862,7,98,8336,0,1411
HT4AVJT02309,HT4BTJT00030,9344,13,281,20,4,9026
HT4AVJT02309,HT4BTJT00030,18178,14,230,9014,1,8944
HT4AVJT02309,HT4BTJT00030,26336,4,179,17004,2,9149
HT4AVJT02309,HT4BTJT00030,35487,6,236,26110,3,9163
HT4AVJT02309,HT4BTJT00030,43906,8,341,34359,3,9236
HT4AVJT02309,compute-europe-west,4424,10,3740,3,0,670
HT4AVJT02309,compute-europe-west,7836,5,6645,515,0,670
HT4AVJT02309,compute-europe-west,6331,12,5639,2,1,668
HT4AVJT02309,compute-europe-west,6900,15,5659,542,0,679
HT4AVJT02309,compute-europe-west,7797,24,5449,1592,0,676
HT4AVJT02309,compute-europe-west,6926,8,5111,1123,0,663
HT4AVJT02309,compute-europe-west,7482,27,4610,2078,0,674
HT4AVJT02309,compute-europe-west,4522,21,3838,3,0,660
HT4AVJT02309,compute-europe-west,7824,42,4436,2668,0,674
HT4AVJT02309,compute-europe-west,8871,35,4132,4040,1,664
HT4AVJT02309,compute-europe-west,7545,5,3048,3831,1,660
HT4AVJT02309,compute-europe-west,6672,14,2708,3274,0,671
HT4AVJT02309,compute-europe-west,6294,8,974,4616,0,664
HT4AVJT02309,compute-europe-west,7408,26,1596,5114,1,671
HT4AVJT02309,compute-europe-west,6747,44,1427,4524,1,677
HT4AVJT02309,compute-europe-west,7568,11,1186,5638,1,676
HT4AVJT02309,joaquim-MS-7996,1578,16,122,5,1,1434
HT4AVJT02309,joaquim-MS-7996,1618,5,148,7,1,1452
HT4AVJT02309,joaquim-MS-7996,2821,17,65,1274,0,1445
HT4AVJT02309,joaquim-MS-7996,3747,7,124,2190,1,1424
HT4AVJT02309,joaquim-MS-7996,5046,7,87,3517,0,1431
HT4AVJT02309,joaquim-MS-7996,4679,16,118,3084,0,1405
HT4AVJT02309,joaquim-MS-7996,4709,37,113,3148,0,1414
HT4AVJT02309,joaquim-MS-7996,6134,55,114,4459,0,1403
HT4AVJT02309,joaquim-MS-7996,6011,16,210,4391,1,1405
HT4AVJT02309,joaquim-MS-7996,7455,12,204,5777,0,1404
HT4AVJT02309,joaquim-MS-7996,8661,9,77,7101,0,1412
HT4AVJT02309,compute-europe-west,1220,49,352,2,0,657
HT4AVJT02309,compute-europe-west,1466,7,343,496,1,658
HT4AVJT02309,compute-europe-west,2077,6,394,991,1,683
HT4AVJT02309,compute-europe-west,1799,6,251,791,1,666
HT4AVJT02309,compute-europe-west,2069,32,222,1158,1,674
HT4AVJT02309,compute-europe-west,2686,13,343,1648,1,675
HT4AVJT02309,compute-europe-west,3262,7,270,2315,1,663
HT4AVJT02309,compute-europe-west,4525,11,320,3518,1,670
HT4AVJT02309,compute-europe-west,3748,13,193,2876,0,664
HT4AVJT02309,compute-europe-west,3903,50,299,2890,1,656
HT4AVJT02309,compute-europe-west,4449,6,278,3497,7,654
HT4AVJT02309,compute-europe-west,4420,47,174,3522,1,668
HT4AVJT02309,compute-europe-west,4644,18,95,3865,1,659
HT4AVJT02309,compute-europe-west,5159,17,89,4391,1,656
HT4AVJT02309,compute-europe-west,5765,9,143,4935,1,673
HT4AVJT02309,compute-europe-west,6348,9,115,5546,1,670
HT4AVJT02309,compute-europe-west,6114,6,267,5152,1,664
HT4AVJT02309,joaquim-MS-7996,1620,8,113,5,1,1444
HT4AVJT02309,joaquim-MS-7996,2793,8,96,1266,1,1416
HT4AVJT02309,joaquim-MS-7996,4017,4,77,2510,1,1426
HT4AVJT02309,joaquim-MS-7996,2993,13,132,1440,1,1403
HT4AVJT02309,joaquim-MS-7996,4183,4,107,2659,0,1416
HT4AVJT02309,joaquim-MS-7996,4960,20,112,3425,1,1399
HT4AVJT02309,joaquim-MS-7996,5834,41,148,4239,0,1398
HT4AVJT02309,compute-europe-west,1135,5,454,2,1,667
HT4AVJT02309,compute-europe-west,2959,26,388,1870,1,667
HT4AVJT02309,compute-europe-west,2271,30,342,1233,1,664
HT4AVJT02309,compute-europe-west,1640,50,233,611,0,656
HT4AVJT02309,compute-europe-west,3236,4,148,2390,1,662
HT4AVJT02309,compute-europe-west,2476,47,374,1390,0,657
HT4AVJT02309,compute-europe-west,2435,13,227,1526,0,661
HT4AVJT02309,compute-europe-west,1870,4,331,855,1,664
HT4AVJT02309,compute-europe-west,1309,7,400,234,0,669
HT4AVJT02309,compute-europe-west,1143,14,263,114,1,668
HT4AVJT02309,compute-europe-west,1519,23,93,750,1,653
HT4AVJT02309,compute-europe-west,1050,9,372,3,0,658
HT4AVJT02309,compute-europe-west,1563,8,379,508,0,663
HT4AVJT02309,compute-europe-west,1072,5,327,3,0,665
HT4AVJT02309,compute-europe-west,2206,21,402,1105,1,677
HT4AVJT02309,compute-europe-west,1411,26,236,465,0,674
HT4AVJT02309,compute-europe-west,1614,6,562,372,1,666
HT4AVJT02309,compute-europe-west,1870,9,470,722,1,673
HT4AVJT02309,compute-europe-west,2202,15,456,1058,1,665
HT4AVJT02309,compute-europe-west,2505,44,597,1192,1,673
HT4AVJT02309,compute-europe-west,1152,9,478,3,0,658
HT4AVJT02309,compute-europe-west,1766,21,1061,3,1,674
HT4AVJT02309,compute-europe-west,2357,6,959,642,0,659
HT4AVJT02309,compute-europe-west,1600,14,490,424,0,664
HT4AVJT02309,compute-europe-west,1826,38,744,311,0,667
HT4AVJT02309,compute-europe-west,1082,10,406,3,0,661
HT4AVJT02309,compute-europe-west,2496,6,914,801,1,678
HT4AVJT02309,compute-europe-west,2205,20,308,1200,1,676
HT4AVJT02309,compute-europe-west,1053,13,377,2,1,662
HT4AVJT02309,compute-europe-west,946,5,283,2,1,652
