ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,HT4APJT01039,9017,28,67,16,4,8902
HT4BTJT00127,HT4CWJT00250,8948,10,79,13,2,8830
HT4BTJT00127,HT4AVJT02309,8932,14,54,20,4,8836
HT4BTJT00127,compute-europe-west,906,28,252,3,0,612
HT4BTJT00127,compute-europe-west,1505,12,337,525,0,635
HT4BTJT00127,compute-europe-west,2065,9,387,1077,1,589
HT4BTJT00127,compute-europe-west,2547,16,263,1668,1,598
HT4BTJT00127,compute-europe-west,2958,23,73,2229,0,579
HT4BTJT00127,compute-europe-west,2844,52,91,2112,0,586
HT4BTJT00127,compute-europe-west,3146,24,97,2450,0,576
HT4BTJT00127,compute-europe-west,3696,21,110,2954,0,608
HT4BTJT00127,compute-europe-west,3880,41,339,2907,0,588
HT4BTJT00127,compute-europe-west,4111,49,178,3280,1,582
HT4BTJT00127,compute-europe-west,2803,33,177,1985,0,596
HT4BTJT00127,compute-europe-west,3020,6,129,2296,0,584
HT4BTJT00127,joaquim-MS-7996,1437,6,40,6,1,1377
HT4BTJT00127,joaquim-MS-7996,1850,51,66,281,0,1366
HT4BTJT00127,joaquim-MS-7996,2732,33,59,1268,0,1366
HT4BTJT00127,joaquim-MS-7996,3240,13,66,1822,0,1340
HT4BTJT00127,joaquim-MS-7996,3734,11,61,2294,0,1354
HT4BTJT00127,joaquim-MS-7996,4920,22,44,3511,1,1348
HT4BTJT00127,compute-europe-west,893,18,294,2,1,579
HT4BTJT00127,compute-europe-west,764,53,130,2,1,571
HT4BTJT00127,compute-europe-west,1168,21,89,458,0,595
HT4BTJT00127,compute-europe-west,1636,15,175,865,1,576
HT4BTJT00127,compute-europe-west,1931,4,87,1255,0,580
HT4BTJT00127,compute-europe-west,1964,16,176,1178,0,590
HT4BTJT00127,compute-europe-west,1434,6,296,523,1,605
HT4BTJT00127,compute-europe-west,1118,43,172,297,0,599
HT4BTJT00127,compute-europe-west,968,31,296,2,1,629
HT4BTJT00127,compute-europe-west,873,24,252,2,0,586
HT4BTJT00127,compute-europe-west,1397,8,290,510,0,590
HT4BTJT00127,compute-europe-west,1751,16,100,1045,0,580
HT4BTJT00127,compute-europe-west,2274,23,87,1583,0,578
