ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,10616,7,83,15,4,10526
HT4BTJT00078,HT4BTJT00078,19598,8,51,9615,3,9924
HT4BTJT00078,HT4BTJT00078,33354,11,161,19082,14,14114
HT4BTJT00078,HT4CWJT00250,18873,8,1023,8926,5,8863
HT4BTJT00078,HT4CWJT00250,9871,47,785,43,7,8981
HT4BTJT00078,HT4CWJT00250,36575,6,1039,26528,4,8993
HT4BTJT00078,HT4CWJT00250,27362,9,716,17707,2,8931
HT4BTJT00078,HT4CWJT00250,45566,14,661,35481,5,9419
HT4BTJT00078,compute-europe-west,2110,13,873,17,4,1235
HT4BTJT00078,compute-europe-west,3014,7,1046,982,4,1026
HT4BTJT00078,compute-europe-west,3509,19,581,1974,2,976
HT4BTJT00078,compute-europe-west,4300,42,3275,6,2,972
HT4BTJT00078,compute-europe-west,18856,16,17817,12,2,994
HT4BTJT00078,compute-europe-west,20306,5,19276,6,2,1025
HT4BTJT00078,compute-europe-west,24692,14,21543,2165,2,964
HT4BTJT00078,compute-europe-west,26275,13,21522,3737,3,1010
HT4BTJT00078,compute-europe-west,21344,16,18463,1883,1,980
HT4BTJT00078,compute-europe-west,17396,46,16332,5,1,1001
HT4BTJT00078,compute-europe-west,17938,8,16293,659,1,975
HT4BTJT00078,compute-europe-west,48904,5,23070,24839,3,973
HT4BTJT00078,compute-europe-west,29747,13,19329,9450,2,952
HT4BTJT00078,compute-europe-west,39256,9,20569,17665,2,962
HT4BTJT00078,compute-europe-west,16698,52,14305,1344,1,996
HT4BTJT00078,compute-europe-west,23496,9,16640,5877,1,957
HT4BTJT00078,compute-europe-west,39612,8,20011,18626,2,956
HT4BTJT00078,compute-europe-west,19351,18,15595,2785,2,952
HT4BTJT00078,compute-europe-west,35339,12,19231,15114,2,967
HT4BTJT00078,compute-europe-west,29433,7,18506,9930,2,965
HT4BTJT00078,compute-europe-west,22599,4,15034,6578,1,963
HT4BTJT00078,compute-europe-west,34423,16,17388,16022,2,958
HT4BTJT00078,compute-europe-west,19193,9,12751,5461,1,966
HT4BTJT00078,compute-europe-west,20880,19,12483,7420,1,943
HT4BTJT00078,compute-europe-west,36027,14,14641,20403,2,964
HT4BTJT00078,compute-europe-west,21604,5,12361,8288,1,948
HT4BTJT00078,compute-europe-west,31831,11,14017,16706,3,961
HT4BTJT00078,compute-europe-west,25400,4,12972,11446,2,962
HT4BTJT00078,compute-europe-west,33510,7,13055,19484,1,957
HT4BTJT00078,compute-europe-west,14072,12,8397,4713,1,947
HT4BTJT00078,compute-europe-west,20699,11,10944,8797,1,951
HT4BTJT00078,compute-europe-west,24629,8,11288,12369,1,948
HT4BTJT00078,compute-europe-west,16360,7,7485,7837,2,949
HT4BTJT00078,compute-europe-west,24435,24,9264,14198,2,941
HT4BTJT00078,compute-europe-west,19911,12,8153,10767,2,943
HT4BTJT00078,compute-europe-west,32188,10,9337,21809,2,959
HT4BTJT00078,compute-europe-west,30760,12,8624,21155,2,947
HT4BTJT00078,compute-europe-west,21982,64,7693,13277,1,940
HT4BTJT00078,compute-europe-west,33395,34,9258,23140,2,964
HT4BTJT00078,compute-europe-west,34329,40,9397,23930,2,954
HT4BTJT00078,compute-europe-west,34471,16,8035,25451,2,957
HT4BTJT00078,compute-europe-west,28087,9,4791,22327,1,950
HT4BTJT00078,compute-europe-west,33431,9,5532,26919,2,955
HT4BTJT00078,compute-europe-west,32072,15,4885,26259,1,947
HT4BTJT00078,joaquim-MS-7996,2808,9,1056,17,5,1727
HT4BTJT00078,joaquim-MS-7996,4071,48,1013,1396,1,1636
