ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,9678,54,34,10,4,9571
HT4BTJT00078,HT4BTJT00078,18496,11,82,8611,2,9842
HT4BTJT00078,HT4BTJT00078,28329,23,120,18205,6,10008
HT4BTJT00078,HT4BTJT00078,36479,59,56,26509,2,9877
HT4BTJT00078,HT4BTJT00078,46388,11,59,36333,2,10024
HT4BTJT00078,HT4BTJT00030,9382,14,293,28,11,9022
HT4BTJT00078,HT4BTJT00030,18247,17,251,8884,3,9086
HT4BTJT00078,compute-europe-west,1152,12,409,5,2,711
HT4BTJT00078,compute-europe-west,1209,8,138,353,1,707
HT4BTJT00078,compute-europe-west,1787,13,170,887,1,713
HT4BTJT00078,compute-europe-west,2025,16,152,1137,1,713
HT4BTJT00078,compute-europe-west,2253,7,170,1400,0,659
HT4BTJT00078,compute-europe-west,2454,7,251,1543,0,652
HT4BTJT00078,compute-europe-west,2798,47,419,1672,1,658
HT4BTJT00078,compute-europe-west,2621,8,1939,3,0,666
HT4BTJT00078,compute-europe-west,3116,8,2429,3,0,672
HT4BTJT00078,compute-europe-west,2234,40,1512,6,0,674
HT4BTJT00078,compute-europe-west,1915,9,1054,195,0,662
HT4BTJT00078,compute-europe-west,2150,12,1278,192,1,666
HT4BTJT00078,compute-europe-west,2089,42,1319,50,1,676
HT4BTJT00078,compute-europe-west,2580,14,1898,3,1,663
HT4BTJT00078,compute-europe-west,5221,46,4508,3,1,660
HT4BTJT00078,compute-europe-west,11108,14,8350,2092,1,658
HT4BTJT00078,compute-europe-west,6689,51,5973,3,1,655
HT4BTJT00078,compute-europe-west,10296,14,7721,1901,1,658
HT4BTJT00078,compute-europe-west,8859,12,7532,655,0,663
HT4BTJT00078,compute-europe-west,11216,14,7821,2726,0,656
HT4BTJT00078,compute-europe-west,9022,15,7065,1275,1,663
HT4BTJT00078,compute-europe-west,6569,9,5903,3,0,653
HT4BTJT00078,compute-europe-west,9962,16,6823,2456,1,664
HT4BTJT00078,compute-europe-west,9724,47,5899,3121,1,655
HT4BTJT00078,joaquim-MS-7996,1760,17,227,7,3,1481
HT4BTJT00078,joaquim-MS-7996,2099,10,171,451,1,1457
HT4BTJT00078,joaquim-MS-7996,3409,10,160,1815,1,1421
HT4BTJT00078,joaquim-MS-7996,4589,8,62,3103,0,1418
HT4BTJT00078,joaquim-MS-7996,5970,9,75,4436,0,1447
HT4BTJT00078,joaquim-MS-7996,7235,12,130,5653,1,1434
HT4BTJT00078,joaquim-MS-7996,7353,51,153,5701,1,1429
HT4BTJT00078,joaquim-MS-7996,7447,8,205,5815,1,1415
HT4BTJT00078,joaquim-MS-7996,8484,20,364,6655,1,1439
HT4BTJT00078,joaquim-MS-7996,9131,14,210,7489,0,1418
HT4BTJT00078,joaquim-MS-7996,10319,21,218,8648,1,1430
HT4BTJT00078,joaquim-MS-7996,11354,9,253,9690,1,1411
HT4BTJT00078,compute-europe-west,2920,59,987,1211,1,656
HT4BTJT00078,joaquim-MS-7996,12518,61,203,10840,0,1408
HT4BTJT00078,joaquim-MS-7996,13873,66,280,12096,1,1425
