ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,HT4CWJT00250,9988,54,372,40,4,9546
HT4AVJT02309,HT4BVJT00003,10109,16,185,34,3,9790
HT4AVJT02309,HT4CWJT00250,17817,9,209,8633,2,8961
HT4AVJT02309,compute-europe-west,1413,15,512,12,2,861
HT4AVJT02309,HT4CWJT00980,10163,8,431,31,9,9677
HT4AVJT02309,HT4CWJT00980,19497,36,476,9539,2,9387
HT4AVJT02309,HT4CWJT00980,26720,10,337,18864,2,7504
HT4AVJT02309,HT4BVJT00003,16781,19,254,7145,3,9351
HT4AVJT02309,HT4AVJT02309,10355,15,27,19,2,10283
HT4AVJT02309,HT4BTJT00078,9799,15,253,31,4,9496
HT4AVJT02309,HT4BTJT00078,18174,5,134,9198,2,8838
HT4AVJT02309,HT4BTJT00127,7920,47,142,22,8,7702
HT4AVJT02309,HT4CWJT00250,22433,55,91,13168,2,9119
HT4AVJT02309,compute-europe-west,2361,20,1619,4,1,715
HT4AVJT02309,HT4APJT01039,9847,5,217,18,3,9600
HT4AVJT02309,HT4BVJT00003,21450,6,99,11944,2,9398
HT4AVJT02309,HT4CWJT00980,29376,5,235,19491,2,9643
HT4AVJT02309,HT4CWJT00980,38114,8,101,28237,3,9765
HT4AVJT02309,HT4BVJT00003,27680,68,147,17828,2,9637
HT4AVJT02309,HT4BTJT00127,9721,10,331,407,2,8964
HT4AVJT02309,compute-europe-west,1257,5,540,3,1,706
HT4AVJT02309,HT4CWJT00980,45814,5,211,35783,4,9804
HT4AVJT02309,HT4BVJT00003,35360,28,214,25216,4,9915
HT4AVJT02309,HT4AVJT02309,10699,14,20,703,2,9962
HT4AVJT02309,HT4BVJT00003,44812,6,198,35043,4,9580
HT4AVJT02309,HT4CWJT00250,23581,10,185,13748,2,9668
HT4AVJT02309,compute-europe-west,1292,8,506,3,1,705
HT4AVJT02309,HT4CWJT00980,54453,46,160,44428,3,9848
HT4AVJT02309,joaquim-MS-7996,1740,12,88,12,1,1626
HT4AVJT02309,HT4BTJT00078,15491,12,264,6215,2,8992
HT4AVJT02309,HT4APJT01039,9982,10,311,198,4,9444
HT4AVJT02309,HT4BTJT00078,23143,30,178,13224,3,9710
HT4AVJT02309,HT4BTJT00078,31009,17,184,21820,2,8979
HT4AVJT02309,HT4APJT01039,17374,10,581,7046,2,9771
HT4AVJT02309,HT4CWJT00980,59379,8,141,49117,1,10106
HT4AVJT02309,joaquim-MS-7996,1656,14,173,5,1,1465
HT4AVJT02309,joaquim-MS-7996,2912,4,119,1359,1,1427
HT4AVJT02309,HT4BTJT00127,10113,4,157,550,3,9395
HT4AVJT02309,joaquim-MS-7996,1682,45,157,59,1,1418
HT4AVJT02309,HT4BTJT00127,17999,47,346,8059,3,9554
HT4AVJT02309,HT4AVJT02309,10724,5,59,632,2,10060
HT4AVJT02309,HT4BTJT00127,26622,12,215,16760,17,9618
HT4AVJT02309,compute-europe-west,1341,6,562,5,1,705
HT4AVJT02309,HT4BTJT00078,35128,4,136,25837,2,9157
HT4AVJT02309,HT4BTJT00078,44200,47,169,34835,3,9142
HT4AVJT02309,HT4APJT01039,21882,44,277,11921,3,9668
HT4AVJT02309,HT4AVJT02309,18962,9,88,8024,6,10894
HT4AVJT02309,HT4CWJT00980,60638,5,101,49980,3,10525
HT4AVJT02309,joaquim-MS-7996,1551,6,97,7,1,1439
HT4AVJT02309,HT4BTJT00078,48072,4,91,38876,1,9101
HT4AVJT02309,HT4BTJT00127,29653,15,244,19966,4,9457
HT4AVJT02309,compute-europe-west,1048,10,369,3,0,661
HT4AVJT02309,HT4BTJT00078,56283,5,108,46895,3,9269
HT4AVJT02309,HT4AVJT02309,24429,15,54,13739,9,10644
HT4AVJT02309,HT4BTJT00078,61861,8,225,54388,2,7246
HT4AVJT02309,HT4BTJT00078,70185,8,113,60838,2,9215
HT4AVJT02309,HT4BTJT00127,35081,13,188,25355,2,9516
HT4AVJT02309,HT4BTJT00078,77828,4,160,68456,2,9207
HT4AVJT02309,HT4AVJT02309,31374,12,52,20106,2,11204
HT4AVJT02309,HT4BTJT00127,42884,8,73,33347,1,9454
HT4AVJT02309,HT4BTJT00127,51405,6,164,41490,3,9680
HT4AVJT02309,HT4AVJT02309,41044,5,31,29690,2,11319
HT4AVJT02309,joaquim-MS-7996,1609,5,148,8,1,1450
HT4AVJT02309,HT4CWJT00250,7378,8,171,13,2,7188
HT4AVJT02309,HT4BTJT00078,83664,11,173,74068,2,9420
HT4AVJT02309,compute-europe-west,1051,6,370,3,0,670
HT4AVJT02309,joaquim-MS-7996,1690,10,118,143,0,1420
HT4AVJT02309,HT4APJT01039,16414,12,384,6357,3,9689
HT4AVJT02309,compute-europe-west,977,12,277,3,1,661
HT4AVJT02309,joaquim-MS-7996,1765,7,109,134,1,1414
HT4AVJT02309,HT4AVJT02309,49364,8,90,37552,2,11752
HT4AVJT02309,HT4AVJT02309,60427,5,25,48513,4,11886
HT4AVJT02309,HT4CWJT00980,55550,8,153,44776,2,10611
HT4AVJT02309,HT4AVJT02309,69736,7,70,57166,4,12534
HT4AVJT02309,compute-europe-west,1065,5,381,3,1,670
HT4AVJT02309,compute-europe-west,1077,13,381,3,1,663
HT4AVJT02309,HT4BTJT00127,50132,13,199,40235,2,9684
HT4AVJT02309,joaquim-MS-7996,1580,8,131,7,1,1431
HT4AVJT02309,compute-europe-west,1079,10,413,2,1,653
HT4AVJT02309,HT4BTJT00127,58602,5,172,48726,3,9689
HT4AVJT02309,HT4BTJT00127,68499,15,192,58321,3,10003
HT4AVJT02309,HT4APJT01039,15291,20,201,5468,3,9631
HT4AVJT02309,HT4CWJT00250,9331,13,160,37,5,9137
HT4AVJT02309,HT4AVJT02309,76638,4,25,63302,2,13306
HT4AVJT02309,HT4BTJT00078,77968,5,89,68331,2,9340
HT4AVJT02309,compute-europe-west,1255,13,506,3,1,664
HT4AVJT02309,compute-europe-west,1774,10,505,587,1,663
HT4AVJT02309,HT4BTJT00078,86489,54,236,76740,2,9497
HT4AVJT02309,HT4AVJT02309,85569,5,56,72227,4,13313
HT4AVJT02309,HT4CWJT00250,11500,8,211,1870,3,9435
HT4AVJT02309,HT4AVJT02309,96497,17,18,82490,5,13967
HT4AVJT02309,HT4BVJT00003,10226,4,257,12,6,9847
HT4AVJT02309,HT4BTJT00127,68723,10,367,58483,3,10034
HT4AVJT02309,HT4CWJT00250,18312,9,216,8629,2,9470
HT4AVJT02309,HT4CWJT00980,48755,8,123,37549,2,11075
HT4AVJT02309,joaquim-MS-7996,1721,13,252,7,1,1452
HT4AVJT02309,HT4AVJT02309,103138,10,74,91381,3,11701
HT4AVJT02309,HT4BTJT00127,74089,21,186,63928,4,9946
HT4AVJT02309,HT4CWJT00250,24915,5,164,15155,1,9586
HT4AVJT02309,HT4BTJT00127,82093,7,162,72065,2,9857
HT4AVJT02309,HT4BTJT00127,92033,5,57,81778,2,10181
HT4AVJT02309,HT4BVJT00003,13197,7,199,3008,4,9948
HT4AVJT02309,HT4AVJT02309,114723,5,55,99832,4,14860
HT4AVJT02309,HT4BVJT00003,22117,5,156,11649,4,10267
HT4AVJT02309,HT4AVJT02309,128167,6,59,114389,4,13745
HT4AVJT02309,compute-europe-west,1138,5,458,3,1,667
HT4AVJT02309,HT4BTJT00078,83010,11,151,73305,2,9533
