ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,compute-europe-west,951,14,136,9,1,782
HT4BTJT00127,HT4BTJT00127,9903,12,18,14,2,9855
HT4BTJT00127,HT4BTJT00078,9772,5,91,38,4,9626
HT4BTJT00127,HT4APJT01039,9639,9,204,29,3,9382
HT4BTJT00127,joaquim-MS-7996,1696,11,83,22,1,1580
HT4BTJT00127,joaquim-MS-7996,2974,46,57,1493,1,1372
HT4BTJT00127,HT4BTJT00127,16713,15,54,7554,3,9092
HT4BTJT00127,HT4BTJT00127,25618,11,6,16449,3,9148
HT4BTJT00127,compute-europe-west,793,4,205,2,0,580
HT4BTJT00127,joaquim-MS-7996,3063,4,55,1656,0,1348
HT4BTJT00127,HT4BVJT00003,9691,8,62,21,2,9593
HT4BTJT00127,HT4BTJT00078,14725,4,171,5856,2,8688
HT4BTJT00127,compute-europe-west,838,5,246,3,0,582
HT4BTJT00127,HT4CWJT00250,9605,6,43,30,2,9519
HT4BTJT00127,HT4AVJT02309,9607,4,51,22,3,9447
HT4BTJT00127,compute-europe-west,809,5,212,2,1,581
HT4BTJT00127,HT4BVJT00003,12698,5,64,3532,1,9084
HT4BTJT00127,HT4BVJT00003,21236,5,45,12225,1,8904
HT4BTJT00127,HT4BTJT00127,26309,15,53,17262,2,8981
HT4BTJT00127,HT4APJT01039,8871,25,85,19,4,8742
HT4BTJT00127,joaquim-MS-7996,1440,13,35,5,1,1385
HT4BTJT00127,HT4BVJT00003,27723,16,168,18734,2,8796
HT4BTJT00127,HT4BTJT00127,32493,8,6,23610,3,8867
HT4BTJT00127,HT4BVJT00189,10120,5,70,91,10,9952
HT4BTJT00127,HT4BVJT00189,19179,6,92,9914,2,9158
HT4BTJT00127,joaquim-MS-7996,1422,4,29,5,1,1382
HT4BTJT00127,HT4APJT01039,14845,66,53,5861,2,8866
HT4BTJT00127,HT4BVJT00189,26448,4,82,17102,1,9256
HT4BTJT00127,joaquim-MS-7996,1429,6,35,5,1,1378
HT4BTJT00127,HT4BVJT00003,31064,4,78,22112,2,8787
HT4BTJT00127,HT4BTJT00127,35953,9,52,26930,2,8961
HT4BTJT00127,HT4BTJT00078,9085,10,155,24,2,8829
HT4BTJT00127,HT4APJT01039,19118,4,53,10177,1,8871
HT4BTJT00127,joaquim-MS-7996,1418,5,33,5,0,1370
HT4BTJT00127,HT4CWJT00250,8978,4,48,22,4,8895
HT4BTJT00127,HT4AVJT02309,9002,6,116,31,6,8852
HT4BTJT00127,HT4BVJT00003,37598,6,132,28642,1,8816
HT4BTJT00127,HT4BTJT00127,43270,16,52,34173,2,9028
HT4BTJT00127,HT4CWJT00250,16222,10,157,7323,1,8736
HT4BTJT00127,compute-europe-west,828,5,211,3,0,596
HT4BTJT00127,HT4BVJT00003,42282,11,66,33232,1,8887
HT4BTJT00127,joaquim-MS-7996,1462,6,91,3,0,1361
HT4BTJT00127,HT4BTJT00078,12476,6,62,3586,2,8815
HT4BTJT00127,compute-europe-west,860,5,248,3,0,603
HT4BTJT00127,HT4AVJT02309,9085,26,53,16,2,8935
HT4BTJT00127,HT4BTJT00127,43906,14,26,34821,3,9055
HT4BTJT00127,HT4BVJT00189,21965,13,60,12598,1,9289
HT4BTJT00127,HT4BTJT00078,15960,11,178,6509,1,9262
