ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,HT4CWJT00250,10180,12,337,28,8,9797
HT4AVJT02309,joaquim-MS-7996,2190,4,266,14,3,1905
HT4AVJT02309,HT4BVJT00003,10650,8,586,26,11,10053
HT4AVJT02309,HT4BVJT00003,18156,32,640,8234,5,9278
HT4AVJT02309,HT4AVJT02309,12312,12,64,25,3,12209
HT4AVJT02309,HT4BTJT00078,10464,6,664,36,8,9745
HT4AVJT02309,HT4APJT01039,10761,7,658,28,4,10092
HT4AVJT02309,compute-europe-west,1915,8,597,14,4,1278
HT4AVJT02309,HT4BVJT00003,26247,4,349,16572,10,9335
HT4AVJT02309,HT4CWJT00250,15081,19,405,5312,4,9351
HT4AVJT02309,HT4AVJT02309,22647,8,91,10462,6,12133
HT4AVJT02309,compute-europe-west,1785,11,760,16,4,1021
HT4AVJT02309,joaquim-MS-7996,2264,56,508,9,3,1697
HT4AVJT02309,HT4BVJT00003,33696,87,576,23920,5,9292
HT4AVJT02309,HT4BTJT00078,14716,46,364,5309,5,9018
HT4AVJT02309,HT4APJT01039,15506,48,430,5282,5,9777
HT4AVJT02309,compute-europe-west,1655,17,603,6,1,1015
HT4AVJT02309,compute-europe-west,2352,51,1322,4,1,968
HT4AVJT02309,HT4CWJT00250,17265,4,267,7492,3,9521
HT4AVJT02309,joaquim-MS-7996,2333,9,604,21,3,1695
HT4AVJT02309,compute-europe-west,4414,19,3359,14,2,1017
HT4AVJT02309,HT4APJT01039,20162,46,463,9834,5,9788
HT4AVJT02309,joaquim-MS-7996,2477,13,275,523,2,1664
HT4AVJT02309,HT4BVJT00189,11269,55,1098,29,10,10127
HT4AVJT02309,HT4BTJT00127,11399,20,1266,75,14,10028
HT4AVJT02309,HT4BVJT00003,35578,10,522,24961,4,10105
HT4AVJT02309,HT4APJT01039,29524,11,634,18399,5,10401
HT4AVJT02309,HT4BTJT00127,19850,10,699,10014,5,9116
HT4AVJT02309,joaquim-MS-7996,2132,39,265,174,2,1653
HT4AVJT02309,compute-europe-west,3280,17,2266,5,2,985
HT4AVJT02309,joaquim-MS-7996,2321,9,260,398,1,1635
HT4AVJT02309,HT4CWJT00250,19765,6,318,10024,4,9451
HT4AVJT02309,HT4AVJT02309,18767,18,154,7533,12,11094
HT4AVJT02309,HT4CWJT00250,28789,44,362,18208,11,10185
HT4AVJT02309,compute-europe-west,2134,10,1104,6,2,993
HT4AVJT02309,HT4BTJT00127,23366,18,467,13428,4,9487
HT4AVJT02309,HT4BVJT00003,38691,8,382,28204,6,10107
HT4AVJT02309,joaquim-MS-7996,1917,10,209,10,2,1680
HT4AVJT02309,HT4APJT01039,32341,14,428,21935,4,9957
HT4AVJT02309,joaquim-MS-7996,2619,11,318,648,1,1637
HT4AVJT02309,HT4BTJT00127,29224,53,244,19581,3,9351
HT4AVJT02309,compute-europe-west,1664,6,621,10,1,1011
HT4AVJT02309,joaquim-MS-7996,2010,5,233,9,3,1758
HT4AVJT02309,compute-europe-west,1695,5,322,320,2,996
HT4AVJT02309,HT4AVJT02309,24628,9,103,12473,4,12077
HT4AVJT02309,HT4CWJT00250,32212,5,323,22107,3,9773
HT4AVJT02309,HT4AVJT02309,36474,6,160,24246,6,12055
HT4AVJT02309,compute-europe-west,1957,37,363,568,2,964
HT4AVJT02309,compute-europe-west,1615,5,544,12,2,981
HT4AVJT02309,HT4BTJT00078,10017,7,232,21,5,9699
HT4AVJT02309,HT4BVJT00189,10483,17,491,18,5,9950
HT4AVJT02309,HT4BTJT00078,18655,48,283,8822,4,9496
HT4AVJT02309,HT4CWJT00250,36253,5,626,25803,4,9842
