ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00250,compute-europe-west,1787,14,618,6,3,1112
HT4BTJT00030,compute-europe-west,2014,8,894,12,3,1027
HT4APJT01039,compute-europe-west,2528,10,1146,392,3,921
HT4BVJT00003,compute-europe-west,2808,8,748,1081,2,951
HT4BVJT00003,compute-europe-west,4678,15,3708,5,2,948
HT4AVJT02309,compute-europe-west,15028,8,9183,4924,1,902
HT4BTJT00078,compute-europe-west,5360,21,4366,6,1,962
HT4BTJT00030,compute-europe-west,2823,10,1399,431,1,960
HT4AVJT02309,compute-europe-west,17724,18,10532,6210,2,904
HT4BTJT00030,compute-europe-west,10476,7,5406,4128,2,925
HT4BTJT00030,compute-europe-west,7447,8,3925,2486,2,950
HT4BVJT00003,compute-europe-west,8901,11,4216,3776,1,897
HT4CWJT00250,compute-europe-west,3140,44,1234,837,3,973
HT4CWJT00250,compute-europe-west,4086,19,1276,1764,2,979
HT4AVJT02309,compute-europe-west,19230,15,9490,8817,2,911
HT4APJT01039,compute-europe-west,4464,19,745,2635,1,959
HT4BVJT00003,compute-europe-west,10266,17,4184,5159,1,895
HT4AVJT02309,compute-europe-west,18701,25,8044,9726,1,910
HT4BVJT00003,compute-europe-west,13194,8,5063,7207,1,904
HT4CWJT00250,compute-europe-west,3973,16,719,2101,1,1009
HT4BTJT00078,compute-europe-west,11048,40,3565,6498,2,917
HT4APJT01039,compute-europe-west,5284,5,922,3349,2,930
HT4BTJT00078,compute-europe-west,9485,24,2706,5809,2,900
HT4BTJT00078,compute-europe-west,9918,34,2075,6833,3,934
HT4BVJT00003,compute-europe-west,12284,18,3356,7907,2,922
HT4CWJT00250,compute-europe-west,8666,19,911,6728,2,914
HT4BTJT00078,compute-europe-west,9231,17,812,7472,2,901
HT4CWJT00250,compute-europe-west,11822,20,660,10211,1,898
HT4BVJT00003,compute-europe-west,13604,5,1952,10736,2,904
HT4AVJT02309,compute-europe-west,14171,6,1732,11518,1,911
HT4BTJT00030,compute-europe-west,11930,7,891,10061,3,909
HT4BTJT00030,compute-europe-west,12468,6,617,10972,1,888
HT4BTJT00030,compute-europe-west,13112,13,453,11726,1,904
HT4BTJT00078,compute-europe-west,13334,27,760,11557,2,923
HT4APJT01039,compute-europe-west,11306,13,736,9622,2,920
HT4APJT01039,compute-europe-west,11294,10,224,10148,1,898
HT4AVJT02309,compute-europe-west,12727,12,1411,10395,2,901
HT4APJT01039,compute-europe-west,11392,5,404,10066,1,911
HT4CWJT00250,compute-europe-west,12880,14,863,11018,2,927
HT4AVJT02309,compute-europe-west,15892,12,2020,12943,1,889
HT4AVJT02309,compute-europe-west,16710,5,2067,13743,1,891
HT4BTJT00078,compute-europe-west,12825,26,564,11305,2,914
HT4APJT01039,compute-europe-west,13623,11,465,11985,1,896
HT4BTJT00030,compute-europe-west,14191,16,834,12411,2,905
HT4BTJT00030,compute-europe-west,17531,9,1152,15411,3,931
HT4BTJT00078,compute-europe-west,16265,10,694,14585,1,931
HT4BTJT00030,compute-europe-west,18038,60,695,16319,2,898
HT4APJT01039,compute-europe-west,17915,9,3445,13574,1,901
HT4AVJT02309,compute-europe-west,18417,9,5748,11664,2,907
HT4BTJT00030,compute-europe-west,19798,13,5909,12950,1,904
HT4BVJT00003,compute-europe-west,18473,6,5254,12204,1,925
HT4BVJT00003,compute-europe-west,24833,7,7242,16648,3,920
HT4BTJT00030,compute-europe-west,21713,7,6165,14502,2,921
HT4APJT01039,compute-europe-west,17214,5,3422,12868,2,905
HT4BVJT00003,compute-europe-west,22944,21,4457,17498,1,904
HT4BTJT00030,compute-europe-west,20123,7,3815,15354,2,913
HT4APJT01039,compute-europe-west,17974,4,3272,13761,2,918
HT4BTJT00078,compute-europe-west,13204,11,720,11462,2,914
HT4BVJT00003,compute-europe-west,20417,14,3625,15837,1,901
HT4AVJT02309,compute-europe-west,16646,5,2557,13154,2,920
HT4APJT01039,compute-europe-west,19557,9,1052,17598,2,892
HT4BVJT00003,compute-europe-west,18044,13,775,16143,2,910
HT4BVJT00003,compute-europe-west,18177,7,304,16844,1,898
HT4BTJT00030,compute-europe-west,18800,6,794,16957,3,921
HT4APJT01039,compute-europe-west,20658,5,1424,18190,2,920
HT4AVJT02309,compute-europe-west,19547,5,944,17642,2,919
HT4BVJT00003,compute-europe-west,19334,5,584,17802,1,901
HT4APJT01039,compute-europe-west,19096,7,884,17278,2,907
HT4AVJT02309,compute-europe-west,17972,11,658,16404,1,891
HT4BVJT00003,compute-europe-west,18873,8,690,17252,1,915
HT4APJT01039,compute-europe-west,19039,7,691,17413,2,909
HT4CWJT00250,compute-europe-west,19720,17,1066,17627,2,907
HT4AVJT02309,compute-europe-west,19483,9,546,17999,1,906
HT4CWJT00250,compute-europe-west,18974,30,865,17132,2,916
HT4BTJT00078,compute-europe-west,18478,34,692,16831,1,908
HT4BTJT00030,compute-europe-west,19222,8,733,17526,2,907
HT4BVJT00003,compute-europe-west,18815,8,528,17306,1,888
HT4BTJT00078,compute-europe-west,19067,23,470,17609,2,903
HT4AVJT02309,compute-europe-west,19840,7,766,18144,2,902
HT4BTJT00078,compute-europe-west,20104,17,462,18688,1,900
HT4BTJT00078,compute-europe-west,20678,14,606,19105,2,910
HT4BVJT00003,compute-europe-west,21199,6,541,19732,2,900
HT4BTJT00078,compute-europe-west,22096,39,564,20576,1,910
HT4CWJT00250,compute-europe-west,21907,13,856,20049,2,912
HT4BVJT00003,compute-europe-west,19624,8,463,18254,1,891
HT4CWJT00250,compute-europe-west,20126,30,646,18518,2,913
HT4BTJT00078,compute-europe-west,21379,26,859,19546,1,912
HT4CWJT00250,compute-europe-west,20011,15,321,18764,2,892
HT4BTJT00078,compute-europe-west,21623,31,502,20112,2,895
HT4APJT01039,compute-europe-west,21136,7,650,19476,1,906
HT4BTJT00030,compute-europe-west,21665,13,523,20121,1,893
HT4CWJT00250,compute-europe-west,21632,16,646,20027,2,901
HT4BTJT00078,compute-europe-west,21888,18,705,20202,2,910
HT4APJT01039,compute-europe-west,21685,8,645,20061,2,904
HT4BTJT00030,compute-europe-west,21298,11,527,19860,1,887
HT4BVJT00003,compute-europe-west,21802,16,588,20301,2,891
HT4BVJT00003,compute-europe-west,21256,5,414,19916,2,912
HT4AVJT02309,compute-europe-west,21141,11,647,19550,1,914
HT4AVJT02309,compute-europe-west,20595,17,406,19287,1,884
HT4AVJT02309,compute-europe-west,21140,5,383,19818,2,913
HT4BTJT00030,compute-europe-west,21835,6,856,19970,3,916
HT4BTJT00030,compute-europe-west,22354,20,624,20711,2,920
HT4AVJT02309,compute-europe-west,22430,9,442,21059,1,896
HT4AVJT02309,compute-europe-west,22278,9,365,20992,1,899
HT4BVJT00003,compute-europe-west,22676,6,604,21130,2,916
HT4AVJT02309,compute-europe-west,22658,5,711,20979,2,949
HT4BTJT00078,compute-europe-west,21790,26,694,20022,1,957
HT4AVJT02309,compute-europe-west,23993,10,469,22459,2,944
HT4BTJT00078,compute-europe-west,22916,21,397,21537,1,945
HT4BVJT00003,compute-europe-west,24752,18,738,23046,2,945
HT4BTJT00030,compute-europe-west,25066,10,677,23361,2,945
HT4BTJT00030,compute-europe-west,23382,19,805,21577,3,940
HT4APJT01039,compute-europe-west,23007,7,680,21405,2,910
HT4AVJT02309,compute-europe-west,23891,10,721,22195,2,904
HT4BTJT00078,compute-europe-west,23783,14,645,22126,2,907
HT4BTJT00030,compute-europe-west,23819,19,526,22365,1,898
HT4CWJT00250,compute-europe-west,24722,16,6402,17390,2,921
HT4CWJT00250,compute-europe-west,22830,12,5931,15958,1,896
HT4BVJT00003,compute-europe-west,27075,12,7738,18326,2,908
HT4BVJT00003,compute-europe-west,29658,5,8032,20708,1,907
HT4AVJT02309,compute-europe-west,31432,14,9154,21344,2,916
HT4AVJT02309,compute-europe-west,32238,5,9745,21501,2,910
HT4BTJT00030,compute-europe-west,20555,35,4087,15517,1,900
HT4CWJT00250,compute-europe-west,22861,17,3842,17996,2,921
HT4APJT01039,compute-europe-west,20523,11,3075,16534,1,895
HT4AVJT02309,compute-europe-west,27094,10,5575,20535,1,894
HT4CWJT00250,compute-europe-west,21231,16,1424,18875,1,909
HT4APJT01039,compute-europe-west,22522,14,1787,19836,1,895
HT4BTJT00078,compute-europe-west,20663,21,557,19078,1,898
HT4AVJT02309,compute-europe-west,24273,6,1716,21602,2,937
HT4BTJT00078,compute-europe-west,23974,18,685,22332,3,921
HT4BTJT00030,compute-europe-west,25326,20,974,23325,1,898
HT4CWJT00250,compute-europe-west,24273,11,598,22738,2,903
HT4APJT01039,compute-europe-west,24645,4,1003,22735,2,927
HT4BVJT00003,compute-europe-west,25248,8,838,23478,2,916
HT4CWJT00250,compute-europe-west,25561,10,681,23832,2,915
HT4AVJT02309,compute-europe-west,24856,5,757,23161,2,901
HT4BTJT00078,compute-europe-west,24513,10,602,22969,2,907
HT4CWJT00250,compute-europe-west,24246,24,596,22664,2,896
HT4CWJT00250,compute-europe-west,24150,10,279,22872,1,896
HT4BTJT00078,compute-europe-west,25075,14,647,23395,2,908
HT4BTJT00030,compute-europe-west,25863,12,707,24222,1,889
HT4APJT01039,compute-europe-west,25324,12,669,23721,2,914
HT4BVJT00003,compute-europe-west,25796,8,532,24196,1,894
