ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00189,compute-europe-west,1286,23,509,4,2,724
HT4BVJT00012,compute-europe-west,1831,15,447,674,1,687
HT4BTJT00078,compute-europe-west,2334,17,324,1220,0,700
HT4BTJT00030,compute-europe-west,1848,21,724,304,2,697
HT4AVJT02309,compute-europe-west,2034,23,437,864,1,701
HT4BVJT00012,compute-europe-west,2537,21,483,1306,1,651
HT4APJT01039,compute-europe-west,2647,16,427,1514,1,657
HT4BVJT00189,compute-europe-west,3129,15,448,1918,1,655
HT4BVJT00189,compute-europe-west,3407,14,323,2359,1,668
HT4APJT01039,compute-europe-west,3046,11,412,1862,1,661
HT4BVJT00003,compute-europe-west,2997,21,351,1965,0,645
HT4CWJT00250,compute-europe-west,2733,20,410,1632,1,658
HT4BTJT00030,compute-europe-west,1977,12,415,875,0,661
HT4BVJT00003,compute-europe-west,2212,27,639,862,1,674
HT4BTJT00030,compute-europe-west,2204,18,433,1032,0,651
HT4BTJT00030,compute-europe-west,2510,24,243,1557,0,650
HT4APJT01039,compute-europe-west,2996,10,302,1924,1,647
HT4BTJT00078,compute-europe-west,4052,36,681,2666,1,660
HT4BVJT00012,compute-europe-west,3456,15,461,2259,1,650
HT4BTJT00078,compute-europe-west,4766,64,761,3197,1,652
HT4AVJT02309,compute-europe-west,4810,19,369,3713,0,647
HT4APJT01039,compute-europe-west,4893,11,571,3640,1,658
HT4APJT01039,compute-europe-west,4805,17,377,3754,1,659
HT4BTJT00078,compute-europe-west,5182,22,545,3949,0,658
HT4CWJT00250,compute-europe-west,5730,11,455,4606,1,651
HT4AVJT02309,compute-europe-west,6079,36,437,4946,1,648
HT4CWJT00250,compute-europe-west,6445,15,243,5529,1,648
HT4BVJT00003,compute-europe-west,6839,24,377,5697,0,648
HT4BTJT00078,compute-europe-west,7259,12,469,6080,1,651
HT4BVJT00003,compute-europe-west,7855,24,269,6479,1,648
HT4CWJT00250,compute-europe-west,7904,24,475,6676,0,664
HT4APJT01039,compute-europe-west,5928,22,464,4749,1,660
HT4CWJT00250,compute-europe-west,4827,15,423,3713,1,661
HT4APJT01039,compute-europe-west,4242,10,686,2881,1,655
