ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,compute-europe-west,1531,37,614,13,2,860
HT4BTJT00127,compute-europe-west,2168,8,658,742,1,736
HT4BTJT00127,compute-europe-west,2821,5,611,1472,2,731
HT4BTJT00127,compute-europe-west,3316,10,343,2193,0,727
HT4BTJT00127,compute-europe-west,3781,15,197,2853,1,705
HT4BTJT00127,compute-europe-west,3772,12,160,2927,1,668
HT4BTJT00127,compute-europe-west,4374,5,226,3445,2,683
HT4BTJT00127,compute-europe-west,4606,8,163,3686,1,666
HT4BTJT00127,compute-europe-west,4766,14,136,3942,1,662
HT4BTJT00127,compute-europe-west,5009,13,177,4156,1,654
HT4BTJT00127,compute-europe-west,5338,13,355,4288,1,679
HT4BTJT00127,compute-europe-west,4108,10,366,3052,0,670
HT4BTJT00127,compute-europe-west,4415,12,337,3407,1,652
HT4BTJT00127,compute-europe-west,2966,17,747,1530,1,669
HT4BTJT00127,compute-europe-west,2724,18,392,1650,1,663
HT4BTJT00127,compute-europe-west,2972,12,538,1743,0,660
HT4BTJT00127,compute-europe-west,2891,19,733,1464,1,671
HT4BTJT00127,compute-europe-west,2646,4,415,1548,1,658
HT4BTJT00127,compute-europe-west,3216,5,793,1736,1,674
HT4BTJT00127,compute-europe-west,4604,25,3914,4,1,658
HT4BTJT00127,compute-europe-west,3792,12,3122,3,1,654
HT4BTJT00127,compute-europe-west,5142,6,4180,307,1,647
HT4BTJT00127,compute-europe-west,5704,6,4083,954,0,668
HT4BTJT00127,compute-europe-west,7413,17,4222,2488,0,674
HT4BTJT00127,compute-europe-west,5869,63,3728,1382,0,688
HT4BTJT00127,compute-europe-west,5401,15,2728,1996,1,650
HT4BTJT00127,compute-europe-west,6149,24,3018,2446,0,654
HT4BTJT00127,compute-europe-west,5915,19,2272,2957,1,662
HT4BTJT00127,compute-europe-west,5388,8,1590,3110,1,673
HT4BTJT00127,compute-europe-west,5655,21,2123,2816,1,660
HT4BTJT00127,compute-europe-west,6900,10,2316,3902,1,666
HT4BTJT00127,compute-europe-west,4674,13,1646,2370,0,647
HT4BTJT00127,compute-europe-west,6009,12,1896,3358,1,649
HT4BTJT00127,compute-europe-west,7115,5,2051,4408,1,650
HT4BTJT00127,compute-europe-west,6480,13,957,4796,0,648
HT4BTJT00127,compute-europe-west,5804,12,219,4919,1,645
HT4BTJT00127,compute-europe-west,6022,12,668,4687,1,659
HT4BTJT00127,compute-europe-west,5985,11,386,4915,1,669
HT4BTJT00127,compute-europe-west,6400,15,455,5268,1,651
HT4BTJT00127,compute-europe-west,6681,11,771,5242,1,661
HT4BTJT00127,compute-europe-west,7190,6,848,5686,0,650
HT4BTJT00127,compute-europe-west,7777,12,910,6197,1,655
HT4BTJT00127,compute-europe-west,8423,5,877,6842,0,665
HT4BTJT00127,compute-europe-west,7232,19,471,6075,1,665
HT4BTJT00127,compute-europe-west,5402,10,382,4310,1,646
HT4BTJT00127,compute-europe-west,5590,14,181,4740,1,649
HT4BTJT00127,compute-europe-west,5927,11,144,5043,0,648
HT4BTJT00127,compute-europe-west,5884,13,311,4885,0,668
HT4BTJT00127,compute-europe-west,6282,18,117,5492,1,641
HT4BTJT00127,compute-europe-west,6790,5,104,6024,0,646
HT4BTJT00127,compute-europe-west,6665,15,305,5690,1,657
HT4BTJT00127,compute-europe-west,6417,22,225,5513,0,659
HT4BTJT00127,compute-europe-west,5960,16,283,5018,0,644
HT4BTJT00127,compute-europe-west,5791,49,259,4824,0,656
HT4BTJT00127,compute-europe-west,5908,19,254,4969,0,655
HT4BTJT00127,compute-europe-west,5686,9,272,4751,1,656
HT4BTJT00127,compute-europe-west,6061,18,88,5296,0,652
HT4BTJT00127,compute-europe-west,5500,18,500,4323,1,653
HT4BTJT00127,compute-europe-west,6045,13,436,4915,1,654
HT4BTJT00127,compute-europe-west,6107,13,229,5133,0,650
HT4BTJT00127,compute-europe-west,6647,8,266,5715,1,651
HT4BTJT00127,compute-europe-west,6923,11,191,6044,1,668
HT4BTJT00127,compute-europe-west,7214,4,139,6412,1,645
HT4BTJT00127,compute-europe-west,7356,8,295,6369,1,651
HT4BTJT00127,compute-europe-west,7708,9,417,6626,1,655
HT4BTJT00127,compute-europe-west,8293,9,439,7181,0,659
HT4BTJT00127,compute-europe-west,7871,29,434,6734,0,670
HT4BTJT00127,compute-europe-west,8509,45,654,7137,1,661
HT4BTJT00127,compute-europe-west,8491,5,649,7171,1,660
HT4BTJT00127,compute-europe-west,6265,9,693,4898,0,656
HT4BTJT00127,compute-europe-west,6537,16,897,4958,1,663
HT4BTJT00127,compute-europe-west,6470,9,541,5193,1,668
HT4BTJT00127,compute-europe-west,5189,16,618,3778,1,660
HT4BTJT00127,compute-europe-west,5316,11,698,3879,1,653
HT4BTJT00127,compute-europe-west,5794,6,904,4214,1,660
HT4BTJT00127,compute-europe-west,5576,18,540,4350,0,662
HT4BTJT00127,compute-europe-west,6062,15,930,4455,1,658
HT4BTJT00127,compute-europe-west,6659,19,1141,4831,1,663
HT4BTJT00127,compute-europe-west,6369,10,793,4896,1,660
HT4BTJT00127,compute-europe-west,6436,12,500,5168,1,660
HT4BTJT00127,compute-europe-west,7083,16,604,5544,0,650
HT4BTJT00127,compute-europe-west,5050,11,406,3979,1,651
HT4BTJT00127,compute-europe-west,5507,13,1246,3584,0,661
HT4BTJT00127,compute-europe-west,6132,8,1512,3921,1,670
HT4BTJT00127,compute-europe-west,6277,14,1259,4339,1,658
HT4BTJT00127,compute-europe-west,5795,23,450,4666,1,650
HT4BTJT00127,compute-europe-west,3720,9,619,2334,1,665
HT4BTJT00127,compute-europe-west,3988,17,396,2916,0,649
HT4BTJT00127,compute-europe-west,4268,17,276,3311,0,656
HT4BTJT00127,compute-europe-west,4745,26,283,3781,0,654
HT4BTJT00127,compute-europe-west,3624,13,420,2493,1,660
HT4BTJT00127,compute-europe-west,3127,44,359,1866,0,660
HT4BTJT00127,compute-europe-west,3559,49,458,2383,1,665
HT4BTJT00127,compute-europe-west,2941,36,452,1690,1,672
HT4BTJT00127,compute-europe-west,4156,57,490,2939,1,664
HT4BTJT00127,compute-europe-west,3308,24,312,2313,1,650
HT4BTJT00127,compute-europe-west,3043,17,337,1991,1,659
HT4BTJT00127,compute-europe-west,3626,25,188,2539,1,658
HT4BTJT00127,compute-europe-west,4036,9,272,3086,1,660
HT4BTJT00127,compute-europe-west,3768,13,298,2681,1,670
HT4BTJT00127,compute-europe-west,4023,12,248,3084,2,668
HT4BTJT00127,compute-europe-west,5351,34,392,4255,1,660
HT4BTJT00127,compute-europe-west,4823,15,340,3588,0,668
HT4BTJT00127,compute-europe-west,6757,44,373,5505,1,663
HT4BTJT00127,compute-europe-west,5809,6,250,4874,0,663
HT4BTJT00127,compute-europe-west,5999,14,236,5073,0,657
HT4BTJT00127,compute-europe-west,6547,9,212,5675,0,645
HT4BTJT00127,compute-europe-west,6423,17,230,5466,1,655
HT4BTJT00127,compute-europe-west,6737,15,141,5931,0,645
HT4BTJT00127,compute-europe-west,7446,16,122,6490,0,646
HT4BTJT00127,compute-europe-west,7867,48,170,6980,1,656
HT4BTJT00127,compute-europe-west,8477,30,193,7571,0,674
HT4BTJT00127,compute-europe-west,8327,15,268,7377,1,661
HT4BTJT00127,compute-europe-west,5113,16,441,3979,1,673
HT4BTJT00127,compute-europe-west,5600,13,374,4505,1,657
