ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,compute-europe-west,920,14,142,11,0,738
HT4BTJT00127,compute-europe-west,905,14,228,4,0,592
HT4BTJT00127,compute-europe-west,1213,14,95,499,0,603
HT4BTJT00127,compute-europe-west,962,17,313,3,1,611
HT4BTJT00127,compute-europe-west,1540,19,631,283,0,613
HT4BTJT00127,compute-europe-west,3262,6,939,1669,1,579
HT4BTJT00127,compute-europe-west,2519,6,788,1136,0,579
HT4BTJT00127,compute-europe-west,1704,20,465,640,1,574
HT4BTJT00127,compute-europe-west,2916,6,135,2090,1,580
HT4BTJT00127,compute-europe-west,3122,11,186,2346,0,582
HT4BTJT00127,compute-europe-west,3702,6,249,2797,0,588
HT4BTJT00127,compute-europe-west,3795,17,314,2875,1,578
HT4BTJT00127,compute-europe-west,4049,56,179,3208,0,573
HT4BTJT00127,compute-europe-west,2727,17,182,1936,0,584
HT4BTJT00127,compute-europe-west,3035,5,134,2215,0,582
HT4BTJT00127,compute-europe-west,1498,17,224,677,0,580
HT4BTJT00127,compute-europe-west,1098,8,309,139,1,596
HT4BTJT00127,compute-europe-west,1360,17,145,536,0,607
HT4BTJT00127,compute-europe-west,1120,13,265,254,1,581
HT4BTJT00127,compute-europe-west,937,16,297,3,1,611
HT4BTJT00127,compute-europe-west,1479,16,200,570,0,581
HT4BTJT00127,compute-europe-west,1549,19,201,743,1,581
HT4BTJT00127,compute-europe-west,1005,16,179,149,1,569
HT4BTJT00127,compute-europe-west,1378,18,96,663,0,592
HT4BTJT00127,compute-europe-west,1872,15,178,1053,1,577
HT4BTJT00127,compute-europe-west,2144,16,102,1432,0,582
HT4BTJT00127,compute-europe-west,2201,18,183,1401,0,598
HT4BTJT00127,compute-europe-west,1775,18,268,782,1,611
HT4BTJT00127,compute-europe-west,1294,27,175,503,0,583
HT4BTJT00127,compute-europe-west,1006,10,323,2,1,605
HT4BTJT00127,compute-europe-west,913,52,275,3,0,578
HT4BTJT00127,compute-europe-west,1523,13,283,534,0,581
HT4BTJT00127,compute-europe-west,1767,17,124,1040,0,580
HT4BTJT00127,compute-europe-west,2372,58,79,1580,0,601
HT4BTJT00127,compute-europe-west,2816,11,94,2038,1,577
HT4BTJT00127,compute-europe-west,3258,5,142,2507,0,575
HT4BTJT00127,compute-europe-west,3399,15,102,2691,0,584
HT4BTJT00127,compute-europe-west,3299,14,260,2353,0,595
HT4BTJT00127,compute-europe-west,3578,19,133,2852,0,567
HT4BTJT00127,compute-europe-west,2331,45,260,1390,0,585
HT4BTJT00127,compute-europe-west,1555,15,226,648,0,570
HT4BTJT00127,compute-europe-west,1972,14,287,1085,0,587
HT4BTJT00127,compute-europe-west,2533,18,282,1597,0,586
HT4BTJT00127,compute-europe-west,1232,14,263,372,0,578
HT4BTJT00127,compute-europe-west,817,18,222,2,0,571
HT4BTJT00127,compute-europe-west,1061,16,140,319,1,585
HT4BTJT00127,compute-europe-west,1299,17,144,504,0,580
HT4BTJT00127,compute-europe-west,1222,10,264,371,1,574
HT4BTJT00127,compute-europe-west,1816,10,237,862,1,591
HT4BTJT00127,compute-europe-west,1209,14,176,393,0,577
HT4BTJT00127,compute-europe-west,916,14,306,3,0,590
HT4BTJT00127,compute-europe-west,1026,17,100,293,0,570
HT4BTJT00127,compute-europe-west,1239,20,191,447,0,584
HT4BTJT00127,compute-europe-west,1071,17,180,182,1,580
HT4BTJT00127,compute-europe-west,1295,12,133,526,1,570
HT4BTJT00127,compute-europe-west,905,7,319,3,0,573
HT4BTJT00127,compute-europe-west,1484,47,288,535,0,564
HT4BTJT00127,compute-europe-west,1452,21,104,661,0,602
HT4BTJT00127,compute-europe-west,1941,16,157,1175,0,586
HT4BTJT00127,compute-europe-west,2251,17,106,1422,0,587
HT4BTJT00127,compute-europe-west,881,13,265,2,1,604
HT4BTJT00127,compute-europe-west,1295,17,291,253,1,631
HT4BTJT00127,compute-europe-west,1450,16,143,670,0,615
HT4BTJT00127,compute-europe-west,1976,23,150,1173,1,617
HT4BTJT00127,compute-europe-west,1565,25,200,739,0,594
HT4BTJT00127,compute-europe-west,2264,12,337,1189,0,588
HT4BTJT00127,compute-europe-west,1823,44,246,882,0,606
HT4BTJT00127,compute-europe-west,874,9,275,2,1,579
HT4BTJT00127,compute-europe-west,1003,13,243,2,0,606
HT4BTJT00127,compute-europe-west,1203,17,149,451,0,588
