ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,compute-europe-west,2440,25,1084,15,4,1286
HT4AVJT02309,compute-europe-west,2595,23,1202,355,3,1013
HT4AVJT02309,compute-europe-west,3377,6,1783,532,3,1044
HT4AVJT02309,compute-europe-west,37349,34,36280,15,2,994
HT4AVJT02309,compute-europe-west,23363,10,22375,5,1,988
HT4AVJT02309,compute-europe-west,41023,4,39987,10,2,998
HT4AVJT02309,compute-europe-west,24013,11,22319,711,1,958
HT4AVJT02309,compute-europe-west,38434,5,37461,9,2,977
HT4AVJT02309,compute-europe-west,46081,12,45107,11,1,941
HT4AVJT02309,compute-europe-west,67277,8,65510,797,2,954
HT4AVJT02309,compute-europe-west,43074,8,40523,1589,1,943
HT4AVJT02309,compute-europe-west,65411,10,64422,10,2,954
HT4AVJT02309,compute-europe-west,67857,13,64632,2275,2,949
HT4AVJT02309,compute-europe-west,71253,43,66005,4267,2,953
HT4AVJT02309,compute-europe-west,66560,10,63455,2136,2,943
HT4AVJT02309,compute-europe-west,68068,10,63366,3732,2,943
HT4AVJT02309,compute-europe-west,45396,9,44416,15,1,955
HT4AVJT02309,compute-europe-west,34700,14,32620,1142,1,937
HT4AVJT02309,compute-europe-west,35259,9,33024,1260,1,939
HT4AVJT02309,compute-europe-west,113923,7,98566,14343,4,986
HT4AVJT02309,compute-europe-west,64898,6,58747,5183,1,949
HT4AVJT02309,compute-europe-west,79266,4,74680,3603,2,981
HT4AVJT02309,compute-europe-west,46466,7,45483,10,1,943
HT4AVJT02309,compute-europe-west,31104,44,29238,868,1,956
HT4AVJT02309,compute-europe-west,80624,5,74856,4803,2,972
HT4AVJT02309,compute-europe-west,40180,6,39216,4,1,944
HT4AVJT02309,compute-europe-west,72557,6,71159,410,2,960
HT4AVJT02309,compute-europe-west,66480,6,65509,9,2,957
HT4AVJT02309,compute-europe-west,48173,12,47191,9,2,955
HT4AVJT02309,compute-europe-west,74458,4,71508,1977,2,964
HT4AVJT02309,compute-europe-west,42111,7,40928,238,1,941
HT4AVJT02309,compute-europe-west,49065,15,48085,5,1,945
HT4AVJT02309,compute-europe-west,84753,7,76369,7404,2,962
HT4AVJT02309,compute-europe-west,59602,3,52765,5880,1,951
HT4AVJT02309,compute-europe-west,81359,4,73652,6730,1,967
HT4AVJT02309,compute-europe-west,71128,5,67368,2785,2,954
HT4AVJT02309,compute-europe-west,81274,10,73251,7021,2,982
