ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1608,27,88,3,0,1447
HT4CWJT00250,compute-europe-west,1292,33,500,4,1,726
HT4BTJT00078,compute-europe-west,1291,43,432,55,1,705
HT4BTJT00078,joaquim-MS-7996,1715,9,210,4,2,1462
HT4BTJT00127,compute-europe-west,1198,20,365,4,1,689
HT4BTJT00078,joaquim-MS-7996,1593,28,99,4,0,1455
HT4BVJT00003,joaquim-MS-7996,2867,14,183,1261,0,1424
HT4BVJT00003,joaquim-MS-7996,4347,51,162,2640,1,1420
HT4CWJT00250,joaquim-MS-7996,5104,27,155,3512,1,1411
HT4BTJT00078,compute-europe-west,1182,24,433,4,2,712
HT4BTJT00078,compute-europe-west,1215,26,254,193,1,686
HT4BVJT00003,compute-europe-west,1521,26,437,373,1,676
HT4BTJT00127,compute-europe-west,2054,23,452,937,0,628
HT4CWJT00250,compute-europe-west,3047,17,484,1873,1,634
HT4BTJT00127,compute-europe-west,2193,16,158,1319,0,636
HT4BVJT00003,compute-europe-west,2931,28,390,1780,1,623
HT4BTJT00127,compute-europe-west,2836,24,409,1663,2,629
HT4BTJT00078,joaquim-MS-7996,1699,16,131,6,1,1441
HT4BTJT00127,compute-europe-west,3953,17,3206,3,0,625
HT4BTJT00078,joaquim-MS-7996,1717,14,146,4,1,1437
HT4BVJT00003,joaquim-MS-7996,1553,11,103,6,1,1424
HT4BTJT00127,compute-europe-west,2226,14,1477,3,1,629
HT4CWJT00250,joaquim-MS-7996,1651,25,148,5,1,1466
HT4CWJT00250,joaquim-MS-7996,2312,23,140,710,1,1426
HT4CWJT00250,joaquim-MS-7996,3043,36,149,1358,0,1437
HT4BTJT00127,compute-europe-west,1350,16,673,4,1,641
HT4CWJT00250,joaquim-MS-7996,2814,14,158,1146,1,1411
HT4BTJT00127,compute-europe-west,1102,35,224,175,0,621
HT4CWJT00250,compute-europe-west,1087,15,437,4,0,623
HT4BTJT00078,compute-europe-west,1039,14,379,3,1,623
HT4BTJT00078,compute-europe-west,946,21,268,2,1,618
HT4CWJT00250,joaquim-MS-7996,1573,19,90,6,1,1444
HT4BTJT00078,joaquim-MS-7996,2414,10,169,736,1,1415
HT4BTJT00127,compute-europe-west,1191,30,462,3,1,636
HT4CWJT00250,joaquim-MS-7996,3350,35,177,1623,1,1416
HT4BTJT00078,joaquim-MS-7996,4488,22,136,2903,1,1415
HT4CWJT00250,compute-europe-west,1110,19,426,3,1,622
HT4BTJT00078,compute-europe-west,1091,14,414,3,1,643
HT4BTJT00078,compute-europe-west,967,28,184,116,1,626
HT4CWJT00250,compute-europe-west,1153,14,353,62,1,638
HT4BVJT00003,compute-europe-west,1340,7,492,204,1,629
HT4BTJT00078,joaquim-MS-7996,1712,23,141,3,1,1458
HT4BTJT00078,joaquim-MS-7996,2961,8,77,1356,0,1416
HT4BVJT00003,joaquim-MS-7996,3838,14,116,2174,0,1422
HT4CWJT00250,joaquim-MS-7996,4694,22,89,3037,0,1432
HT4CWJT00250,compute-europe-west,1209,47,437,3,1,629
HT4BTJT00078,compute-europe-west,1183,7,504,3,0,623
HT4BVJT00003,compute-europe-west,1310,12,341,325,1,623
HT4BTJT00127,compute-europe-west,1040,8,390,2,1,624
HT4BTJT00078,compute-europe-west,1104,31,327,3,0,627
HT4BTJT00127,compute-europe-west,1073,7,428,3,1,625
HT4BVJT00003,joaquim-MS-7996,1598,12,131,3,1,1441
HT4BTJT00127,compute-europe-west,1097,59,305,3,0,626
HT4BVJT00003,joaquim-MS-7996,2020,23,85,458,0,1414
HT4BTJT00078,compute-europe-west,1106,25,412,2,1,614
HT4BVJT00003,joaquim-MS-7996,1623,25,150,6,1,1430
HT4BTJT00127,compute-europe-west,999,24,303,2,1,618
HT4CWJT00250,joaquim-MS-7996,1613,25,91,2,0,1426
HT4BTJT00078,compute-europe-west,1204,34,467,3,0,624
HT4BTJT00078,compute-europe-west,977,46,253,2,1,615
HT4CWJT00250,joaquim-MS-7996,1613,18,87,1,1,1472
HT4BTJT00078,compute-europe-west,1131,13,423,3,1,624
HT4BTJT00127,compute-europe-west,1074,12,431,3,0,619
HT4BTJT00127,compute-europe-west,2574,11,1751,3,1,639
HT4BTJT00127,joaquim-MS-7996,1618,14,180,2,0,1411
HT4BTJT00078,joaquim-MS-7996,1718,14,120,7,1,1512
HT4BVJT00003,joaquim-MS-7996,2164,33,115,576,1,1438
HT4BVJT00003,joaquim-MS-7996,3574,64,133,1951,0,1421
HT4CWJT00250,joaquim-MS-7996,3888,31,164,2195,1,1414
HT4BVJT00003,compute-europe-west,1042,20,388,3,0,623
HT4BVJT00003,compute-europe-west,1031,16,351,3,0,618
HT4BTJT00078,joaquim-MS-7996,1711,35,180,6,1,1460
HT4BTJT00078,joaquim-MS-7996,3119,37,189,1425,1,1430
HT4CWJT00250,joaquim-MS-7996,4076,27,89,2490,1,1414
HT4BTJT00127,joaquim-MS-7996,5386,11,148,3740,1,1421
HT4BTJT00127,joaquim-MS-7996,6144,20,118,4586,0,1411
HT4BVJT00003,compute-europe-west,1023,41,345,2,1,624
HT4CWJT00250,compute-europe-west,1099,18,406,2,1,632
HT4BVJT00003,compute-europe-west,1100,18,433,3,0,618
HT4BTJT00127,compute-europe-west,1244,13,549,3,1,621
HT4BVJT00003,compute-europe-west,1104,11,395,3,1,618
