ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,compute-europe-west,901,22,255,3,0,580
HT4BTJT00078,compute-europe-west,768,17,138,3,0,591
HT4AVJT02309,compute-europe-west,1005,15,257,3,1,601
HT4AVJT02309,compute-europe-west,907,29,262,3,0,543
HT4AVJT02309,compute-europe-west,865,13,301,3,0,543
HT4APJT01039,joaquim-MS-7996,1546,21,96,3,0,1373
HT4AVJT02309,compute-europe-west,973,12,141,240,0,557
HT4AVJT02309,joaquim-MS-7996,1587,21,112,3,1,1394
HT4BTJT00127,compute-europe-west,879,24,230,2,0,566
HT4BTJT00127,compute-europe-west,1454,65,227,489,1,560
HT4BTJT00078,compute-europe-west,1314,29,225,437,0,540
HT4BTJT00127,compute-europe-west,790,30,186,2,1,560
HT4BTJT00078,compute-europe-west,990,31,183,225,1,546
HT4BTJT00127,compute-europe-west,709,18,129,2,1,549
HT4APJT01039,joaquim-MS-7996,1522,22,62,2,0,1381
HT4APJT01039,joaquim-MS-7996,2252,21,37,836,0,1349
HT4APJT01039,compute-europe-west,803,11,217,2,1,563
HT4BTJT00127,compute-europe-west,898,27,305,3,0,562
HT4APJT01039,joaquim-MS-7996,1523,18,58,4,0,1374
HT4AVJT02309,compute-europe-west,1239,22,661,3,0,550
HT4AVJT02309,compute-europe-west,1048,23,457,2,0,562
HT4BTJT00078,compute-europe-west,1169,14,592,2,1,553
HT4BTJT00078,compute-europe-west,1112,27,511,2,1,565
HT4AVJT02309,compute-europe-west,2336,15,988,745,0,557
HT4BTJT00078,compute-europe-west,1571,13,474,458,1,551
HT4APJT01039,compute-europe-west,948,6,211,68,0,545
HT4AVJT02309,compute-europe-west,2376,23,691,1013,0,540
HT4BTJT00078,compute-europe-west,2455,32,322,1483,0,543
HT4BTJT00078,compute-europe-west,1106,22,133,366,1,531
HT4APJT01039,compute-europe-west,810,16,217,3,0,539
HT4AVJT02309,joaquim-MS-7996,1448,18,41,4,0,1378
HT4APJT01039,compute-europe-west,810,55,142,2,0,549
HT4AVJT02309,joaquim-MS-7996,1986,58,82,476,1,1368
HT4BTJT00078,compute-europe-west,904,24,222,2,0,556
HT4AVJT02309,compute-europe-west,805,26,207,2,0,551
HT4AVJT02309,joaquim-MS-7996,1489,20,64,3,0,1367
HT4BTJT00078,compute-europe-west,1009,27,260,186,0,528
HT4BTJT00078,compute-europe-west,986,5,209,155,0,550
HT4BTJT00078,compute-europe-west,902,18,301,2,0,538
HT4APJT01039,compute-europe-west,922,12,330,3,0,574
HT4AVJT02309,compute-europe-west,851,9,213,2,0,543
HT4BTJT00078,compute-europe-west,863,15,301,3,0,537
HT4BTJT00127,compute-europe-west,898,37,221,3,0,538
HT4AVJT02309,compute-europe-west,878,10,299,2,0,558
HT4BTJT00127,compute-europe-west,887,22,263,3,0,549
HT4AVJT02309,compute-europe-west,872,25,175,2,1,557
HT4BTJT00127,compute-europe-west,870,8,245,3,0,547
HT4BTJT00127,compute-europe-west,890,35,216,3,0,548
HT4AVJT02309,compute-europe-west,1005,18,304,88,0,566
HT4BTJT00127,compute-europe-west,942,14,179,106,0,542
HT4AVJT02309,compute-europe-west,910,18,263,2,1,565
HT4BTJT00078,compute-europe-west,1007,23,178,236,0,565
HT4APJT01039,compute-europe-west,1262,12,300,383,1,559
HT4BTJT00127,compute-europe-west,899,25,219,2,0,553
HT4APJT01039,compute-europe-west,874,10,298,3,0,559
HT4BTJT00078,compute-europe-west,906,28,220,17,0,546
HT4APJT01039,compute-europe-west,1217,20,168,423,1,553
HT4AVJT02309,compute-europe-west,906,17,215,3,0,572
HT4APJT01039,compute-europe-west,848,25,217,3,0,592
HT4AVJT02309,compute-europe-west,1111,20,459,3,0,542
HT4BTJT00078,compute-europe-west,802,23,222,2,1,539
HT4APJT01039,compute-europe-west,837,21,320,2,1,547
HT4AVJT02309,compute-europe-west,1030,11,294,178,0,546
HT4AVJT02309,compute-europe-west,2115,8,423,1113,0,564
HT4APJT01039,compute-europe-west,1381,22,219,566,0,557
HT4BTJT00127,compute-europe-west,1689,56,257,835,0,536
HT4BTJT00127,compute-europe-west,2186,11,361,1254,1,552
HT4BTJT00078,compute-europe-west,894,16,310,2,0,554
HT4APJT01039,compute-europe-west,1417,11,250,513,1,552
HT4BTJT00127,compute-europe-west,1677,40,181,895,1,549
HT4BTJT00127,compute-europe-west,1021,8,335,3,0,563
HT4BTJT00078,compute-europe-west,905,18,299,2,0,553
HT4BTJT00127,compute-europe-west,919,8,328,3,0,533
HT4BTJT00078,compute-europe-west,1411,23,306,460,0,545
HT4AVJT02309,compute-europe-west,906,23,216,6,0,549
HT4BTJT00127,compute-europe-west,810,17,210,2,0,547
HT4APJT01039,compute-europe-west,743,18,172,2,0,540
HT4APJT01039,compute-europe-west,766,19,180,2,0,535
HT4BTJT00127,compute-europe-west,902,24,257,2,0,551
HT4BTJT00127,compute-europe-west,819,57,220,2,0,536
HT4BTJT00078,compute-europe-west,913,19,279,2,1,560
HT4AVJT02309,compute-europe-west,1116,20,222,321,0,544
HT4BTJT00078,compute-europe-west,1095,19,177,274,1,549
HT4APJT01039,compute-europe-west,1504,16,218,717,1,545
HT4BTJT00127,compute-europe-west,1004,29,93,292,0,532
HT4BTJT00127,compute-europe-west,851,17,256,2,0,571
HT4BTJT00078,compute-europe-west,867,16,298,2,0,543
HT4BTJT00127,compute-europe-west,806,9,254,2,1,533
HT4BTJT00127,compute-europe-west,900,15,260,2,1,562
HT4APJT01039,compute-europe-west,1010,17,173,245,0,548
HT4BTJT00078,compute-europe-west,1095,12,546,2,0,532
HT4BTJT00078,compute-europe-west,896,13,337,2,0,542
HT4APJT01039,compute-europe-west,902,12,211,99,0,544
HT4BTJT00078,compute-europe-west,1303,17,673,2,0,535
HT4BTJT00127,compute-europe-west,1206,22,222,374,1,532
HT4BTJT00078,compute-europe-west,791,23,222,2,0,538
HT4APJT01039,compute-europe-west,885,12,256,2,0,537
HT4BTJT00127,compute-europe-west,1103,35,347,122,0,531
HT4AVJT02309,compute-europe-west,1111,19,301,217,0,536
HT4BTJT00078,compute-europe-west,1407,29,235,491,0,545
HT4AVJT02309,compute-europe-west,1061,23,217,2,0,555
HT4BTJT00127,compute-europe-west,970,31,221,169,1,538
HT4BTJT00078,compute-europe-west,904,15,305,2,1,561
HT4AVJT02309,compute-europe-west,945,18,219,76,0,537
HT4BTJT00127,compute-europe-west,888,23,256,2,0,552
HT4BTJT00127,compute-europe-west,1068,25,141,331,1,562
HT4BTJT00127,compute-europe-west,900,24,137,128,0,547
HT4APJT01039,compute-europe-west,903,11,293,2,1,542
HT4AVJT02309,compute-europe-west,903,23,221,2,0,551
HT4AVJT02309,compute-europe-west,1893,52,285,989,1,548
HT4BTJT00078,compute-europe-west,1261,16,184,503,1,561
HT4APJT01039,compute-europe-west,2172,60,225,1347,0,536
HT4BTJT00127,compute-europe-west,1923,15,297,998,0,560
HT4BTJT00127,compute-europe-west,2382,52,295,1485,0,547
HT4APJT01039,compute-europe-west,1925,14,256,1027,0,540
HT4APJT01039,compute-europe-west,2119,20,133,1365,1,542
HT4AVJT02309,compute-europe-west,2407,20,177,1675,0,528
HT4BTJT00127,compute-europe-west,2683,51,340,1663,0,549
HT4BTJT00078,joaquim-MS-7996,1620,27,86,4,1,1405
HT4BTJT00127,joaquim-MS-7996,2709,15,27,1316,0,1344
HT4APJT01039,joaquim-MS-7996,3517,13,39,2100,0,1358
HT4BTJT00127,compute-europe-west,827,7,255,2,1,555
HT4APJT01039,compute-europe-west,797,48,168,2,0,556
HT4BTJT00127,compute-europe-west,1319,47,217,488,0,558
HT4AVJT02309,compute-europe-west,1362,22,213,592,0,531
HT4BTJT00127,compute-europe-west,996,29,219,192,0,547
HT4AVJT02309,compute-europe-west,1420,22,221,538,0,539
HT4AVJT02309,compute-europe-west,1752,15,198,996,0,534
HT4APJT01039,joaquim-MS-7996,1520,12,60,5,0,1391
HT4BTJT00078,joaquim-MS-7996,2708,26,62,1278,0,1347
HT4BTJT00127,compute-europe-west,760,56,174,1,1,530
