ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,compute-europe-west,1721,13,557,7,3,1094
HT4BTJT00078,joaquim-MS-7996,2119,15,316,6,3,1708
HT4AVJT02309,compute-europe-west,1709,11,653,12,3,954
HT4AVJT02309,compute-europe-west,1487,16,489,7,1,903
HT4APJT01039,joaquim-MS-7996,2039,14,341,5,1,1664
HT4AVJT02309,joaquim-MS-7996,2065,10,299,6,2,1719
HT4BTJT00127,joaquim-MS-7996,3588,27,718,1121,2,1706
HT4BTJT00127,joaquim-MS-7996,5317,57,664,2812,2,1665
HT4BTJT00078,joaquim-MS-7996,6407,16,298,4347,1,1640
HT4AVJT02309,joaquim-MS-7996,7441,11,179,5594,1,1642
HT4AVJT02309,compute-europe-west,1593,7,617,13,1,913
HT4BTJT00127,joaquim-MS-7996,8183,7,661,5682,2,1735
HT4APJT01039,joaquim-MS-7996,9717,6,1004,7045,2,1658
HT4BTJT00078,joaquim-MS-7996,12755,8,862,10205,2,1659
HT4APJT01039,joaquim-MS-7996,10731,7,486,8571,1,1660
HT4APJT01039,joaquim-MS-7996,12953,6,395,10760,3,1691
HT4AVJT02309,compute-europe-west,2434,10,1396,15,1,948
HT4BTJT00127,compute-europe-west,1640,9,695,6,2,919
HT4APJT01039,joaquim-MS-7996,10195,15,505,7943,2,1675
HT4BTJT00127,compute-europe-west,1386,13,353,49,2,925
HT4AVJT02309,compute-europe-west,2233,8,1023,245,2,923
HT4APJT01039,joaquim-MS-7996,7034,8,331,5014,1,1690
HT4BTJT00078,joaquim-MS-7996,5425,9,302,3444,1,1653
HT4BTJT00078,joaquim-MS-7996,6266,30,234,4346,1,1648
HT4BTJT00078,joaquim-MS-7996,7247,9,276,5304,2,1640
HT4BTJT00127,compute-europe-west,4211,11,3250,11,2,928
HT4APJT01039,joaquim-MS-7996,7832,18,289,5813,1,1650
HT4BTJT00078,joaquim-MS-7996,8755,11,190,6888,1,1657
HT4APJT01039,joaquim-MS-7996,10103,9,290,8116,2,1647
HT4BTJT00078,compute-europe-west,5906,12,4013,939,1,896
HT4AVJT02309,compute-europe-west,1704,6,677,11,2,973
HT4AVJT02309,compute-europe-west,1734,11,396,377,3,922
HT4BTJT00078,joaquim-MS-7996,5081,14,256,3152,1,1651
HT4AVJT02309,compute-europe-west,1580,10,595,6,1,937
HT4APJT01039,joaquim-MS-7996,5809,8,514,3640,1,1648
HT4BTJT00078,joaquim-MS-7996,7328,14,534,5029,2,1650
HT4AVJT02309,compute-europe-west,1821,6,222,689,1,892
HT4BTJT00078,joaquim-MS-7996,5193,15,220,3227,2,1661
HT4AVJT02309,compute-europe-west,1607,6,601,12,2,962
HT4AVJT02309,compute-europe-west,1711,6,231,534,2,898
HT4BTJT00078,joaquim-MS-7996,3230,46,317,1169,2,1653
HT4AVJT02309,compute-europe-west,1528,5,545,10,2,912
HT4BTJT00078,joaquim-MS-7996,2021,13,345,4,1,1641
HT4AVJT02309,compute-europe-west,1551,7,607,6,2,915
HT4BTJT00078,joaquim-MS-7996,2028,8,327,4,1,1657
HT4BTJT00127,joaquim-MS-7996,3532,9,368,1390,1,1662
HT4BTJT00127,joaquim-MS-7996,2809,6,274,867,2,1643
HT4APJT01039,joaquim-MS-7996,3283,11,299,1307,1,1663
HT4AVJT02309,compute-europe-west,6456,12,5531,4,1,900
HT4APJT01039,joaquim-MS-7996,2833,9,199,909,1,1639
HT4APJT01039,joaquim-MS-7996,3753,7,276,1759,2,1678
HT4APJT01039,joaquim-MS-7996,5261,22,414,3155,1,1645
HT4APJT01039,joaquim-MS-7996,6814,14,302,4731,1,1671
HT4AVJT02309,compute-europe-west,6323,23,5402,5,1,910
HT4BTJT00127,joaquim-MS-7996,6613,8,328,4536,2,1649
HT4AVJT02309,compute-europe-west,2986,12,2056,4,1,884
HT4APJT01039,joaquim-MS-7996,4946,53,442,2746,2,1674
HT4BTJT00127,joaquim-MS-7996,6399,10,565,4147,3,1649
HT4APJT01039,joaquim-MS-7996,7649,8,297,5696,1,1649
HT4BTJT00127,compute-europe-west,2288,11,602,759,1,907
HT4BTJT00078,joaquim-MS-7996,6833,16,310,4737,2,1661
HT4APJT01039,joaquim-MS-7996,7646,6,403,5513,2,1641
HT4BTJT00127,joaquim-MS-7996,9095,12,419,6926,1,1657
HT4BTJT00078,joaquim-MS-7996,8787,9,312,6755,1,1651
HT4AVJT02309,joaquim-MS-7996,9363,7,236,7460,1,1639
HT4AVJT02309,joaquim-MS-7996,9711,10,270,7735,1,1646
HT4AVJT02309,joaquim-MS-7996,5395,47,291,3374,1,1651
HT4APJT01039,compute-europe-west,1493,11,544,4,2,893
HT4APJT01039,compute-europe-west,1897,21,324,589,1,896
HT4AVJT02309,joaquim-MS-7996,4500,5,224,2596,1,1642
HT4APJT01039,joaquim-MS-7996,2153,9,315,12,3,1742
HT4BTJT00078,joaquim-MS-7996,3514,15,289,1545,1,1644
HT4AVJT02309,joaquim-MS-7996,4050,60,635,1613,2,1655
HT4AVJT02309,joaquim-MS-7996,2415,8,587,7,2,1705
HT4BTJT00127,joaquim-MS-7996,7151,10,799,4674,1,1652
HT4BTJT00127,joaquim-MS-7996,5384,13,626,3095,1,1637
HT4BTJT00127,compute-europe-west,1655,15,706,14,2,911
HT4BTJT00078,joaquim-MS-7996,5424,20,285,3479,0,1637
HT4BTJT00127,compute-europe-west,1655,19,642,12,2,923
HT4APJT01039,compute-europe-west,1511,10,514,4,1,895
HT4BTJT00078,joaquim-MS-7996,3885,13,225,1932,1,1635
HT4APJT01039,compute-europe-west,1619,8,610,11,2,923
HT4BTJT00127,joaquim-MS-7996,2022,23,253,6,1,1666
HT4AVJT02309,joaquim-MS-7996,2311,7,389,209,1,1661
HT4BTJT00078,joaquim-MS-7996,3946,10,573,1571,2,1667
HT4BTJT00127,joaquim-MS-7996,4675,8,324,2661,2,1652
