ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00250,joaquim-MS-7996,1720,26,181,3,1,1472
HT4BVJT00003,compute-europe-west,1205,32,448,5,1,699
HT4BTJT00127,compute-europe-west,1610,26,318,550,1,668
HT4APJT01039,compute-europe-west,1300,24,499,4,2,680
HT4BTJT00078,compute-europe-west,1512,16,468,308,1,671
HT4BVJT00003,compute-europe-west,1920,23,469,768,1,647
HT4AVJT02309,compute-europe-west,1946,14,452,817,0,628
HT4CWJT00250,joaquim-MS-7996,1738,16,160,6,2,1494
HT4CWJT00250,joaquim-MS-7996,2768,23,170,1108,1,1455
HT4AVJT02309,compute-europe-west,1203,24,443,4,1,636
HT4CWJT00980,compute-europe-west,1391,35,332,302,0,623
HT4BVJT00189,joaquim-MS-7996,1605,25,117,2,0,1427
HT4APJT01039,joaquim-MS-7996,1655,12,133,40,0,1455
HT4CWJT00980,joaquim-MS-7996,2732,30,226,935,0,1459
HT4APJT01039,joaquim-MS-7996,3521,15,166,1822,1,1438
HT4APJT01039,joaquim-MS-7996,4555,11,131,2903,0,1429
HT4AVJT02309,compute-europe-west,1240,21,326,3,0,622
HT4BVJT00003,compute-europe-west,1607,59,589,311,0,623
HT4BTJT00127,joaquim-MS-7996,5589,62,270,3751,0,1432
HT4BTJT00127,joaquim-MS-7996,6987,64,276,5129,0,1448
HT4BTJT00078,compute-europe-west,1604,55,388,422,1,632
HT4AVJT02309,compute-europe-west,1628,47,462,447,1,653
HT4AVJT02309,compute-europe-west,1528,22,207,609,1,632
HT4BTJT00127,compute-europe-west,2409,30,531,1218,1,622
HT4BVJT00189,compute-europe-west,1805,39,454,642,0,633
HT4BTJT00078,compute-europe-west,3247,46,761,1794,1,636
HT4BVJT00189,compute-europe-west,2416,21,207,1567,1,613
HT4CWJT00980,compute-europe-west,3400,22,401,2319,0,651
HT4BTJT00127,compute-europe-west,3741,28,565,2474,1,664
HT4CWJT00980,compute-europe-west,4150,22,397,2998,1,646
HT4BVJT00189,compute-europe-west,4415,25,414,3317,1,654
HT4AVJT02309,compute-europe-west,2632,55,441,1378,0,663
HT4BVJT00189,compute-europe-west,1379,32,458,209,1,663
HT4AVJT02309,compute-europe-west,1209,10,449,3,1,655
HT4APJT01039,joaquim-MS-7996,1674,20,140,5,1,1449
HT4CWJT00250,joaquim-MS-7996,2744,20,68,1182,0,1459
HT4CWJT00980,joaquim-MS-7996,2822,24,132,1220,0,1431
HT4CWJT00250,joaquim-MS-7996,3945,27,205,2271,1,1431
HT4BTJT00127,joaquim-MS-7996,5502,28,218,3683,0,1455
HT4APJT01039,joaquim-MS-7996,6648,47,110,5048,1,1428
HT4APJT01039,joaquim-MS-7996,7752,12,104,6184,0,1440
HT4BVJT00189,joaquim-MS-7996,8874,25,180,7123,0,1430
HT4CWJT00250,joaquim-MS-7996,8118,19,106,6537,1,1428
HT4BTJT00078,compute-europe-west,1194,21,536,3,1,628
HT4BTJT00078,compute-europe-west,1034,16,287,96,0,624
HT4BTJT00078,compute-europe-west,1302,29,534,3,1,624
HT4BVJT00189,compute-europe-west,1139,25,458,4,1,642
HT4CWJT00980,compute-europe-west,1461,75,406,314,0,624
HT4BTJT00078,compute-europe-west,1863,25,497,704,1,625
HT4APJT01039,compute-europe-west,2837,54,427,1750,0,616
HT4BVJT00189,compute-europe-west,2126,21,172,1302,0,620
HT4APJT01039,compute-europe-west,3368,16,495,2233,1,630
HT4CWJT00250,compute-europe-west,4999,19,860,3498,1,622
HT4CWJT00250,compute-europe-west,5593,16,760,4120,0,620
HT4APJT01039,compute-europe-west,3615,29,102,2767,1,616
HT4BVJT00003,compute-europe-west,4123,18,437,2954,0,618
HT4CWJT00980,compute-europe-west,5523,17,466,4417,0,613
HT4CWJT00980,compute-europe-west,6105,18,799,4658,0,625
HT4BTJT00078,compute-europe-west,6169,47,490,5018,1,618
HT4APJT01039,compute-europe-west,5139,16,382,4129,1,613
HT4CWJT00980,compute-europe-west,5099,28,415,3978,0,630
HT4AVJT02309,joaquim-MS-7996,1748,13,206,10,1,1502
HT4AVJT02309,joaquim-MS-7996,2338,10,141,678,0,1456
HT4APJT01039,joaquim-MS-7996,3530,11,130,1946,1,1447
HT4CWJT00250,joaquim-MS-7996,4608,22,91,3049,0,1437
HT4BVJT00003,joaquim-MS-7996,5365,8,128,3798,0,1418
HT4BTJT00078,compute-europe-west,2945,17,354,1909,1,613
HT4APJT01039,joaquim-MS-7996,6840,55,245,5058,0,1422
HT4AVJT02309,joaquim-MS-7996,5362,6,247,3661,1,1438
HT4BVJT00189,joaquim-MS-7996,8123,15,249,6395,0,1455
HT4BTJT00078,compute-europe-west,2460,15,482,1311,0,624
HT4AVJT02309,joaquim-MS-7996,9073,21,157,7449,1,1438
HT4CWJT00980,compute-europe-west,1141,23,486,3,1,624
HT4CWJT00250,compute-europe-west,1219,17,468,4,0,629
HT4BTJT00078,compute-europe-west,1206,16,438,3,0,636
HT4CWJT00250,compute-europe-west,1099,17,425,3,1,623
HT4AVJT02309,compute-europe-west,1075,14,425,3,0,627
HT4AVJT02309,compute-europe-west,1006,25,256,3,0,613
HT4APJT01039,compute-europe-west,1296,14,348,219,1,614
