ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00189,compute-europe-west,740,18,130,3,0,568
HT4BVJT00189,compute-europe-west,782,14,206,3,1,549
HT4BVJT00189,compute-europe-west,1169,55,98,382,0,550
HT4BVJT00189,compute-europe-west,898,26,291,3,0,571
HT4BVJT00189,compute-europe-west,1343,20,531,218,1,569
HT4BVJT00189,compute-europe-west,1787,8,1066,159,1,546
HT4BVJT00189,compute-europe-west,2765,33,1006,1124,1,545
HT4BVJT00189,compute-europe-west,1918,35,716,627,0,536
HT4BVJT00189,compute-europe-west,2332,28,191,1550,0,541
HT4BVJT00189,compute-europe-west,2679,17,251,1773,1,541
HT4BVJT00189,compute-europe-west,3071,11,375,2118,1,560
HT4BVJT00189,compute-europe-west,3173,10,327,2276,0,546
HT4BVJT00189,compute-europe-west,3334,23,211,2554,0,541
HT4BVJT00189,compute-europe-west,2006,14,167,1225,0,554
HT4BVJT00189,compute-europe-west,2122,22,210,1340,1,541
HT4BVJT00189,joaquim-MS-7996,1496,18,37,5,0,1430
HT4BVJT00189,joaquim-MS-7996,1910,15,70,392,0,1425
HT4BVJT00189,joaquim-MS-7996,2941,63,59,1282,1,1435
HT4BVJT00189,joaquim-MS-7996,3437,19,66,1952,1,1398
HT4BVJT00189,joaquim-MS-7996,4040,24,79,2513,0,1421
HT4BVJT00189,joaquim-MS-7996,5317,12,30,3861,0,1407
HT4BVJT00189,joaquim-MS-7996,6237,26,58,4737,0,1408
HT4BVJT00189,compute-europe-west,738,21,168,3,0,542
HT4BVJT00189,compute-europe-west,1138,40,98,436,0,558
HT4BVJT00189,compute-europe-west,1675,54,175,781,1,549
HT4BVJT00189,compute-europe-west,1802,20,87,1139,0,549
HT4BVJT00189,compute-europe-west,1818,14,209,1007,1,566
HT4BVJT00189,compute-europe-west,1237,47,289,335,0,559
HT4BVJT00189,compute-europe-west,913,22,169,131,0,556
HT4BVJT00189,compute-europe-west,1003,21,291,3,0,575
HT4BVJT00189,compute-europe-west,811,15,247,3,0,548
HT4BVJT00189,compute-europe-west,1274,11,199,508,0,557
HT4BVJT00189,compute-europe-west,1632,15,89,901,1,545
HT4BVJT00189,compute-europe-west,1996,12,90,1347,0,542
HT4BVJT00189,compute-europe-west,2340,19,99,1660,0,541
HT4BVJT00189,compute-europe-west,2823,13,140,2034,0,545
HT4BVJT00189,compute-europe-west,2853,24,97,2128,0,551
HT4BVJT00189,compute-europe-west,2626,55,343,1663,0,559
HT4BVJT00189,compute-europe-west,2867,28,143,2152,0,537
HT4BVJT00189,compute-europe-west,1575,25,257,695,1,536
HT4BVJT00189,compute-europe-west,880,25,209,2,0,558
HT4BVJT00189,compute-europe-west,1376,24,324,437,0,549
HT4BVJT00189,compute-europe-west,1876,27,246,940,0,543
HT4BVJT00189,compute-europe-west,914,14,244,3,0,555
HT4BVJT00189,compute-europe-west,766,12,204,2,0,538
HT4BVJT00189,compute-europe-west,980,26,208,88,1,559
HT4BVJT00189,compute-europe-west,1042,18,94,380,0,549
HT4BVJT00189,compute-europe-west,1006,55,212,164,0,533
HT4BVJT00189,compute-europe-west,1397,27,191,620,1,552
HT4BVJT00189,compute-europe-west,865,24,171,57,0,551
HT4BVJT00189,compute-europe-west,839,17,254,2,0,562
HT4BVJT00189,compute-europe-west,906,22,93,251,0,537
HT4BVJT00189,compute-europe-west,1145,19,131,436,0,551
HT4BVJT00189,compute-europe-west,749,20,170,1,1,548
HT4BVJT00189,compute-europe-west,1018,19,131,291,0,536
HT4BVJT00189,compute-europe-west,849,13,295,3,0,541
HT4BVJT00189,compute-europe-west,1259,20,179,509,0,546
HT4BVJT00189,compute-europe-west,1200,19,168,399,0,556
HT4BVJT00189,compute-europe-west,1699,12,243,874,0,553
HT4BVJT00189,compute-europe-west,1933,17,96,1188,0,548
HT4BVJT00189,compute-europe-west,790,22,206,2,0,552
HT4BVJT00189,compute-europe-west,902,26,216,20,1,553
HT4BVJT00189,compute-europe-west,1065,12,126,383,0,538
HT4BVJT00189,compute-europe-west,1559,9,123,844,1,573
HT4BVJT00189,compute-europe-west,1085,31,299,205,0,549
HT4BVJT00189,compute-europe-west,1604,45,294,717,0,540
HT4BVJT00189,compute-europe-west,1344,12,215,558,1,553
HT4BVJT00189,joaquim-MS-7996,1619,22,72,4,0,1451
HT4BVJT00189,joaquim-MS-7996,2346,22,50,764,1,1412
HT4BVJT00189,joaquim-MS-7996,3406,13,38,1944,0,1409
HT4BVJT00189,joaquim-MS-7996,4743,23,35,3232,0,1399
HT4BVJT00189,joaquim-MS-7996,5930,17,39,4442,1,1425
HT4BVJT00189,compute-europe-west,808,32,216,2,0,555
HT4BVJT00189,compute-europe-west,1270,17,227,474,0,552
HT4BVJT00189,compute-europe-west,1763,18,190,980,0,538
HT4BVJT00189,compute-europe-west,1308,18,250,485,0,546
HT4BVJT00189,compute-europe-west,1100,24,247,214,0,535
HT4BVJT00189,compute-europe-west,1535,6,225,705,0,544
HT4BVJT00189,compute-europe-west,834,61,215,2,0,549
HT4BVJT00189,compute-europe-west,1177,21,137,469,0,547
HT4BVJT00189,joaquim-MS-7996,1531,31,63,37,0,1402
HT4BVJT00189,joaquim-MS-7996,2054,22,61,554,0,1401
HT4BVJT00189,joaquim-MS-7996,2336,22,47,818,0,1404
HT4BVJT00189,joaquim-MS-7996,1580,22,58,5,1,1486
HT4BVJT00189,joaquim-MS-7996,2881,30,44,1321,0,1406
HT4BVJT00189,compute-europe-west,868,14,207,1,1,547
HT4BVJT00189,compute-europe-west,867,7,210,2,1,550
HT4BVJT00189,compute-europe-west,995,13,288,3,0,591
HT4BVJT00189,compute-europe-west,1469,52,265,556,0,589
HT4BVJT00189,compute-europe-west,913,27,311,2,1,574
HT4BVJT00189,compute-europe-west,1474,24,393,461,1,593
HT4BVJT00189,compute-europe-west,1810,25,247,942,0,595
