ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00250,compute-europe-west,2354,20,1063,7,3,1134
HT4BVJT00003,joaquim-MS-7996,2443,11,575,17,8,1798
HT4BTJT00078,compute-europe-west,2462,25,650,808,3,944
HT4APJT01039,compute-europe-west,2359,11,770,633,2,938
HT4AVJT02309,joaquim-MS-7996,2318,13,514,50,1,1670
HT4BVJT00003,joaquim-MS-7996,3645,7,378,1555,1,1660
HT4BTJT00127,compute-europe-west,2271,14,734,586,2,930
HT4CWJT00250,compute-europe-west,3037,20,1647,392,2,920
HT4CWJT00250,compute-europe-west,3553,24,1466,1107,2,902
HT4BTJT00127,compute-europe-west,3349,17,545,1880,1,890
HT4CWJT00980,compute-europe-west,3648,27,623,2075,1,892
HT4BVJT00189,joaquim-MS-7996,2315,10,365,14,2,1725
HT4APJT01039,joaquim-MS-7996,2477,10,261,383,1,1717
HT4CWJT00980,joaquim-MS-7996,3728,21,362,1540,2,1789
HT4APJT01039,joaquim-MS-7996,4771,8,397,2582,2,1737
HT4APJT01039,joaquim-MS-7996,6108,10,190,4226,0,1662
HT4BTJT00127,joaquim-MS-7996,7567,17,395,5514,1,1647
HT4BVJT00003,joaquim-MS-7996,9045,18,394,6888,1,1653
HT4BTJT00078,joaquim-MS-7996,10540,14,1106,7762,1,1666
HT4BTJT00078,joaquim-MS-7996,15514,6,1213,12585,2,1675
HT4CWJT00980,joaquim-MS-7996,13463,15,827,10944,2,1662
HT4AVJT02309,joaquim-MS-7996,11679,26,670,9349,1,1642
HT4BTJT00127,compute-europe-west,1452,20,528,4,1,889
HT4BTJT00127,joaquim-MS-7996,15581,8,473,13361,1,1664
HT4CWJT00980,joaquim-MS-7996,17144,14,489,14940,1,1699
HT4BVJT00189,joaquim-MS-7996,20112,14,890,17560,1,1664
HT4BTJT00078,joaquim-MS-7996,18369,7,545,16151,2,1666
HT4AVJT02309,joaquim-MS-7996,23130,7,793,20615,2,1696
HT4BVJT00189,joaquim-MS-7996,21161,17,458,19024,0,1660
HT4BVJT00189,joaquim-MS-7996,23303,9,456,21128,2,1699
HT4BTJT00127,compute-europe-west,1713,12,642,13,1,922
HT4BTJT00078,compute-europe-west,2729,9,895,879,2,916
HT4BVJT00189,compute-europe-west,1792,10,816,11,1,918
HT4BTJT00127,compute-europe-west,3388,10,663,1797,2,904
HT4BTJT00078,compute-europe-west,2412,11,540,949,1,900
HT4CWJT00980,compute-europe-west,3775,23,669,2155,2,905
HT4APJT01039,compute-europe-west,4280,8,695,2653,2,904
HT4CWJT00250,compute-europe-west,4955,17,713,3302,2,894
HT4CWJT00250,compute-europe-west,4165,26,597,2600,2,917
HT4APJT01039,compute-europe-west,4889,11,621,3340,1,880
HT4APJT01039,compute-europe-west,5536,18,461,4075,2,887
HT4BVJT00189,compute-europe-west,5993,8,742,4335,2,911
HT4CWJT00250,compute-europe-west,4940,12,554,3343,2,910
HT4AVJT02309,joaquim-MS-7996,12723,20,317,10611,2,1717
HT4AVJT02309,compute-europe-west,3745,22,604,2200,1,910
HT4CWJT00980,compute-europe-west,4383,17,601,2811,1,914
HT4AVJT02309,joaquim-MS-7996,12793,12,349,10746,2,1651
HT4BTJT00078,compute-europe-west,4280,9,717,2600,2,922
HT4CWJT00980,compute-europe-west,5775,14,818,3969,2,894
HT4CWJT00980,compute-europe-west,6553,10,850,4789,1,875
HT4BVJT00189,compute-europe-west,4666,10,622,3089,1,894
HT4AVJT02309,compute-europe-west,7651,9,1300,5398,1,875
HT4APJT01039,compute-europe-west,8241,6,1056,6267,2,892
HT4BVJT00189,compute-europe-west,6412,22,397,5079,1,905
HT4APJT01039,compute-europe-west,11735,10,1459,9317,2,928
HT4CWJT00250,compute-europe-west,10617,13,1210,8477,1,909
HT4CWJT00250,compute-europe-west,8684,14,1010,6773,1,891
HT4APJT01039,compute-europe-west,9479,11,941,7593,2,897
HT4BVJT00003,compute-europe-west,12955,7,1515,10422,1,904
HT4AVJT02309,compute-europe-west,11242,10,714,9615,2,899
HT4CWJT00980,compute-europe-west,12667,51,740,10852,2,908
HT4APJT01039,compute-europe-west,12155,10,563,10663,2,896
HT4BTJT00127,compute-europe-west,12503,9,636,10931,2,917
HT4BTJT00127,compute-europe-west,12563,8,354,11287,2,915
HT4APJT01039,joaquim-MS-7996,7344,6,353,5199,2,1667
HT4CWJT00250,joaquim-MS-7996,8733,16,341,6621,1,1645
HT4BVJT00003,joaquim-MS-7996,9632,8,226,7665,1,1654
HT4AVJT02309,joaquim-MS-7996,10650,10,249,8710,2,1665
HT4BTJT00127,joaquim-MS-7996,11627,8,293,9662,1,1654
HT4BVJT00189,joaquim-MS-7996,13219,16,489,10951,2,1659
HT4APJT01039,compute-europe-west,10574,8,1142,8489,1,919
HT4AVJT02309,joaquim-MS-7996,16183,21,822,13686,1,1669
HT4BTJT00127,joaquim-MS-7996,14306,14,457,12180,1,1658
HT4CWJT00980,joaquim-MS-7996,17547,14,752,15118,1,1665
HT4CWJT00250,compute-europe-west,8232,16,629,6619,2,921
HT4AVJT02309,compute-europe-west,8325,20,1112,6279,2,900
HT4CWJT00250,compute-europe-west,8477,26,456,7008,1,899
HT4BTJT00127,compute-europe-west,7936,9,648,6357,2,912
HT4BTJT00127,compute-europe-west,8143,8,302,6931,1,895
HT4APJT01039,compute-europe-west,8448,6,5345,2182,2,903
HT4AVJT02309,compute-europe-west,11085,11,6757,3401,1,911
HT4CWJT00980,compute-europe-west,9260,16,6271,2038,2,924
HT4BVJT00003,joaquim-MS-7996,10708,9,385,8544,2,1683
HT4BTJT00127,compute-europe-west,8289,18,4632,2752,1,896
HT4AVJT02309,compute-europe-west,10690,9,5424,4253,2,908
HT4BTJT00127,compute-europe-west,9730,34,3680,5112,2,905
HT4CWJT00980,compute-europe-west,7933,20,3286,3645,1,890
HT4AVJT02309,joaquim-MS-7996,7918,12,362,5722,2,1716
HT4BTJT00078,compute-europe-west,5592,10,608,3989,1,902
HT4CWJT00980,compute-europe-west,9332,25,3134,5278,1,891
HT4BTJT00078,compute-europe-west,6884,8,731,5215,2,913
HT4BVJT00003,compute-europe-west,8023,7,1350,5583,1,895
HT4BVJT00189,compute-europe-west,10489,8,4818,4683,2,901
HT4APJT01039,joaquim-MS-7996,5207,8,370,3067,1,1657
HT4BTJT00127,compute-europe-west,7084,8,927,5260,1,884
HT4BVJT00189,joaquim-MS-7996,5511,43,283,3348,1,1658
HT4CWJT00980,joaquim-MS-7996,6712,14,372,4636,1,1669
HT4CWJT00250,joaquim-MS-7996,8258,16,459,6122,1,1656
HT4BVJT00189,joaquim-MS-7996,9614,17,606,7315,2,1675
HT4BVJT00189,joaquim-MS-7996,11236,7,765,8763,2,1692
HT4BVJT00189,joaquim-MS-7996,12720,30,531,10390,1,1670
HT4CWJT00250,joaquim-MS-7996,14220,13,502,11972,1,1657
HT4BTJT00127,compute-europe-west,5865,23,718,4216,1,888
HT4BTJT00078,compute-europe-west,6016,18,1294,3796,1,902
HT4CWJT00250,compute-europe-west,4892,11,812,3170,1,886
HT4BTJT00127,compute-europe-west,5206,6,546,3709,1,881
HT4BVJT00189,joaquim-MS-7996,10815,8,329,8786,2,1669
HT4CWJT00250,compute-europe-west,6217,15,1628,3658,2,914
HT4BTJT00078,compute-europe-west,5220,10,1194,3092,2,903
HT4BVJT00189,joaquim-MS-7996,12041,16,282,9948,2,1677
HT4BTJT00078,compute-europe-west,5962,25,1090,3961,1,891
HT4CWJT00250,compute-europe-west,5608,20,2525,2136,1,914
HT4AVJT02309,joaquim-MS-7996,11042,8,338,8941,2,1692
HT4APJT01039,joaquim-MS-7996,12275,11,220,10349,1,1663
HT4BVJT00189,joaquim-MS-7996,13681,7,400,11507,1,1686
HT4BTJT00078,compute-europe-west,4883,9,2247,1687,1,912
