ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,compute-europe-west,2660,8,612,30,12,1929
HT4BTJT00078,compute-europe-west,2752,10,278,1293,3,1148
HT4BTJT00078,compute-europe-west,3584,10,476,2024,5,1035
HT4BTJT00078,compute-europe-west,4850,8,1348,2473,2,1005
HT4BTJT00078,compute-europe-west,2768,9,1148,622,2,1008
HT4BTJT00078,compute-europe-west,5706,4,1332,3340,2,1014
HT4BTJT00078,compute-europe-west,3422,11,789,1629,1,997
HT4BTJT00078,compute-europe-west,6334,6,970,4275,1,994
HT4BTJT00078,compute-europe-west,6594,6,721,4844,2,1008
HT4BTJT00078,compute-europe-west,7469,4,869,5606,2,981
HT4BTJT00078,compute-europe-west,7950,27,461,6485,1,965
HT4BTJT00078,compute-europe-west,8486,15,397,7081,2,988
HT4BTJT00078,compute-europe-west,9061,15,372,7671,2,971
HT4BTJT00078,compute-europe-west,9697,10,402,8290,2,989
HT4BTJT00078,compute-europe-west,8813,6,592,7216,3,982
HT4BTJT00078,compute-europe-west,9367,21,533,7831,2,973
HT4BTJT00078,compute-europe-west,14505,9,13537,6,2,956
HT4BTJT00078,compute-europe-west,17207,15,16196,5,2,983
HT4BTJT00078,compute-europe-west,17743,9,16204,561,1,962
HT4BTJT00078,compute-europe-west,47320,10,28452,17881,4,979
HT4BTJT00078,compute-europe-west,25802,9,20705,4094,2,1003
HT4BTJT00078,compute-europe-west,35479,6,23117,11354,2,999
HT4BTJT00078,compute-europe-west,20353,9,17638,1738,2,973
HT4BTJT00078,compute-europe-west,16457,7,14416,1084,1,948
HT4BTJT00078,compute-europe-west,35902,5,22704,12175,2,1004
HT4BTJT00078,compute-europe-west,17187,8,16138,73,1,959
HT4BTJT00078,compute-europe-west,32496,14,21557,9912,2,981
HT4BTJT00078,compute-europe-west,27381,68,20317,6007,2,983
HT4BTJT00078,compute-europe-west,19449,10,16122,2322,2,982
HT4BTJT00078,compute-europe-west,31560,7,19927,10638,2,985
HT4BTJT00078,compute-europe-west,16018,12,13644,1388,1,972
HT4BTJT00078,compute-europe-west,17746,16,13901,2848,2,969
HT4BTJT00078,compute-europe-west,34397,5,17929,15490,2,1002
HT4BTJT00078,compute-europe-west,18568,4,14066,3533,2,977
HT4BTJT00078,compute-europe-west,30926,8,16988,12940,3,992
HT4BTJT00078,compute-europe-west,24381,12,15155,8220,2,964
HT4BTJT00078,compute-europe-west,31825,13,16134,14685,2,1000
HT4BTJT00078,compute-europe-west,10905,20,9179,751,1,959
HT4BTJT00078,compute-europe-west,18701,8,12832,4879,2,977
HT4BTJT00078,compute-europe-west,23690,14,13634,9075,2,959
HT4BTJT00078,compute-europe-west,13220,9,8645,3580,2,978
HT4BTJT00078,compute-europe-west,19657,5,11350,7346,2,965
HT4BTJT00078,compute-europe-west,15957,16,9781,5198,1,966
HT4BTJT00078,compute-europe-west,29587,10,12870,15720,3,984
HT4BTJT00078,compute-europe-west,26215,15,11383,13826,2,991
HT4BTJT00078,compute-europe-west,17163,12,9241,6943,1,966
HT4BTJT00078,compute-europe-west,31836,6,13620,17271,2,964
HT4BTJT00078,compute-europe-west,32779,40,14241,17506,2,974
HT4BTJT00078,compute-europe-west,33873,13,15217,17672,2,966
HT4BTJT00078,compute-europe-west,26504,6,8631,16911,2,953
HT4BTJT00078,compute-europe-west,33895,9,14490,18396,2,990
HT4BTJT00078,compute-europe-west,29557,8,11764,16849,2,950
HT4BTJT00078,compute-europe-west,36923,7,16556,19345,2,996
HT4BTJT00078,compute-europe-west,31627,6,11838,18790,2,987
HT4BTJT00078,compute-europe-west,30477,14,11022,18479,2,961
HT4BTJT00078,compute-europe-west,37642,12,20700,15908,2,1013
HT4BTJT00078,compute-europe-west,22027,12,4710,16348,1,953
HT4BTJT00078,compute-europe-west,30805,16,11880,17934,2,973
HT4BTJT00078,compute-europe-west,30863,23,10929,18905,2,996
HT4BTJT00078,compute-europe-west,37266,21,21875,14355,2,986
HT4BTJT00078,compute-europe-west,34848,14,17716,16105,2,1007
HT4BTJT00078,compute-europe-west,31066,8,14902,15167,1,978
HT4BTJT00078,compute-europe-west,36344,11,27776,7586,2,964
HT4BTJT00078,compute-europe-west,32947,14,16882,15057,2,989
HT4BTJT00078,compute-europe-west,38979,6,37807,171,2,970
HT4BTJT00078,compute-europe-west,40253,7,37812,1475,2,966
HT4BTJT00078,compute-europe-west,36416,8,32481,2956,2,963
HT4BTJT00078,compute-europe-west,41798,5,39912,900,2,974
HT4BTJT00078,compute-europe-west,25815,5,5197,19641,1,964
HT4BTJT00078,compute-europe-west,44802,11,41816,2005,3,973
HT4BTJT00078,compute-europe-west,33857,29,28488,4346,2,975
HT4BTJT00078,compute-europe-west,41510,5,39302,1231,2,967
HT4BTJT00078,compute-europe-west,36665,6,34922,796,2,953
HT4BTJT00078,compute-europe-west,33755,9,30679,2101,1,962
HT4BTJT00078,compute-europe-west,61328,7,59525,801,3,978
HT4BTJT00078,compute-europe-west,29142,5,21232,6927,2,965
HT4BTJT00078,compute-europe-west,53921,6,52920,17,2,992
HT4BTJT00078,compute-europe-west,37445,14,35385,1075,1,954
HT4BTJT00078,compute-europe-west,58451,14,55358,2129,2,973
HT4BTJT00078,compute-europe-west,64196,19,55971,7231,2,969
HT4BTJT00078,compute-europe-west,73330,16,59711,12622,3,970
HT4BTJT00078,compute-europe-west,37565,4,36569,5,1,982
HT4BTJT00078,compute-europe-west,37642,8,36568,129,2,945
HT4BTJT00078,compute-europe-west,32065,12,29130,1972,1,945
HT4BTJT00078,compute-europe-west,38384,4,36586,838,2,948
HT4BTJT00078,compute-europe-west,28142,12,25069,2101,2,955
HT4BTJT00078,compute-europe-west,59887,9,52309,6608,3,964
HT4BTJT00078,compute-europe-west,33052,13,29885,2178,1,970
HT4BTJT00078,compute-europe-west,35119,19,33509,619,1,969
HT4BTJT00078,compute-europe-west,51307,7,48132,2179,2,976
HT4BTJT00078,compute-europe-west,73387,4,56115,16288,2,973
HT4BTJT00078,compute-europe-west,51714,6,47827,2910,2,965
HT4BTJT00078,compute-europe-west,53492,5,47413,5094,1,963
HT4BTJT00078,compute-europe-west,92028,13,62278,28707,4,993
HT4BTJT00078,compute-europe-west,31069,13,28552,1514,1,979
HT4BTJT00078,compute-europe-west,44195,16,42054,1184,2,960
HT4BTJT00078,compute-europe-west,42028,20,41054,5,2,969
HT4BTJT00078,compute-europe-west,61485,5,46957,13552,2,966
HT4BTJT00078,compute-europe-west,63025,10,47543,14519,1,965
HT4BTJT00078,compute-europe-west,69736,6,50184,18574,2,966
HT4BTJT00078,compute-europe-west,27011,19,26011,5,1,976
HT4BTJT00078,compute-europe-west,43342,47,38601,3730,1,958
HT4BTJT00078,compute-europe-west,35477,17,34110,387,1,959
HT4BTJT00078,compute-europe-west,44398,11,37489,5932,1,965
HT4BTJT00078,compute-europe-west,51803,31,40382,10442,2,948
HT4BTJT00078,compute-europe-west,96541,42,61911,33550,3,1053
HT4BTJT00078,compute-europe-west,81553,5,51576,28974,3,979
HT4BTJT00078,compute-europe-west,47576,15,36974,9588,1,984
HT4BTJT00078,compute-europe-west,59049,36,42718,15339,2,954
HT4BTJT00078,compute-europe-west,46518,33,36796,8743,1,952
HT4BTJT00078,compute-europe-west,69538,42,46618,21908,3,970
HT4BTJT00078,compute-europe-west,70391,4,46827,22586,2,971
HT4BTJT00078,compute-europe-west,47179,11,35914,10303,1,952
HT4BTJT00078,compute-europe-west,44221,4,35292,7975,1,952
HT4BTJT00078,compute-europe-west,69453,4,45278,23182,2,974
HT4BTJT00078,compute-europe-west,49759,10,37310,11461,1,967
HT4BTJT00078,compute-europe-west,50650,41,37246,12413,2,950
