ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,joaquim-MS-7996,1625,17,27,6,0,1530
HT4BTJT00078,joaquim-MS-7996,1602,18,47,4,0,1527
HT4BTJT00078,joaquim-MS-7996,1602,59,109,21,1,1419
HT4BTJT00078,joaquim-MS-7996,1536,23,85,2,1,1417
HT4BTJT00078,joaquim-MS-7996,2240,26,65,622,0,1432
HT4BTJT00078,joaquim-MS-7996,2844,26,80,1316,1,1398
HT4BTJT00078,joaquim-MS-7996,3461,23,62,1923,0,1401
HT4BTJT00078,joaquim-MS-7996,3072,14,25,1633,0,1398
HT4BTJT00078,joaquim-MS-7996,1664,21,46,6,0,1518
HT4BTJT00078,joaquim-MS-7996,1650,24,56,6,1,1510
HT4BTJT00078,joaquim-MS-7996,2273,17,49,800,0,1405
HT4BTJT00078,joaquim-MS-7996,1632,24,84,6,1,1492
HT4BTJT00078,joaquim-MS-7996,1567,14,57,7,1,1481
HT4BTJT00078,joaquim-MS-7996,1615,20,33,6,1,1470
HT4BTJT00078,joaquim-MS-7996,2036,21,46,3,0,1846
HT4BTJT00078,joaquim-MS-7996,1611,23,38,6,0,1492
HT4BTJT00078,joaquim-MS-7996,1561,22,63,7,1,1463
HT4BTJT00078,joaquim-MS-7996,1613,53,52,7,0,1481
HT4BTJT00078,joaquim-MS-7996,1586,14,56,6,0,1499
HT4BTJT00078,joaquim-MS-7996,1621,26,64,6,1,1472
HT4BTJT00078,joaquim-MS-7996,2030,18,38,492,0,1385
HT4BTJT00078,joaquim-MS-7996,1620,54,64,6,1,1459
HT4BTJT00078,joaquim-MS-7996,1511,22,27,6,0,1446
HT4BTJT00078,joaquim-MS-7996,1832,16,31,330,0,1403
HT4BTJT00078,joaquim-MS-7996,2243,22,58,775,0,1384
HT4BTJT00078,joaquim-MS-7996,1613,55,41,6,1,1488
HT4BTJT00078,joaquim-MS-7996,1633,24,47,6,0,1513
HT4BTJT00078,joaquim-MS-7996,1626,22,67,3,1,1431
HT4BTJT00078,joaquim-MS-7996,1626,21,37,11,0,1501
HT4BTJT00078,joaquim-MS-7996,1538,18,66,4,0,1427
HT4BTJT00078,joaquim-MS-7996,1587,20,58,6,1,1492
HT4BTJT00078,joaquim-MS-7996,2404,7,35,959,1,1398
HT4BTJT00078,joaquim-MS-7996,1906,17,39,463,0,1387
HT4BTJT00078,joaquim-MS-7996,2962,13,33,1468,0,1403
HT4BTJT00078,joaquim-MS-7996,2957,20,34,1422,0,1385
HT4BTJT00078,joaquim-MS-7996,3666,21,78,2142,0,1407
HT4BTJT00078,joaquim-MS-7996,1777,22,52,302,0,1393
HT4BTJT00078,joaquim-MS-7996,1612,15,66,3,0,1418
HT4BTJT00078,joaquim-MS-7996,1607,14,63,5,1,1493
HT4BTJT00078,joaquim-MS-7996,1584,21,105,7,0,1433
HT4BTJT00078,joaquim-MS-7996,1560,13,49,6,0,1473
HT4BTJT00078,joaquim-MS-7996,1632,13,42,6,0,1506
HT4BTJT00078,joaquim-MS-7996,1634,14,62,7,1,1527
HT4BTJT00078,joaquim-MS-7996,2345,30,57,705,0,1431
HT4BTJT00078,joaquim-MS-7996,2825,18,60,1318,0,1413
HT4BTJT00078,joaquim-MS-7996,3623,12,49,2091,1,1398
HT4BTJT00078,joaquim-MS-7996,3154,21,25,1609,0,1394
HT4BTJT00078,joaquim-MS-7996,1604,17,40,7,1,1525
HT4BTJT00078,joaquim-MS-7996,1615,23,51,5,1,1514
HT4BTJT00078,joaquim-MS-7996,2335,26,50,812,0,1409
HT4BTJT00078,joaquim-MS-7996,1551,18,80,4,1,1424
HT4BTJT00078,joaquim-MS-7996,1619,23,60,6,1,1483
HT4BTJT00078,joaquim-MS-7996,1604,25,40,7,0,1463
HT4BTJT00078,joaquim-MS-7996,1514,22,38,6,0,1440
HT4BTJT00078,joaquim-MS-7996,1621,19,36,5,0,1477
HT4BTJT00078,joaquim-MS-7996,1627,19,55,5,1,1438
HT4BTJT00078,joaquim-MS-7996,1578,25,59,7,0,1436
HT4BTJT00078,joaquim-MS-7996,1619,31,59,6,1,1442
HT4BTJT00078,joaquim-MS-7996,1617,11,57,6,0,1453
HT4BTJT00078,joaquim-MS-7996,1897,11,31,435,0,1359
HT4BTJT00078,joaquim-MS-7996,1538,22,62,7,1,1436
HT4BTJT00078,joaquim-MS-7996,1623,27,34,4,1,1453
HT4BTJT00078,joaquim-MS-7996,1928,15,22,352,0,1375
HT4BTJT00078,joaquim-MS-7996,2201,12,45,776,0,1355
HT4BTJT00078,joaquim-MS-7996,1557,17,34,4,0,1457
HT4BTJT00078,joaquim-MS-7996,1520,22,43,5,1,1427
HT4BTJT00078,joaquim-MS-7996,1503,25,64,3,1,1402
HT4BTJT00078,joaquim-MS-7996,1593,17,39,5,1,1455
HT4BTJT00078,joaquim-MS-7996,1521,15,61,3,0,1394
HT4BTJT00078,joaquim-MS-7996,1608,12,53,6,0,1458
HT4BTJT00078,joaquim-MS-7996,2239,12,44,777,0,1364
HT4BTJT00078,joaquim-MS-7996,1714,19,42,289,0,1361
HT4BTJT00078,joaquim-MS-7996,2744,15,31,1250,0,1360
HT4BTJT00078,joaquim-MS-7996,2763,15,34,1294,0,1358
HT4BTJT00078,joaquim-MS-7996,3339,19,81,1865,0,1366
HT4BTJT00078,joaquim-MS-7996,1625,18,43,98,0,1368
HT4BTJT00078,joaquim-MS-7996,1613,23,68,6,0,1441
HT4BTJT00078,joaquim-MS-7996,1489,25,63,2,0,1389
HT4BTJT00078,joaquim-MS-7996,1519,39,58,6,0,1393
HT4BTJT00078,joaquim-MS-7996,1617,37,176,102,1,1380
HT4BTJT00078,joaquim-MS-7996,1615,30,43,5,1,1489
HT4BTJT00078,joaquim-MS-7996,1588,58,62,8,1,1454
HT4BTJT00078,joaquim-MS-7996,2269,28,67,713,0,1391
HT4BTJT00078,joaquim-MS-7996,2831,15,68,1370,1,1365
HT4BTJT00078,joaquim-MS-7996,3378,23,53,1920,0,1377
HT4BTJT00078,joaquim-MS-7996,3055,28,25,1582,0,1353
HT4BTJT00078,joaquim-MS-7996,1515,32,41,6,1,1408
HT4BTJT00078,joaquim-MS-7996,1514,12,48,5,1,1442
HT4BTJT00078,joaquim-MS-7996,2239,24,52,721,0,1367
HT4BTJT00078,joaquim-MS-7996,1555,25,67,8,1,1446
HT4BTJT00078,joaquim-MS-7996,1623,29,50,5,1,1431
HT4BTJT00078,joaquim-MS-7996,1613,28,31,5,0,1438
HT4BTJT00078,joaquim-MS-7996,1524,22,44,6,1,1411
HT4BTJT00078,joaquim-MS-7996,1499,20,36,6,1,1426
HT4BTJT00078,joaquim-MS-7996,1619,34,68,6,1,1433
HT4BTJT00078,joaquim-MS-7996,1623,20,47,6,1,1459
HT4BTJT00078,joaquim-MS-7996,1618,22,53,6,1,1446
HT4BTJT00078,joaquim-MS-7996,1487,24,57,3,1,1390
HT4BTJT00078,joaquim-MS-7996,1735,20,37,203,0,1358
HT4BTJT00078,joaquim-MS-7996,1588,23,64,5,1,1448
HT4BTJT00078,joaquim-MS-7996,1439,20,32,3,0,1375
HT4BTJT00078,joaquim-MS-7996,1630,22,31,156,1,1370
HT4BTJT00078,joaquim-MS-7996,2167,22,53,611,1,1365
HT4BTJT00078,joaquim-MS-7996,1620,46,31,5,0,1474
HT4BTJT00078,joaquim-MS-7996,1522,21,43,5,1,1440
HT4BTJT00078,joaquim-MS-7996,1521,9,46,3,0,1402
HT4BTJT00078,joaquim-MS-7996,1526,19,35,5,31,1417
HT4BTJT00078,joaquim-MS-7996,1511,14,67,3,0,1411
HT4BTJT00078,joaquim-MS-7996,1526,19,58,6,1,1424
HT4BTJT00078,joaquim-MS-7996,2177,27,40,724,1,1364
HT4BTJT00078,joaquim-MS-7996,1767,18,46,347,0,1356
HT4BTJT00078,joaquim-MS-7996,2749,34,38,1289,0,1349
HT4BTJT00078,joaquim-MS-7996,2745,11,38,1322,0,1353
HT4BTJT00078,joaquim-MS-7996,3360,10,75,1916,0,1358
HT4BTJT00078,joaquim-MS-7996,1514,24,48,15,0,1365
HT4BTJT00078,joaquim-MS-7996,1619,27,74,5,0,1436
HT4BTJT00078,joaquim-MS-7996,1496,16,58,6,1,1404
