ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,joaquim-MS-7996,1900,32,275,10,3,1461
HT4BTJT00030,joaquim-MS-7996,3134,13,264,1302,1,1506
HT4AVJT02309,joaquim-MS-7996,4274,18,93,2694,0,1419
HT4BVJT00003,joaquim-MS-7996,4465,17,275,2677,1,1430
HT4BTJT00078,joaquim-MS-7996,5664,30,215,3919,1,1406
HT4BTJT00030,joaquim-MS-7996,6785,21,158,5082,1,1436
HT4CWJT00980,joaquim-MS-7996,7733,15,173,6042,0,1473
HT4BTJT00127,joaquim-MS-7996,9244,13,168,7378,1,1471
HT4BTJT00127,joaquim-MS-7996,10334,11,173,8400,1,1626
HT4CWJT00980,joaquim-MS-7996,10512,30,200,8829,7,1400
HT4CWJT00250,joaquim-MS-7996,11634,16,100,9937,0,1523
HT4APJT01039,joaquim-MS-7996,12280,19,125,10427,0,1697
HT4BVJT00003,joaquim-MS-7996,12440,18,131,10579,1,1696
HT4CWJT00250,joaquim-MS-7996,13701,11,185,11941,2,1555
HT4BVJT00003,joaquim-MS-7996,14309,23,179,12654,0,1449
HT4BVJT00003,joaquim-MS-7996,15426,18,124,13851,0,1361
HT4BTJT00030,joaquim-MS-7996,16497,15,190,14894,1,1349
HT4AVJT02309,joaquim-MS-7996,19222,37,319,17419,1,1358
HT4CWJT00980,joaquim-MS-7996,17888,31,229,16144,0,1369
HT4AVJT02309,joaquim-MS-7996,20558,30,358,18721,0,1438
HT4BTJT00078,joaquim-MS-7996,21361,15,135,19820,0,1387
HT4CWJT00980,joaquim-MS-7996,22180,43,175,20489,0,1353
HT4CWJT00980,joaquim-MS-7996,22677,38,159,21033,0,1391
HT4AVJT02309,joaquim-MS-7996,23835,43,180,22227,1,1376
HT4APJT01039,joaquim-MS-7996,25080,20,232,23474,1,1358
HT4BTJT00078,joaquim-MS-7996,26275,8,180,24705,1,1377
HT4APJT01039,joaquim-MS-7996,27308,13,147,25775,0,1358
HT4CWJT00250,joaquim-MS-7996,28342,13,89,26807,0,1378
HT4AVJT02309,joaquim-MS-7996,29442,20,190,27852,0,1379
HT4CWJT00250,joaquim-MS-7996,30521,23,180,28872,0,1371
HT4APJT01039,joaquim-MS-7996,31508,12,187,29911,0,1385
HT4CWJT00980,joaquim-MS-7996,30489,15,158,28854,1,1367
HT4APJT01039,joaquim-MS-7996,29986,55,208,28301,1,1371
HT4CWJT00980,joaquim-MS-7996,30073,15,241,28436,1,1358
HT4BVJT00003,joaquim-MS-7996,30765,33,245,29031,0,1350
HT4BTJT00127,joaquim-MS-7996,31707,22,104,30154,0,1356
HT4CWJT00250,joaquim-MS-7996,31786,14,159,30242,1,1361
HT4AVJT02309,joaquim-MS-7996,32758,24,127,31126,1,1365
HT4BVJT00003,joaquim-MS-7996,33924,18,238,32300,1,1365
HT4BTJT00127,joaquim-MS-7996,35264,25,278,33583,1,1372
HT4BVJT00003,joaquim-MS-7996,36440,14,173,34770,1,1399
HT4APJT01039,joaquim-MS-7996,37500,15,192,35892,1,1366
HT4BTJT00127,joaquim-MS-7996,36596,22,142,35068,1,1349
HT4BTJT00078,joaquim-MS-7996,37048,48,163,35380,1,1349
HT4BTJT00078,joaquim-MS-7996,37404,14,199,35818,0,1366
HT4BTJT00078,joaquim-MS-7996,38070,12,170,36486,0,1346
HT4APJT01039,joaquim-MS-7996,38269,6,276,36600,1,1356
HT4CWJT00250,joaquim-MS-7996,39275,17,88,37709,0,1357
HT4BTJT00078,joaquim-MS-7996,40428,22,161,38809,0,1351
HT4APJT01039,joaquim-MS-7996,41451,11,233,39791,1,1356
HT4BVJT00003,joaquim-MS-7996,42779,19,291,41074,1,1359
HT4BVJT00003,joaquim-MS-7996,44024,8,293,42342,1,1368
HT4BTJT00127,joaquim-MS-7996,46567,14,265,44807,0,1379
HT4BTJT00127,joaquim-MS-7996,47880,51,234,46168,0,1364
HT4BVJT00003,joaquim-MS-7996,44947,7,74,43488,0,1364
HT4BTJT00030,joaquim-MS-7996,48915,14,126,47356,0,1372
HT4CWJT00250,joaquim-MS-7996,49934,28,112,48434,0,1355
HT4CWJT00250,joaquim-MS-7996,51280,15,213,49677,1,1368
HT4BTJT00078,joaquim-MS-7996,52423,22,154,50726,0,1367
HT4BVJT00003,joaquim-MS-7996,51893,12,118,50285,0,1370
HT4CWJT00980,joaquim-MS-7996,52613,16,173,50969,1,1361
HT4CWJT00250,joaquim-MS-7996,53848,13,150,52270,1,1364
HT4CWJT00980,joaquim-MS-7996,54415,19,153,52859,0,1365
HT4BVJT00003,joaquim-MS-7996,55401,10,146,53871,0,1364
HT4BTJT00127,joaquim-MS-7996,56543,19,125,54980,1,1357
HT4BTJT00030,joaquim-MS-7996,57211,21,112,55587,1,1370
HT4BTJT00078,joaquim-MS-7996,57972,14,88,56488,0,1376
HT4CWJT00980,joaquim-MS-7996,58644,47,295,56897,1,1370
HT4APJT01039,joaquim-MS-7996,59968,9,381,58115,0,1376
HT4BVJT00003,joaquim-MS-7996,61210,10,298,59484,0,1358
HT4BTJT00078,joaquim-MS-7996,62399,25,239,60735,0,1360
HT4CWJT00980,joaquim-MS-7996,63662,23,142,61828,0,1367
HT4CWJT00250,joaquim-MS-7996,62690,19,160,61129,0,1365
HT4BTJT00127,joaquim-MS-7996,63354,33,171,61740,0,1357
HT4BTJT00078,joaquim-MS-7996,64084,15,133,62455,1,1366
HT4BTJT00127,joaquim-MS-7996,64507,7,142,62915,0,1361
HT4CWJT00980,joaquim-MS-7996,64376,27,145,62790,1,1376
HT4CWJT00980,joaquim-MS-7996,64994,26,146,63355,0,1357
HT4BTJT00078,joaquim-MS-7996,65854,28,163,64302,0,1365
HT4BVJT00003,joaquim-MS-7996,67238,21,174,65647,0,1368
HT4AVJT02309,joaquim-MS-7996,68471,8,193,66788,1,1361
HT4BTJT00030,joaquim-MS-7996,68588,31,143,66968,1,1364
HT4CWJT00980,joaquim-MS-7996,69374,17,164,67810,1,1361
HT4CWJT00250,joaquim-MS-7996,70518,14,185,68948,0,1359
HT4CWJT00980,joaquim-MS-7996,71868,17,118,70279,0,1351
HT4AVJT02309,joaquim-MS-7996,72794,17,147,71191,1,1363
HT4BTJT00078,joaquim-MS-7996,73513,13,95,72003,1,1367
HT4BTJT00078,joaquim-MS-7996,72176,24,171,70518,1,1358
HT4CWJT00250,joaquim-MS-7996,72367,11,104,70814,0,1375
HT4CWJT00980,joaquim-MS-7996,72342,18,122,70805,1,1352
HT4AVJT02309,joaquim-MS-7996,73411,22,85,71928,1,1353
HT4CWJT00250,joaquim-MS-7996,74312,18,146,72692,1,1358
HT4BTJT00030,joaquim-MS-7996,75339,13,171,73734,1,1362
HT4APJT01039,joaquim-MS-7996,76603,14,193,75019,0,1349
HT4BVJT00003,joaquim-MS-7996,77312,19,98,75719,1,1357
HT4CWJT00980,joaquim-MS-7996,78329,19,68,76879,0,1353
HT4APJT01039,joaquim-MS-7996,78558,9,127,76997,1,1361
HT4AVJT02309,joaquim-MS-7996,79239,9,148,77682,0,1366
HT4BTJT00127,joaquim-MS-7996,80460,11,204,78879,0,1361
HT4APJT01039,joaquim-MS-7996,81895,21,222,80119,1,1369
HT4BTJT00127,joaquim-MS-7996,82599,43,178,81009,0,1358
HT4AVJT02309,joaquim-MS-7996,83747,25,92,82259,0,1362
HT4CWJT00250,joaquim-MS-7996,84504,28,224,82811,1,1377
HT4CWJT00980,joaquim-MS-7996,84972,15,94,83464,1,1374
HT4AVJT02309,joaquim-MS-7996,84964,13,134,83375,1,1360
HT4APJT01039,joaquim-MS-7996,83398,13,87,81876,1,1347
HT4BTJT00078,joaquim-MS-7996,82928,16,88,81417,0,1371
HT4BVJT00003,joaquim-MS-7996,83737,19,119,82232,0,1359
HT4CWJT00980,joaquim-MS-7996,84331,25,154,82715,1,1378
HT4CWJT00980,joaquim-MS-7996,84247,15,104,82733,0,1365
HT4BTJT00078,joaquim-MS-7996,85380,20,96,83804,1,1376
HT4BVJT00003,joaquim-MS-7996,85484,11,104,83952,2,1354
HT4BTJT00030,joaquim-MS-7996,86095,12,148,84528,1,1361
HT4BTJT00127,joaquim-MS-7996,87254,24,161,85713,1,1350
HT4BTJT00127,joaquim-MS-7996,87317,21,143,85716,1,1368
HT4CWJT00980,joaquim-MS-7996,88645,25,314,86934,0,1368
HT4BTJT00030,joaquim-MS-7996,87302,24,285,85599,1,1368
HT4CWJT00250,joaquim-MS-7996,89011,16,145,87466,0,1375
HT4BTJT00127,joaquim-MS-7996,90184,7,130,88656,0,1352
HT4BVJT00003,joaquim-MS-7996,91430,21,213,89827,0,1374
HT4BVJT00003,joaquim-MS-7996,92613,43,100,91041,0,1373
HT4BTJT00030,joaquim-MS-7996,93675,11,137,92140,0,1353
HT4CWJT00250,joaquim-MS-7996,94525,7,101,93040,1,1362
HT4CWJT00250,joaquim-MS-7996,95512,16,166,93949,0,1360
HT4APJT01039,joaquim-MS-7996,95994,14,117,94494,0,1359
HT4CWJT00250,joaquim-MS-7996,96956,18,147,95412,0,1373
HT4APJT01039,joaquim-MS-7996,98168,48,174,96508,0,1382
HT4CWJT00250,joaquim-MS-7996,98795,8,145,97151,1,1395
HT4BVJT00003,joaquim-MS-7996,97859,12,132,96329,0,1371
HT4CWJT00250,joaquim-MS-7996,99095,23,170,97518,0,1357
