ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,joaquim-MS-7996,2218,10,532,8,3,1627
HT4BVJT00189,joaquim-MS-7996,5266,12,876,2632,4,1622
HT4AVJT02309,joaquim-MS-7996,3334,16,539,1069,1,1611
HT4BVJT00003,joaquim-MS-7996,5279,11,525,3115,3,1591
HT4BTJT00078,joaquim-MS-7996,6433,19,422,4386,1,1554
HT4BVJT00189,joaquim-MS-7996,7844,24,418,5720,2,1588
HT4CWJT00980,joaquim-MS-7996,10506,11,915,7991,2,1585
HT4BTJT00127,joaquim-MS-7996,8899,10,811,6367,6,1659
HT4BTJT00127,joaquim-MS-7996,11535,9,469,9489,2,1555
HT4CWJT00980,joaquim-MS-7996,12045,17,529,9914,1,1553
HT4CWJT00250,joaquim-MS-7996,13074,11,348,11104,1,1553
HT4APJT01039,joaquim-MS-7996,13795,15,400,11689,1,1586
HT4BVJT00003,joaquim-MS-7996,13753,26,238,11857,1,1540
HT4CWJT00250,joaquim-MS-7996,14910,26,321,12929,1,1550
HT4BVJT00003,joaquim-MS-7996,15823,7,503,13710,4,1550
HT4BVJT00003,joaquim-MS-7996,16970,7,231,15178,1,1536
HT4AVJT02309,joaquim-MS-7996,19727,19,1258,16903,1,1566
HT4CWJT00980,joaquim-MS-7996,21343,16,1229,18456,1,1571
HT4AVJT02309,joaquim-MS-7996,22866,7,1360,19900,2,1583
HT4BVJT00189,joaquim-MS-7996,18184,6,567,16018,1,1543
HT4CWJT00250,joaquim-MS-7996,23830,10,973,21266,2,1555
HT4BTJT00078,joaquim-MS-7996,25281,14,895,22813,1,1562
HT4CWJT00980,joaquim-MS-7996,26309,18,461,24276,1,1538
HT4CWJT00250,joaquim-MS-7996,27307,22,381,25267,1,1587
HT4CWJT00980,joaquim-MS-7996,28799,16,825,26319,1,1547
HT4AVJT02309,joaquim-MS-7996,30061,10,765,27651,1,1553
HT4APJT01039,joaquim-MS-7996,31591,5,1314,28705,2,1559
HT4BTJT00078,joaquim-MS-7996,34354,9,963,31685,2,1584
HT4APJT01039,joaquim-MS-7996,32482,13,707,30168,1,1559
HT4APJT01039,joaquim-MS-7996,34317,6,559,32175,2,1589
HT4CWJT00980,joaquim-MS-7996,33472,16,402,31462,2,1554
HT4AVJT02309,joaquim-MS-7996,33224,20,568,31066,2,1559
HT4APJT01039,joaquim-MS-7996,34788,12,659,32476,2,1555
HT4AVJT02309,joaquim-MS-7996,35257,14,253,33362,1,1550
HT4CWJT00980,joaquim-MS-7996,36582,20,341,34614,1,1569
HT4CWJT00250,joaquim-MS-7996,37734,20,338,35797,2,1555
HT4BVJT00003,joaquim-MS-7996,39058,7,387,36995,2,1569
HT4BTJT00127,joaquim-MS-7996,40097,6,290,38185,1,1533
HT4BTJT00127,joaquim-MS-7996,40033,6,345,38142,1,1541
HT4BVJT00003,joaquim-MS-7996,41388,11,332,39475,1,1545
HT4BVJT00003,joaquim-MS-7996,42765,18,260,40876,1,1552
HT4APJT01039,joaquim-MS-7996,43865,30,394,41856,1,1559
HT4BTJT00127,joaquim-MS-7996,43256,6,359,41329,2,1557
HT4BTJT00078,joaquim-MS-7996,43849,14,372,41800,3,1542
HT4BTJT00078,joaquim-MS-7996,44369,9,214,42576,1,1552
HT4CWJT00250,joaquim-MS-7996,45670,19,244,43855,3,1546
HT4BTJT00078,joaquim-MS-7996,46773,8,317,44826,2,1562
HT4AVJT02309,joaquim-MS-7996,48112,8,372,46065,2,1575
HT4CWJT00250,joaquim-MS-7996,49066,13,307,47121,1,1555
HT4CWJT00250,joaquim-MS-7996,50418,27,349,48502,0,1542
HT4APJT01039,joaquim-MS-7996,51975,11,474,49901,1,1566
HT4BTJT00078,joaquim-MS-7996,52886,14,218,51100,1,1538
HT4BVJT00003,joaquim-MS-7996,55840,25,1362,52806,1,1563
HT4APJT01039,joaquim-MS-7996,54174,6,400,52183,1,1556
HT4BVJT00003,joaquim-MS-7996,61872,16,1760,58460,2,1621
HT4BTJT00127,joaquim-MS-7996,58532,16,1122,55755,1,1533
HT4BTJT00127,joaquim-MS-7996,56915,6,999,54318,0,1538
HT4BVJT00003,joaquim-MS-7996,59859,69,1163,57029,1,1537
HT4BVJT00189,joaquim-MS-7996,62920,7,1328,59942,2,1575
HT4BTJT00078,joaquim-MS-7996,63521,15,565,61357,1,1560
HT4CWJT00250,joaquim-MS-7996,64648,16,340,62641,1,1601
HT4BVJT00003,joaquim-MS-7996,65095,20,294,63157,1,1563
HT4CWJT00980,joaquim-MS-7996,65971,26,408,63945,1,1556
HT4CWJT00980,joaquim-MS-7996,66532,14,355,64600,1,1573
HT4BVJT00003,joaquim-MS-7996,67847,12,389,65800,3,1566
HT4BTJT00127,joaquim-MS-7996,69069,17,274,67196,1,1563
HT4BVJT00189,joaquim-MS-7996,70094,17,272,68130,1,1549
HT4BTJT00078,joaquim-MS-7996,70835,13,293,68962,2,1538
HT4CWJT00980,joaquim-MS-7996,71848,7,458,69710,1,1565
HT4BVJT00003,joaquim-MS-7996,73283,6,1016,70662,3,1544
HT4APJT01039,joaquim-MS-7996,76313,6,1091,73618,2,1556
HT4BTJT00078,joaquim-MS-7996,77574,14,1022,74968,1,1561
HT4CWJT00980,joaquim-MS-7996,74292,14,589,72088,0,1544
HT4CWJT00250,joaquim-MS-7996,78726,14,874,76281,1,1573
HT4BTJT00127,joaquim-MS-7996,77669,13,413,75620,1,1551
HT4BTJT00078,joaquim-MS-7996,78455,11,256,76544,1,1559
HT4BTJT00127,joaquim-MS-7996,79153,16,302,77241,1,1566
HT4CWJT00980,joaquim-MS-7996,79487,9,388,77332,3,1602
HT4CWJT00980,joaquim-MS-7996,80008,10,240,78189,2,1554
HT4BTJT00078,joaquim-MS-7996,82833,16,690,80453,2,1561
HT4BVJT00003,joaquim-MS-7996,81292,5,580,79048,1,1546
HT4CWJT00250,joaquim-MS-7996,84123,11,720,81766,2,1562
HT4BVJT00189,joaquim-MS-7996,84379,16,392,82392,1,1553
HT4CWJT00980,joaquim-MS-7996,85479,23,302,83565,2,1571
HT4BTJT00078,joaquim-MS-7996,85748,8,361,83795,1,1568
HT4CWJT00980,joaquim-MS-7996,87040,87,500,84846,1,1547
HT4CWJT00250,joaquim-MS-7996,85325,13,417,83342,1,1554
HT4BTJT00078,joaquim-MS-7996,87625,8,341,85679,2,1559
HT4AVJT02309,joaquim-MS-7996,88858,55,330,86889,1,1574
HT4CWJT00250,joaquim-MS-7996,89475,12,251,87580,1,1555
HT4AVJT02309,joaquim-MS-7996,89671,16,326,87720,1,1565
HT4BVJT00189,joaquim-MS-7996,90277,14,324,88370,1,1542
HT4APJT01039,joaquim-MS-7996,91835,8,465,89694,2,1556
HT4BVJT00003,joaquim-MS-7996,92762,19,353,90735,1,1553
HT4CWJT00980,joaquim-MS-7996,93286,24,211,91416,1,1564
HT4APJT01039,joaquim-MS-7996,94320,12,218,92489,1,1555
HT4CWJT00250,joaquim-MS-7996,95530,8,325,93612,3,1555
HT4BTJT00127,joaquim-MS-7996,97050,8,456,94927,2,1540
HT4APJT01039,joaquim-MS-7996,98376,6,509,96121,1,1560
HT4APJT01039,joaquim-MS-7996,101129,49,796,98676,2,1539
HT4APJT01039,joaquim-MS-7996,99507,10,672,97219,1,1548
HT4BTJT00127,joaquim-MS-7996,102402,7,569,100216,2,1538
HT4CWJT00980,joaquim-MS-7996,103559,11,407,101542,2,1572
HT4AVJT02309,joaquim-MS-7996,103682,13,314,101764,1,1570
HT4BTJT00127,joaquim-MS-7996,103053,19,229,101170,0,1570
HT4CWJT00980,joaquim-MS-7996,103983,24,212,102148,1,1526
HT4APJT01039,joaquim-MS-7996,105134,50,309,103158,1,1572
HT4BTJT00127,joaquim-MS-7996,108044,9,807,105558,1,1548
HT4AVJT02309,joaquim-MS-7996,109540,8,785,107093,1,1572
HT4APJT01039,joaquim-MS-7996,106149,6,547,104066,1,1541
HT4AVJT02309,joaquim-MS-7996,110073,10,162,108299,1,1579
HT4BTJT00127,joaquim-MS-7996,110144,11,410,108163,1,1563
HT4BTJT00078,joaquim-MS-7996,111515,9,450,109405,1,1573
HT4BVJT00003,joaquim-MS-7996,112711,11,278,110805,1,1536
HT4APJT01039,joaquim-MS-7996,113809,6,354,111891,1,1551
HT4AVJT02309,joaquim-MS-7996,114830,15,300,112948,1,1549
HT4BTJT00078,joaquim-MS-7996,114680,7,303,112778,1,1542
HT4BVJT00003,joaquim-MS-7996,115034,16,333,113149,1,1530
HT4CWJT00980,joaquim-MS-7996,116580,26,400,114566,1,1537
HT4BVJT00189,joaquim-MS-7996,117302,6,327,115388,1,1548
HT4CWJT00980,joaquim-MS-7996,118478,6,279,116618,1,1536
HT4CWJT00250,joaquim-MS-7996,118586,30,300,116682,1,1539
HT4BTJT00127,joaquim-MS-7996,120777,23,550,118560,1,1541
HT4BVJT00189,joaquim-MS-7996,119273,10,388,117212,1,1550
HT4BTJT00127,joaquim-MS-7996,121895,29,299,119930,1,1534
HT4CWJT00250,joaquim-MS-7996,123346,7,356,121341,1,1529
HT4CWJT00250,joaquim-MS-7996,124491,16,294,122607,1,1552
HT4BVJT00003,joaquim-MS-7996,125609,7,391,123574,2,1541
HT4BVJT00003,joaquim-MS-7996,126968,9,372,124954,2,1547
HT4BVJT00189,joaquim-MS-7996,129576,14,628,127324,1,1557
HT4CWJT00250,joaquim-MS-7996,127951,16,504,125829,1,1530
HT4BTJT00127,joaquim-MS-7996,130383,6,326,128455,1,1546
HT4CWJT00250,joaquim-MS-7996,131461,11,250,129648,1,1535
HT4CWJT00980,joaquim-MS-7996,132566,7,284,130680,1,1537
HT4APJT01039,joaquim-MS-7996,132782,8,253,130936,1,1558
HT4APJT01039,joaquim-MS-7996,133832,11,246,132018,1,1533
HT4CWJT00250,joaquim-MS-7996,135302,12,459,133275,1,1539
HT4CWJT00250,joaquim-MS-7996,136318,14,286,134410,1,1538
HT4CWJT00980,joaquim-MS-7996,137783,10,386,135739,0,1538
HT4BTJT00127,joaquim-MS-7996,139048,17,342,137040,1,1541
HT4BVJT00003,joaquim-MS-7996,141245,8,903,138683,1,1534
HT4BVJT00189,joaquim-MS-7996,139463,17,466,137336,1,1535
HT4BTJT00127,joaquim-MS-7996,141297,6,250,139400,1,1539
HT4BVJT00003,joaquim-MS-7996,142005,6,752,139588,1,1569
HT4CWJT00250,joaquim-MS-7996,142398,8,258,140521,1,1540
HT4APJT01039,joaquim-MS-7996,143499,12,348,141565,2,1548
HT4BTJT00078,joaquim-MS-7996,144878,18,330,142920,1,1540
HT4BVJT00189,joaquim-MS-7996,145384,11,332,143442,1,1535
HT4BVJT00003,joaquim-MS-7996,146669,19,423,144629,1,1535
HT4CWJT00250,joaquim-MS-7996,145073,9,948,142569,1,1537
HT4CWJT00980,joaquim-MS-7996,148140,16,1265,145293,1,1542
HT4CWJT00980,joaquim-MS-7996,149636,7,1401,146676,1,1541
HT4CWJT00250,joaquim-MS-7996,146506,9,1066,143864,1,1547
HT4AVJT02309,joaquim-MS-7996,154189,10,1701,150745,1,1543
HT4AVJT02309,joaquim-MS-7996,152358,8,1443,149406,1,1535
HT4BTJT00127,joaquim-MS-7996,150779,7,1241,147878,1,1562
HT4BVJT00003,joaquim-MS-7996,154759,12,863,152253,0,1531
HT4BVJT00189,joaquim-MS-7996,157223,7,753,154841,2,1539
HT4BVJT00189,joaquim-MS-7996,155635,7,700,153309,0,1548
HT4BTJT00127,joaquim-MS-7996,157551,17,315,155607,1,1535
HT4AVJT02309,joaquim-MS-7996,159000,18,440,156921,1,1541
