ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,joaquim-MS-7996,5705,26,3982,2,1,1709
HT4AVJT02309,joaquim-MS-7996,5343,67,1873,2005,1,1448
HT4BVJT00003,joaquim-MS-7996,3963,9,1764,643,1,1474
HT4AVJT02309,joaquim-MS-7996,5974,24,1312,3150,0,1495
HT4APJT01039,joaquim-MS-7996,6064,13,257,4311,0,1468
HT4AVJT02309,joaquim-MS-7996,4351,22,156,2722,0,1444
HT4BTJT00078,joaquim-MS-7996,5688,34,307,3937,0,1431
HT4BTJT00078,joaquim-MS-7996,7080,16,319,5278,1,1454
HT4BVJT00003,joaquim-MS-7996,7815,20,166,6192,0,1424
HT4AVJT02309,joaquim-MS-7996,8768,20,223,7064,1,1454
HT4AVJT02309,joaquim-MS-7996,9466,22,198,7791,0,1430
HT4BTJT00078,joaquim-MS-7996,10660,19,262,8929,0,1448
HT4APJT01039,joaquim-MS-7996,12004,52,207,10252,0,1492
HT4BVJT00003,joaquim-MS-7996,13169,25,173,11477,1,1437
HT4APJT01039,joaquim-MS-7996,14356,13,141,12715,0,1464
HT4BTJT00078,joaquim-MS-7996,15349,15,181,13589,1,1461
HT4APJT01039,joaquim-MS-7996,16211,12,198,14353,0,1488
HT4AVJT02309,joaquim-MS-7996,15037,17,144,13397,0,1449
HT4APJT01039,joaquim-MS-7996,14728,18,300,12836,0,1458
HT4AVJT02309,joaquim-MS-7996,14898,19,154,13246,1,1464
HT4BTJT00078,joaquim-MS-7996,13602,20,121,11953,0,1452
HT4APJT01039,joaquim-MS-7996,14199,56,241,12410,1,1440
HT4BVJT00003,joaquim-MS-7996,12263,7,170,10599,1,1461
HT4BVJT00003,joaquim-MS-7996,12948,15,161,11309,0,1433
HT4BVJT00003,joaquim-MS-7996,13568,24,174,11923,1,1439
HT4APJT01039,joaquim-MS-7996,13996,6,277,12161,1,1431
HT4BVJT00003,joaquim-MS-7996,14719,21,159,13085,1,1438
HT4APJT01039,joaquim-MS-7996,15845,7,167,14129,0,1468
HT4BVJT00003,joaquim-MS-7996,15890,13,151,14260,1,1444
HT4AVJT02309,joaquim-MS-7996,15002,20,188,13311,1,1473
HT4AVJT02309,joaquim-MS-7996,15638,19,134,13920,1,1448
HT4BVJT00003,joaquim-MS-7996,15035,17,113,13454,1,1432
HT4AVJT02309,joaquim-MS-7996,15819,23,181,14183,1,1431
HT4APJT01039,joaquim-MS-7996,17177,19,179,15428,1,1439
HT4BVJT00003,joaquim-MS-7996,18298,17,166,16563,1,1440
HT4AVJT02309,joaquim-MS-7996,19529,23,131,17839,0,1441
HT4BVJT00003,joaquim-MS-7996,17369,40,154,15701,1,1453
HT4AVJT02309,joaquim-MS-7996,16564,21,145,14893,1,1453
HT4AVJT02309,joaquim-MS-7996,17365,23,129,15620,0,1549
HT4BVJT00003,joaquim-MS-7996,18197,11,100,16608,1,1448
HT4BTJT00078,joaquim-MS-7996,19528,20,215,17736,0,1489
HT4AVJT02309,joaquim-MS-7996,19235,21,213,17496,0,1474
HT4AVJT02309,joaquim-MS-7996,20622,22,102,18825,1,1475
HT4BTJT00078,joaquim-MS-7996,21582,23,161,19876,0,1448
HT4BVJT00003,joaquim-MS-7996,22289,20,135,20650,0,1443
HT4BVJT00003,joaquim-MS-7996,20902,20,170,19282,0,1425
HT4AVJT02309,joaquim-MS-7996,19952,17,113,18305,1,1414
HT4BTJT00078,joaquim-MS-7996,21163,19,90,19519,1,1451
HT4APJT01039,joaquim-MS-7996,21677,15,119,20031,1,1450
