ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,joaquim-MS-7996,1669,17,40,24,1,1587
HT4BTJT00127,joaquim-MS-7996,2153,17,48,688,1,1385
HT4BTJT00127,joaquim-MS-7996,3314,18,51,1829,0,1402
HT4BTJT00127,joaquim-MS-7996,2989,20,83,1432,0,1393
HT4BTJT00127,joaquim-MS-7996,4235,16,62,2759,0,1389
HT4BTJT00127,joaquim-MS-7996,5518,5,61,4064,0,1378
HT4BTJT00127,joaquim-MS-7996,6767,8,57,5328,0,1367
HT4BTJT00127,joaquim-MS-7996,7879,14,24,6467,0,1370
HT4BTJT00127,joaquim-MS-7996,8543,19,45,7102,0,1372
HT4BTJT00127,joaquim-MS-7996,9785,23,64,8219,1,1375
HT4BTJT00127,joaquim-MS-7996,11032,16,41,9538,1,1387
HT4BTJT00127,joaquim-MS-7996,11861,18,67,10391,0,1373
HT4BTJT00127,joaquim-MS-7996,12987,15,50,11483,0,1376
HT4BTJT00127,joaquim-MS-7996,12366,15,37,10919,0,1369
HT4BTJT00127,joaquim-MS-7996,13407,17,51,11947,1,1383
HT4BTJT00127,joaquim-MS-7996,12732,12,42,11308,0,1368
HT4BTJT00127,joaquim-MS-7996,13170,16,67,11621,0,1353
HT4BTJT00127,joaquim-MS-7996,13946,10,46,12505,0,1374
HT4BTJT00127,joaquim-MS-7996,14632,8,52,13163,0,1384
HT4BTJT00127,joaquim-MS-7996,15064,15,74,13597,0,1372
HT4BTJT00127,joaquim-MS-7996,16299,18,41,14879,0,1351
HT4BTJT00127,joaquim-MS-7996,17186,13,66,15704,0,1364
HT4BTJT00127,joaquim-MS-7996,17312,11,25,15892,0,1374
HT4BTJT00127,joaquim-MS-7996,18564,12,26,17153,0,1362
HT4BTJT00127,joaquim-MS-7996,19790,21,51,18320,0,1373
HT4BTJT00127,joaquim-MS-7996,20905,16,36,19398,1,1363
HT4BTJT00127,joaquim-MS-7996,21659,16,44,20225,0,1370
HT4BTJT00127,joaquim-MS-7996,21942,14,64,20430,0,1398
HT4BTJT00127,joaquim-MS-7996,22412,16,39,20938,0,1387
HT4BTJT00127,joaquim-MS-7996,22648,10,65,21101,0,1377
HT4BTJT00127,joaquim-MS-7996,22795,10,59,21337,0,1383
HT4BTJT00127,joaquim-MS-7996,24219,10,38,22702,0,1378
HT4BTJT00127,joaquim-MS-7996,25290,16,39,23814,0,1349
HT4BTJT00127,joaquim-MS-7996,26503,16,34,25092,0,1352
HT4BTJT00127,joaquim-MS-7996,27764,17,29,26235,0,1393
HT4BTJT00127,joaquim-MS-7996,29022,5,61,27533,0,1380
