ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,joaquim-MS-7996,2426,8,347,20,3,2008
HT4AVJT02309,joaquim-MS-7996,3187,14,268,1190,2,1688
HT4AVJT02309,joaquim-MS-7996,4666,6,414,2489,2,1742
HT4AVJT02309,joaquim-MS-7996,6210,7,1045,3475,2,1678
HT4AVJT02309,joaquim-MS-7996,4538,44,760,2030,1,1649
HT4AVJT02309,joaquim-MS-7996,9434,9,998,6656,2,1655
HT4AVJT02309,joaquim-MS-7996,7414,8,673,5099,0,1637
HT4AVJT02309,joaquim-MS-7996,10579,5,581,8224,1,1736
HT4AVJT02309,joaquim-MS-7996,11662,6,253,9674,2,1721
HT4AVJT02309,joaquim-MS-7996,13199,8,279,11145,1,1665
HT4AVJT02309,joaquim-MS-7996,14296,7,194,12466,1,1635
HT4AVJT02309,joaquim-MS-7996,15460,10,298,13482,6,1661
HT4AVJT02309,joaquim-MS-7996,16914,10,298,14777,2,1704
HT4AVJT02309,joaquim-MS-7996,18113,7,287,16173,2,1641
HT4AVJT02309,joaquim-MS-7996,17841,6,396,15746,2,1669
HT4AVJT02309,joaquim-MS-7996,19150,23,314,17128,2,1686
HT4AVJT02309,joaquim-MS-7996,18669,45,301,16695,1,1617
HT4AVJT02309,joaquim-MS-7996,19319,45,270,17315,1,1600
HT4AVJT02309,joaquim-MS-7996,20543,4,196,18690,1,1645
HT4AVJT02309,joaquim-MS-7996,21453,6,487,19273,5,1672
HT4AVJT02309,joaquim-MS-7996,22074,9,520,19913,3,1634
HT4AVJT02309,joaquim-MS-7996,23657,6,559,21429,2,1629
HT4AVJT02309,joaquim-MS-7996,24764,25,456,22688,1,1613
HT4AVJT02309,joaquim-MS-7996,26413,44,700,24031,2,1642
HT4AVJT02309,joaquim-MS-7996,29699,3,953,27013,2,1702
HT4AVJT02309,joaquim-MS-7996,27833,7,633,25532,1,1644
HT4AVJT02309,joaquim-MS-7996,30955,11,723,28494,1,1637
HT4AVJT02309,joaquim-MS-7996,32453,8,515,30085,2,1657
HT4AVJT02309,joaquim-MS-7996,32762,6,238,30893,2,1602
HT4AVJT02309,joaquim-MS-7996,33876,14,339,31758,2,1634
HT4AVJT02309,joaquim-MS-7996,34485,43,283,32534,2,1614
HT4AVJT02309,joaquim-MS-7996,34955,9,316,32981,1,1644
HT4AVJT02309,joaquim-MS-7996,35509,6,904,32934,2,1664
HT4AVJT02309,joaquim-MS-7996,37156,5,883,34547,2,1636
HT4AVJT02309,joaquim-MS-7996,38136,6,512,36009,4,1623
HT4AVJT02309,joaquim-MS-7996,39292,8,300,37319,1,1657
HT4AVJT02309,joaquim-MS-7996,40527,7,380,38428,1,1614
HT4AVJT02309,joaquim-MS-7996,41728,5,251,39861,1,1613
HT4AVJT02309,joaquim-MS-7996,43369,4,323,41267,1,1673
HT4AVJT02309,joaquim-MS-7996,44095,7,310,42134,1,1619
HT4AVJT02309,joaquim-MS-7996,44003,47,305,41984,1,1642
HT4AVJT02309,joaquim-MS-7996,45361,6,291,43304,1,1655
HT4AVJT02309,joaquim-MS-7996,46075,9,500,43930,1,1650
HT4AVJT02309,joaquim-MS-7996,47609,4,612,45293,2,1674
HT4AVJT02309,joaquim-MS-7996,48876,9,638,46570,1,1673
HT4AVJT02309,joaquim-MS-7996,50339,5,776,47898,1,1664
HT4AVJT02309,joaquim-MS-7996,51966,6,894,49341,2,1610
HT4AVJT02309,joaquim-MS-7996,53397,7,837,50897,2,1608
HT4AVJT02309,joaquim-MS-7996,53235,5,485,50957,2,1682
HT4AVJT02309,joaquim-MS-7996,52315,14,327,50344,1,1622
HT4AVJT02309,joaquim-MS-7996,53642,6,381,51510,2,1709
HT4AVJT02309,joaquim-MS-7996,54874,4,290,52907,1,1646
HT4AVJT02309,joaquim-MS-7996,55966,4,433,53857,2,1628
HT4AVJT02309,joaquim-MS-7996,57193,7,409,55152,1,1629
HT4AVJT02309,joaquim-MS-7996,58662,23,344,56644,1,1637
HT4AVJT02309,joaquim-MS-7996,59576,5,406,57467,2,1652
HT4AVJT02309,joaquim-MS-7996,60138,13,174,58332,1,1614
HT4AVJT02309,joaquim-MS-7996,61052,7,410,58924,1,1681
HT4AVJT02309,joaquim-MS-7996,61679,9,354,59665,1,1605
HT4AVJT02309,joaquim-MS-7996,62640,7,418,60593,2,1630
HT4AVJT02309,joaquim-MS-7996,63860,11,288,61919,2,1621
HT4AVJT02309,joaquim-MS-7996,63806,4,324,61773,2,1610
HT4AVJT02309,joaquim-MS-7996,64660,10,362,62582,1,1665
HT4AVJT02309,joaquim-MS-7996,65906,8,257,63937,1,1633
HT4AVJT02309,joaquim-MS-7996,66564,18,408,64496,2,1641
HT4AVJT02309,joaquim-MS-7996,67699,5,540,65529,1,1625
HT4AVJT02309,joaquim-MS-7996,69241,6,703,66932,1,1627
HT4AVJT02309,joaquim-MS-7996,70529,5,565,68224,2,1709
HT4AVJT02309,joaquim-MS-7996,71820,15,244,69911,0,1637
HT4AVJT02309,joaquim-MS-7996,72973,5,414,70919,2,1651
HT4AVJT02309,joaquim-MS-7996,74264,11,400,72231,1,1615
HT4AVJT02309,joaquim-MS-7996,75763,10,495,73634,1,1611
HT4AVJT02309,joaquim-MS-7996,76320,14,335,74308,1,1659
HT4AVJT02309,joaquim-MS-7996,77060,5,492,74919,1,1648
HT4AVJT02309,joaquim-MS-7996,78735,52,683,76300,3,1687
HT4AVJT02309,joaquim-MS-7996,79690,5,166,77810,0,1626
HT4AVJT02309,joaquim-MS-7996,78434,5,415,76284,1,1633
HT4AVJT02309,joaquim-MS-7996,79604,13,223,77691,2,1646
HT4AVJT02309,joaquim-MS-7996,80379,42,408,78303,2,1622
HT4AVJT02309,joaquim-MS-7996,79976,6,473,77865,2,1623
HT4AVJT02309,joaquim-MS-7996,82846,8,614,80511,2,1682
HT4AVJT02309,joaquim-MS-7996,81072,6,505,78911,1,1650
