ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00012,HT4BVJT00012,9433,14,103,23,4,9312
HT4BTJT00127,HT4BTJT00127,9591,8,170,22,11,9418
HT4AVJT02309,HT4AVJT02309,11216,20,135,34,4,11021
HT4CWJT00980,HT4CWJT00980,10101,14,188,23,5,9903
HT4BTJT00078,HT4BTJT00078,9689,15,123,21,3,9555
HT4BTJT00127,HT4BTJT00127,16116,16,144,7358,5,8625
HT4APJT01039,HT4APJT01039,9730,10,96,33,5,9609
HT4BVJT00012,HT4BVJT00012,15032,5,139,6368,4,8550
HT4BVJT00012,HT4BVJT00012,23499,5,116,14520,5,8876
HT4APJT01039,HT4APJT01039,17306,14,139,7993,6,9188
HT4BVJT00003,HT4BVJT00003,9741,17,118,18,5,9614
HT4CWJT00250,HT4CWJT00250,9677,17,95,28,32,9505
HT4CWJT00980,HT4CWJT00980,13820,13,110,4254,10,9469
HT4BVJT00003,HT4BVJT00003,16109,13,153,6768,6,9197
HT4CWJT00980,HT4CWJT00980,22698,21,211,12586,8,9898
HT4CWJT00980,HT4CWJT00980,32146,12,66,22212,8,9848
HT4AVJT02309,HT4AVJT02309,12202,15,229,2353,10,9622
HT4APJT01039,HT4APJT01039,21744,6,101,12535,14,9123
HT4BTJT00127,HT4BTJT00127,18379,17,67,9181,5,9109
HT4AVJT02309,HT4AVJT02309,21724,23,287,11859,10,9580
HT4BTJT00078,HT4BTJT00078,10797,7,116,1824,8,8837
HT4BVJT00003,HT4BVJT00003,23645,17,148,14012,9,9463
HT4APJT01039,HT4APJT01039,29970,5,87,20463,8,9442
HT4BVJT00003,HT4BVJT00003,31952,19,128,22308,7,9516
HT4APJT01039,HT4APJT01039,39135,6,108,29173,5,9887
HT4AVJT02309,HT4AVJT02309,29349,18,145,19435,6,9784
HT4CWJT00250,HT4CWJT00250,13182,16,180,4070,6,8925
HT4BTJT00078,HT4BTJT00078,17980,8,109,8697,7,9174
HT4CWJT00250,HT4CWJT00250,21527,15,127,12401,5,9019
HT4CWJT00250,HT4CWJT00250,29334,15,179,20101,12,9048
HT4APJT01039,HT4APJT01039,44218,18,132,34437,10,9656
HT4AVJT02309,HT4AVJT02309,33634,10,162,23171,9,10308
HT4CWJT00250,HT4CWJT00250,34722,9,127,25005,6,9571
HT4AVJT02309,HT4AVJT02309,42927,8,120,32258,17,10562
HT4APJT01039,HT4APJT01039,50737,18,137,41009,6,9599
HT4BVJT00003,HT4BVJT00003,33461,7,105,23653,5,9733
HT4CWJT00980,HT4CWJT00980,31307,15,145,21309,15,9860
HT4BVJT00012,HT4BVJT00012,15637,13,106,6688,6,8820
HT4BVJT00012,HT4BVJT00012,22941,12,120,13912,8,8921
HT4CWJT00980,HT4CWJT00980,39137,7,75,29110,5,9976
HT4CWJT00980,HT4CWJT00980,49274,13,145,38683,10,10448
HT4CWJT00250,HT4CWJT00250,39412,19,142,29741,21,9528
HT4BVJT00012,HT4BVJT00012,29449,6,118,19895,5,9451
HT4BTJT00078,HT4BTJT00078,13491,16,195,3812,5,9494
HT4BTJT00078,HT4BTJT00078,22113,6,83,12668,13,9339
HT4BVJT00003,HT4BVJT00003,36177,8,87,25875,4,10249
HT4BTJT00078,HT4BTJT00078,30670,21,148,21246,14,9264
HT4AVJT02309,HT4AVJT02309,44815,23,159,33876,13,10781
HT4BVJT00003,HT4BVJT00003,44617,30,169,34588,6,9873
HT4BVJT00003,HT4BVJT00003,55331,68,119,44456,15,10707
HT4CWJT00250,HT4CWJT00250,42800,12,94,33346,15,9353
HT4BTJT00078,HT4BTJT00078,36347,8,103,28890,3,7387
HT4CWJT00980,HT4CWJT00980,52816,21,148,42002,6,10672
HT4CWJT00250,HT4CWJT00250,51433,26,134,41854,4,9440
HT4CWJT00980,HT4CWJT00980,63913,12,194,52509,39,11201
HT4BVJT00012,HT4BVJT00012,42606,15,144,33446,12,9019
HT4BVJT00012,HT4BVJT00012,33553,33,116,24280,5,9161
HT4CWJT00980,HT4CWJT00980,74853,16,148,63373,8,11345
HT4BTJT00127,HT4BTJT00127,8756,6,90,13,5,8677
HT4BTJT00078,HT4BTJT00078,44344,10,155,34342,7,9847
HT4BVJT00003,HT4BVJT00003,63225,18,133,52255,10,10835
HT4CWJT00980,HT4CWJT00980,81653,19,209,71984,16,9460
HT4APJT01039,HT4APJT01039,46473,10,155,36362,12,9965
HT4APJT01039,HT4APJT01039,55837,15,112,45359,6,10373
HT4CWJT00980,HT4CWJT00980,91995,23,181,79632,9,12178
HT4BVJT00012,HT4BVJT00012,46848,14,63,37424,3,9336
HT4BTJT00127,HT4BTJT00127,12349,18,86,3406,4,8875
HT4BTJT00078,HT4BTJT00078,49340,14,123,39118,6,10108
HT4APJT01039,HT4APJT01039,63549,10,116,53221,5,10229
HT4CWJT00980,HT4CWJT00980,99869,24,141,89471,8,10248
HT4CWJT00250,HT4CWJT00250,53512,22,124,43732,7,9660
HT4BTJT00078,HT4BTJT00078,58543,19,123,48144,12,10249
HT4APJT01039,HT4APJT01039,73527,17,100,62820,4,10619
HT4BVJT00003,HT4BVJT00003,68196,8,148,57052,7,11006
HT4BVJT00012,HT4BVJT00012,50618,18,112,41387,5,9125
HT4BTJT00078,HT4BTJT00078,65403,17,114,54560,4,10694
HT4BVJT00012,HT4BVJT00012,58282,19,92,48930,12,9266
HT4APJT01039,HT4APJT01039,78561,6,117,67628,15,10829
HT4APJT01039,HT4APJT01039,88852,7,93,77650,6,11130
HT4CWJT00980,HT4CWJT00980,104939,9,194,92016,7,12735
HT4BTJT00078,HT4BTJT00078,73343,17,140,61753,13,11452
HT4BVJT00003,HT4BVJT00003,71975,12,166,60818,7,10996
HT4BTJT00127,HT4BTJT00127,10661,12,141,1658,9,8870
HT4APJT01039,HT4APJT01039,98482,20,135,86254,6,12092
HT4BTJT00078,HT4BTJT00078,81537,24,142,69865,13,11508
HT4APJT01039,HT4APJT01039,105427,15,134,95292,9,9995
HT4BVJT00003,HT4BVJT00003,78354,7,92,66928,5,11358
HT4BTJT00078,HT4BTJT00078,91033,21,196,78672,8,12165
HT4AVJT02309,HT4AVJT02309,32851,15,106,21563,14,11167
HT4BVJT00003,HT4BVJT00003,88284,17,118,76114,8,12062
HT4AVJT02309,HT4AVJT02309,42384,36,217,30278,6,11879
HT4BTJT00127,HT4BTJT00127,11590,14,54,2428,4,9094
HT4CWJT00250,HT4CWJT00250,46166,12,101,36119,6,9958
HT4CWJT00980,HT4CWJT00980,107585,21,146,94478,10,12956
HT4APJT01039,HT4APJT01039,111826,10,93,99108,4,12649
HT4CWJT00250,HT4CWJT00250,54184,7,89,43956,9,10157
HT4BVJT00003,HT4BVJT00003,95833,12,117,83402,6,12316
HT4BVJT00012,HT4BVJT00012,52456,6,46,43178,14,9215
HT4CWJT00250,HT4CWJT00250,63756,20,113,53390,7,10253
HT4CWJT00250,HT4CWJT00250,74204,20,140,63469,10,10595
HT4CWJT00250,HT4CWJT00250,85264,21,112,73911,7,11249
HT4BVJT00012,HT4BVJT00012,61023,23,110,51694,7,9228
HT4APJT01039,HT4APJT01039,122411,17,96,109663,5,12626
HT4AVJT02309,HT4AVJT02309,48623,9,166,36064,19,12374
HT4BVJT00012,HT4BVJT00012,66491,19,133,56964,4,9403
HT4APJT01039,HT4APJT01039,130799,15,75,118027,6,12680
HT4CWJT00250,HT4CWJT00250,89683,9,87,80121,6,9493
HT4AVJT02309,HT4AVJT02309,57764,18,159,45000,7,12601
HT4BVJT00012,HT4BVJT00012,74317,6,88,64967,5,9265
HT4CWJT00250,HT4CWJT00250,100959,19,110,89021,11,11832
HT4AVJT02309,HT4AVJT02309,69228,11,114,56535,7,12593
HT4BVJT00012,HT4BVJT00012,81307,8,185,71691,7,9443
HT4BTJT00078,HT4BTJT00078,87962,7,106,75823,15,12033
HT4CWJT00980,HT4CWJT00980,109623,10,93,96356,6,13143
HT4CWJT00250,HT4CWJT00250,109785,8,132,97473,7,12185
HT4AVJT02309,HT4AVJT02309,79178,13,167,66305,26,12699
HT4BTJT00078,HT4BTJT00078,97650,7,149,84846,14,12652
HT4CWJT00980,HT4CWJT00980,118872,19,112,105724,20,13030
HT4APJT01039,HT4APJT01039,135995,48,82,123135,7,12758
HT4BTJT00127,HT4BTJT00127,9000,8,101,12,4,8913
HT4APJT01039,HT4APJT01039,147177,15,128,134649,7,12418
HT4BVJT00003,HT4BVJT00003,91453,12,132,79795,8,11532
HT4BVJT00012,HT4BVJT00012,82738,10,135,73300,6,9304
HT4BTJT00127,HT4BTJT00127,15234,6,54,6122,9,9042
HT4BVJT00003,HT4BVJT00003,101836,7,75,90179,5,11608
HT4BVJT00012,HT4BVJT00012,91897,9,110,82273,6,9538
HT4BVJT00003,HT4BVJT00003,113201,14,148,101197,8,11866
HT4CWJT00980,HT4CWJT00980,127501,10,120,113822,10,13570
HT4CWJT00980,HT4CWJT00980,140455,12,179,127117,10,13163
HT4BVJT00003,HT4BVJT00003,123833,18,123,111891,6,11829
HT4BTJT00127,HT4BTJT00127,22689,13,144,13263,6,9304
HT4BVJT00012,HT4BVJT00012,99170,11,120,89419,5,9640
HT4BVJT00003,HT4BVJT00003,134994,6,138,122683,15,12187
HT4APJT01039,HT4APJT01039,153804,17,152,141194,11,12458
HT4CWJT00250,HT4CWJT00250,110274,13,78,97943,7,12231
HT4BVJT00003,HT4BVJT00003,144968,17,157,132637,11,12160
HT4CWJT00250,HT4CWJT00250,121809,19,95,109698,12,12020
HT4APJT01039,HT4APJT01039,163941,6,102,151086,6,12769
HT4BVJT00003,HT4BVJT00003,156372,15,132,143981,9,12261
HT4BVJT00012,HT4BVJT00012,104929,15,130,95422,5,9389
HT4CWJT00980,HT4CWJT00980,147801,20,158,134566,8,13069
HT4BTJT00127,HT4BTJT00127,26170,15,105,16970,13,9072
HT4BVJT00012,HT4BVJT00012,111951,6,78,102465,5,9433
HT4CWJT00980,HT4CWJT00980,158715,7,155,145450,16,13114
HT4BVJT00003,HT4BVJT00003,164165,9,87,151899,11,12192
HT4CWJT00250,HT4CWJT00250,127991,17,168,115825,7,12016
HT4BTJT00078,HT4BTJT00078,94264,20,109,81446,5,12709
HT4BTJT00127,HT4BTJT00127,30462,16,107,21260,4,9115
HT4CWJT00980,HT4CWJT00980,168619,16,133,155521,6,12971
HT4BVJT00003,HT4BVJT00003,171366,13,162,158984,19,12204
HT4BVJT00003,HT4BVJT00003,183480,51,272,171073,7,12186
HT4APJT01039,HT4APJT01039,167234,25,305,154111,7,12834
HT4APJT01039,HT4APJT01039,180483,12,281,166933,12,13270
HT4AVJT02309,HT4AVJT02309,69482,23,223,56328,13,12909
HT4AVJT02309,HT4AVJT02309,83160,29,222,69160,20,13713
HT4BVJT00012,HT4BVJT00012,114279,15,155,104429,7,9704
HT4CWJT00980,HT4CWJT00980,177412,15,98,164311,9,13013
HT4BTJT00127,HT4BTJT00127,34474,17,183,25140,6,9140
HT4BTJT00127,HT4BTJT00127,43981,24,210,34217,13,9535
HT4BVJT00012,HT4BVJT00012,121645,11,78,111737,5,9814
HT4AVJT02309,HT4AVJT02309,93853,23,121,80334,14,13341
HT4BVJT00003,HT4BVJT00003,192472,52,100,180066,13,12247
HT4BTJT00078,HT4BTJT00078,99130,14,129,86310,5,12703
HT4BTJT00127,HT4BTJT00127,50449,20,129,40837,6,9477
HT4BVJT00012,HT4BVJT00012,129040,15,132,119265,7,9656
HT4BVJT00012,HT4BVJT00012,138430,13,94,128735,5,9612
HT4AVJT02309,HT4AVJT02309,104716,14,178,91224,8,13298
HT4BTJT00127,HT4BTJT00127,58221,9,83,48861,3,9299
HT4CWJT00250,HT4CWJT00250,129049,11,89,116859,6,12120
HT4BTJT00078,HT4BTJT00078,108777,9,41,95776,12,12938
HT4BVJT00003,HT4BVJT00003,199137,9,122,187010,7,12022
HT4CWJT00250,HT4CWJT00250,138029,24,174,125904,8,11948
HT4BVJT00012,HT4BVJT00012,144282,12,128,134095,5,10075
HT4CWJT00980,HT4CWJT00980,180661,14,117,167560,14,12960
HT4AVJT02309,HT4AVJT02309,112548,16,108,98731,6,13711
HT4BTJT00127,HT4BTJT00127,62926,10,94,53086,4,9736
HT4APJT01039,HT4APJT01039,180619,13,171,167647,9,12786
HT4BTJT00078,HT4BTJT00078,116131,15,173,102617,12,13328
HT4BVJT00012,HT4BVJT00012,151167,7,125,140665,15,10376
HT4AVJT02309,HT4AVJT02309,124033,25,199,109875,13,13938
HT4BVJT00003,HT4BVJT00003,205510,16,131,193305,13,12079
HT4CWJT00250,HT4CWJT00250,144147,17,148,132057,6,11950
HT4BVJT00012,HT4BVJT00012,159432,25,106,148306,5,11025
HT4CWJT00250,HT4CWJT00250,154355,18,136,141865,8,12357
HT4AVJT02309,HT4AVJT02309,134020,22,138,120044,9,13844
HT4CWJT00980,HT4CWJT00980,186067,9,99,173072,5,12920
HT4AVJT02309,HT4AVJT02309,146280,8,91,132925,6,13284
HT4BTJT00078,HT4BTJT00078,121984,11,153,108691,7,13138
HT4APJT01039,HT4APJT01039,185774,21,82,172893,6,12807
HT4AVJT02309,HT4AVJT02309,157194,18,120,143906,7,13175
HT4BTJT00078,HT4BTJT00078,133939,22,149,120831,10,12944
HT4BVJT00012,HT4BVJT00012,163509,17,131,152764,6,10628
HT4BVJT00003,HT4BVJT00003,208726,14,164,196336,13,12212
HT4AVJT02309,HT4AVJT02309,167465,25,256,153941,7,13247
HT4BTJT00078,HT4BTJT00078,143684,21,157,130369,7,13165
HT4BTJT00078,HT4BTJT00078,154404,54,151,143432,6,10792
HT4CWJT00250,HT4CWJT00250,159496,26,64,147106,13,12295
HT4BTJT00078,HT4BTJT00078,166379,20,203,153018,9,13148
HT4BTJT00127,HT4BTJT00127,57649,12,97,47925,5,9648
HT4BTJT00078,HT4BTJT00078,178699,15,129,165455,6,13132
HT4AVJT02309,HT4AVJT02309,177438,14,182,164018,9,13240
HT4CWJT00250,HT4CWJT00250,167813,22,159,155340,9,12297
HT4BTJT00078,HT4BTJT00078,189542,8,138,176280,9,13138
HT4BVJT00012,HT4BVJT00012,167345,25,105,156863,12,10369
HT4BTJT00127,HT4BTJT00127,64763,14,81,55004,4,9667
HT4BTJT00078,HT4BTJT00078,201041,8,134,187721,9,13199
HT4BVJT00012,HT4BVJT00012,176401,9,116,165619,7,10672
HT4CWJT00980,HT4CWJT00980,186728,17,124,173515,6,13101
HT4BVJT00012,HT4BVJT00012,187474,12,112,176156,7,11217
HT4CWJT00250,HT4CWJT00250,175729,28,148,165435,10,10125
HT4BVJT00003,HT4BVJT00003,212739,23,123,200306,12,12326
HT4AVJT02309,HT4AVJT02309,185560,9,104,172253,7,13220
HT4CWJT00250,HT4CWJT00250,186220,16,106,173821,6,12310
HT4BVJT00012,HT4BVJT00012,196677,14,118,185359,6,11209
HT4CWJT00250,HT4CWJT00250,198023,11,111,185571,8,12366
HT4CWJT00980,HT4CWJT00980,193617,13,100,180518,4,13020
