ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10272,26,93,18,3,10127
HT4CWJT00250,HT4CWJT00250,9486,25,89,21,3,9353
HT4BVJT00012,HT4BVJT00012,9060,22,25,28,3,8983
HT4APJT01039,HT4APJT01039,9399,12,91,17,2,9316
HT4BVJT00003,HT4BVJT00003,15087,16,123,6012,4,8957
HT4AVJT02309,HT4AVJT02309,10090,25,103,21,3,9941
HT4BTJT00078,HT4BTJT00078,9304,21,132,17,3,9172
HT4CWJT00250,HT4CWJT00250,12381,13,52,3634,3,8681
HT4CWJT00250,HT4CWJT00250,20362,13,96,11403,3,8871
HT4BTJT00078,HT4BTJT00078,14739,20,152,5890,3,8710
HT4BTJT00030,HT4BTJT00030,9497,17,82,48,5,9347
HT4BTJT00127,HT4BTJT00127,9237,13,61,17,3,9145
HT4APJT01039,HT4APJT01039,9029,13,29,16,3,8972
HT4BTJT00030,HT4BTJT00030,12790,13,100,3787,6,8882
HT4APJT01039,HT4APJT01039,15912,6,63,6830,3,9009
HT4APJT01039,HT4APJT01039,24372,6,58,15161,3,9179
HT4BVJT00003,HT4BVJT00003,10485,12,31,1313,2,9134
HT4BTJT00078,HT4BTJT00078,14015,11,67,5255,8,8677
HT4BVJT00012,HT4BVJT00012,8671,10,79,26,5,8555
HT4BVJT00012,HT4BVJT00012,16927,5,53,8519,11,8374
HT4AVJT02309,HT4AVJT02309,8756,26,100,13,1,8636
HT4BTJT00078,HT4BTJT00078,20368,16,47,11550,4,8759
HT4BTJT00078,HT4BTJT00078,27544,17,100,18697,6,8755
HT4BVJT00012,HT4BVJT00012,21180,11,74,12558,4,8575
HT4BTJT00127,HT4BTJT00127,8787,15,73,15,2,8717
HT4AVJT02309,HT4AVJT02309,13718,43,84,4744,2,8808
HT4BTJT00127,HT4BTJT00127,16353,8,45,7532,8,8759
HT4BTJT00030,HT4BTJT00030,12418,12,19,3548,4,8838
HT4BVJT00012,HT4BVJT00012,27398,6,27,18723,2,8645
HT4BTJT00030,HT4BTJT00030,20122,10,46,11145,5,8919
HT4BTJT00127,HT4BTJT00127,22877,6,71,13930,3,8863
HT4BTJT00078,HT4BTJT00078,27732,20,39,18272,2,9400
HT4BTJT00127,HT4BTJT00127,23212,8,71,14090,12,9026
HT4BTJT00078,HT4BTJT00078,30607,13,63,21536,2,9026
HT4APJT01039,HT4APJT01039,12049,5,41,2717,10,9278
HT4CWJT00250,HT4CWJT00250,8593,17,33,15,2,8538
HT4BTJT00030,HT4BTJT00030,12724,10,21,3678,2,9013
HT4BVJT00012,HT4BVJT00012,18600,10,53,9431,3,9148
HT4CWJT00250,HT4CWJT00250,14033,7,42,5239,7,8746
HT4APJT01039,HT4APJT01039,17163,14,25,7746,2,9376
HT4APJT01039,HT4APJT01039,26795,15,64,16526,6,10216
