ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00030,HT4BTJT00030,9501,9,66,37,3,9420
HT4BVJT00189,HT4BVJT00189,9844,24,121,15,5,9711
HT4BTJT00078,HT4BTJT00078,9465,25,59,19,2,9352
HT4CWJT00980,HT4CWJT00980,9929,10,54,25,4,9831
HT4AVJT02309,HT4AVJT02309,9846,21,79,37,5,9708
HT4BVJT00189,HT4BVJT00189,17022,11,44,7659,3,9304
HT4APJT01039,HT4APJT01039,9571,13,76,27,8,9478
HT4BTJT00030,HT4BTJT00030,15263,7,66,6491,4,8692
HT4BTJT00030,HT4BTJT00030,23625,9,71,14681,6,8858
HT4APJT01039,HT4APJT01039,17236,15,109,7924,4,9233
HT4BVJT00003,HT4BVJT00003,9505,12,32,16,3,9440
HT4CWJT00250,HT4CWJT00250,9420,16,75,20,2,9306
HT4CWJT00980,HT4CWJT00980,13799,9,44,4319,6,9431
HT4BVJT00003,HT4BVJT00003,15796,7,46,6667,14,9061
HT4CWJT00980,HT4CWJT00980,22490,16,34,12697,11,9735
HT4CWJT00980,HT4CWJT00980,32138,8,72,21982,12,10063
HT4APJT01039,HT4APJT01039,21894,17,12,12551,2,9314
HT4BTJT00078,HT4BTJT00078,9560,7,119,693,2,8759
HT4BVJT00189,HT4BVJT00189,19483,14,56,10151,6,9293
HT4BTJT00078,HT4BTJT00078,18386,18,88,9428,2,8887
HT4AVJT02309,HT4AVJT02309,11281,8,58,2040,3,9180
HT4APJT01039,HT4APJT01039,30198,11,44,20596,6,9545
HT4APJT01039,HT4APJT01039,38892,15,43,29259,6,9581
HT4BTJT00078,HT4BTJT00078,25043,21,82,16056,5,8886
HT4CWJT00250,HT4CWJT00250,12811,8,77,4016,2,8740
HT4AVJT02309,HT4AVJT02309,18765,8,69,9288,10,9425
HT4CWJT00250,HT4CWJT00250,21123,8,98,12141,5,8871
HT4BVJT00003,HT4BVJT00003,20335,10,15,11089,3,9222
HT4BTJT00078,HT4BTJT00078,32815,7,69,23762,2,8976
HT4BVJT00003,HT4BVJT00003,29072,6,62,19689,2,9312
HT4CWJT00250,HT4CWJT00250,28848,9,93,19860,7,8916
HT4APJT01039,HT4APJT01039,44144,9,65,34352,6,9748
HT4CWJT00250,HT4CWJT00250,33389,15,59,24386,3,8924
HT4APJT01039,HT4APJT01039,51781,14,82,41013,8,10706
HT4CWJT00980,HT4CWJT00980,31211,19,74,21335,3,9779
HT4BTJT00030,HT4BTJT00030,15891,10,25,6996,4,8862
HT4BVJT00003,HT4BVJT00003,30105,9,55,20809,3,9265
HT4BTJT00078,HT4BTJT00078,33258,10,72,23886,3,9335
HT4BTJT00030,HT4BTJT00030,23304,7,37,14287,4,8972
HT4CWJT00980,HT4CWJT00980,38935,8,90,28971,2,9901
HT4CWJT00980,HT4CWJT00980,48844,15,85,38564,6,10217
HT4CWJT00250,HT4CWJT00250,37678,9,73,28532,11,9086
HT4BTJT00030,HT4BTJT00030,29209,10,19,20273,4,8904
HT4AVJT02309,HT4AVJT02309,14549,10,74,4872,3,9623
HT4AVJT02309,HT4AVJT02309,23874,17,92,13649,7,10143
HT4AVJT02309,HT4AVJT02309,33144,7,60,23014,4,10057
HT4CWJT00250,HT4CWJT00250,41630,21,68,31644,4,9905
