ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,9238,29,69,23,2,9148
HT4BVJT00012,HT4BVJT00012,9279,21,71,38,4,9146
HT4AVJT02309,HT4AVJT02309,9276,32,42,29,2,9178
HT4CWJT00250,HT4CWJT00250,9281,20,31,28,3,9204
HT4BTJT00030,HT4BTJT00030,9290,15,26,45,2,9209
HT4BVJT00012,HT4BVJT00012,13429,7,6,5090,2,8323
HT4BVJT00189,HT4BVJT00189,9325,17,21,25,3,9257
HT4BVJT00003,HT4BVJT00003,11798,6,48,3339,4,8400
HT4BVJT00003,HT4BVJT00003,19238,5,10,10902,3,8321
HT4BVJT00189,HT4BVJT00189,14860,7,11,6077,2,8762
HT4APJT01039,HT4APJT01039,9229,20,56,15,2,9137
HT4BVJT00189,HT4BVJT00189,21388,7,11,12535,4,8829
HT4CWJT00980,HT4CWJT00980,9443,25,49,33,6,9328
HT4BVJT00189,HT4BVJT00189,29332,8,50,20357,2,8913
HT4CWJT00250,HT4CWJT00250,8571,20,50,9,2,8490
HT4APJT01039,HT4APJT01039,11979,6,16,3523,1,8440
HT4CWJT00250,HT4CWJT00250,14820,13,31,6402,1,8379
HT4CWJT00250,HT4CWJT00250,22390,10,58,13935,2,8385
HT4BVJT00189,HT4BVJT00189,32350,7,63,23225,2,9091
HT4BVJT00012,HT4BVJT00012,8398,23,16,26,6,8332
HT4AVJT02309,HT4AVJT02309,8518,20,26,12,2,8459
HT4AVJT02309,HT4AVJT02309,16722,11,52,8360,8,8284
HT4BTJT00030,HT4BTJT00030,8621,23,59,23,7,8513
HT4AVJT02309,HT4AVJT02309,20624,26,51,12282,2,8265
HT4BTJT00030,HT4BTJT00030,13174,6,45,4719,1,8405
HT4APJT01039,HT4APJT01039,11138,6,16,2826,4,8291
HT4AVJT02309,HT4AVJT02309,27037,13,30,18135,1,8857
HT4APJT01039,HT4APJT01039,18234,6,45,9781,3,8401
HT4CWJT00980,HT4CWJT00980,8649,12,51,8,2,8574
HT4CWJT00980,HT4CWJT00980,16000,13,52,7482,2,8486
