ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,HT4BTJT00127,9347,25,56,12,2,9248
HT4BVJT00012,HT4BVJT00012,9156,16,25,21,2,9100
HT4AVJT02309,HT4AVJT02309,9175,17,25,30,2,9109
HT4CWJT00980,HT4CWJT00980,9278,15,30,36,3,9199
HT4BTJT00078,HT4BTJT00078,9284,38,30,21,2,9190
HT4BVJT00012,HT4BVJT00012,15517,15,18,7042,1,8409
HT4APJT01039,HT4APJT01039,9263,15,53,13,1,9181
HT4BTJT00127,HT4BTJT00127,14966,5,16,6392,6,8549
HT4BTJT00127,HT4BTJT00127,23134,9,57,14550,2,8520
HT4APJT01039,HT4APJT01039,15963,8,17,7525,3,8411
HT4BVJT00003,HT4BVJT00003,9281,21,41,28,3,9191
HT4APJT01039,HT4APJT01039,23394,8,15,14822,3,8551
HT4CWJT00250,HT4CWJT00250,9163,16,30,29,3,9086
HT4APJT01039,HT4APJT01039,31773,6,40,22954,3,8776
HT4CWJT00980,HT4CWJT00980,12484,10,47,3522,2,8901
HT4BVJT00003,HT4BVJT00003,14924,10,45,6414,3,8451
HT4CWJT00980,HT4CWJT00980,20278,8,12,11337,2,8921
HT4CWJT00980,HT4CWJT00980,29007,14,14,19899,3,9078
HT4APJT01039,HT4APJT01039,37448,13,21,28685,7,8722
HT4AVJT02309,HT4AVJT02309,8981,11,27,461,6,8483
HT4AVJT02309,HT4AVJT02309,17386,6,52,8859,3,8470
HT4BVJT00012,HT4BVJT00012,16884,5,7,8505,1,8365
HT4BTJT00078,HT4BTJT00078,9924,9,49,1467,2,8398
HT4AVJT02309,HT4AVJT02309,23697,14,54,15147,1,8491
HT4BTJT00078,HT4BTJT00078,16354,9,46,7924,1,8375
HT4BVJT00003,HT4BVJT00003,18864,10,10,10295,3,8545
HT4AVJT02309,HT4AVJT02309,30947,16,11,22364,1,8560
HT4BVJT00003,HT4BVJT00003,26827,6,45,18182,3,8591
HT4CWJT00250,HT4CWJT00250,8522,15,53,12,1,8441
HT4CWJT00250,HT4CWJT00250,16378,8,16,8022,3,8329
HT4CWJT00250,HT4CWJT00250,23561,13,16,15100,2,8425
HT4CWJT00980,HT4CWJT00980,27309,12,55,18122,7,9112
HT4BTJT00127,HT4BTJT00127,15047,9,46,6424,3,8566
HT4BVJT00003,HT4BVJT00003,27263,6,9,18611,6,8630
HT4AVJT02309,HT4AVJT02309,30718,19,47,22036,3,8612
HT4BTJT00127,HT4BTJT00127,21976,5,48,13364,2,8556
HT4CWJT00980,HT4CWJT00980,34274,17,51,25093,1,9114
HT4CWJT00980,HT4CWJT00980,43353,16,13,34009,2,9309
HT4CWJT00250,HT4CWJT00250,27742,20,19,19226,2,8441
HT4BTJT00127,HT4BTJT00127,29578,6,25,20920,10,8620
HT4APJT01039,HT4APJT01039,31847,9,44,23033,2,8760
HT4APJT01039,HT4APJT01039,39772,7,44,30878,4,8840
HT4BTJT00078,HT4BTJT00078,10767,17,14,2399,2,8335
