ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,9609,7,105,18,4,9510
HT4BTJT00030,HT4BTJT00030,9616,7,129,36,10,9470
HT4BVJT00012,HT4BVJT00012,9438,7,90,32,4,9310
HT4CWJT00250,HT4CWJT00250,9658,12,203,107,6,9371
HT4AVJT02309,HT4AVJT02309,10257,27,198,20,3,10040
HT4BTJT00030,HT4BTJT00030,14471,14,73,5473,4,8910
HT4BTJT00078,HT4BTJT00078,9552,17,135,23,5,9394
HT4BVJT00003,HT4BVJT00003,12704,15,215,3603,7,8899
HT4BVJT00003,HT4BVJT00003,20758,14,116,11680,5,8965
HT4BTJT00078,HT4BTJT00078,15275,7,104,6263,6,8926
HT4APJT01039,HT4APJT01039,10106,8,83,29,6,10006
HT4BTJT00127,HT4BTJT00127,9555,8,144,18,5,9419
HT4CWJT00250,HT4CWJT00250,9015,12,101,17,3,8917
HT4APJT01039,HT4APJT01039,13830,7,154,4411,5,9250
HT4CWJT00250,HT4CWJT00250,16005,9,189,6768,6,9063
HT4CWJT00250,HT4CWJT00250,24336,6,72,15097,4,9191
HT4BTJT00078,HT4BTJT00078,14987,18,89,5851,14,9046
HT4BTJT00030,HT4BTJT00030,9702,9,104,604,9,9013
HT4BVJT00012,HT4BVJT00012,8976,8,158,40,9,8770
HT4BVJT00012,HT4BVJT00012,17887,13,161,8780,15,8928
HT4APJT01039,HT4APJT01039,19236,6,129,9657,5,9477
HT4AVJT02309,HT4AVJT02309,9457,21,159,15,3,9279
HT4BTJT00078,HT4BTJT00078,21499,20,92,12340,5,9071
HT4APJT01039,HT4APJT01039,26395,15,186,16705,8,9507
HT4BTJT00078,HT4BTJT00078,29127,18,193,19875,18,9057
HT4BVJT00012,HT4BVJT00012,22551,16,65,13474,5,8988
HT4BTJT00127,HT4BTJT00127,9019,17,130,18,14,8866
HT4AVJT02309,HT4AVJT02309,14996,16,257,5302,5,9424
HT4BTJT00127,HT4BTJT00127,16712,10,123,7769,12,8830
HT4BTJT00127,HT4BTJT00127,23279,13,189,14189,8,8900
HT4BTJT00078,HT4BTJT00078,29602,8,198,19626,5,9791
HT4BVJT00012,HT4BVJT00012,19571,15,143,10325,6,9110
