ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,HT4BTJT00127,10789,23,85,11,4,10693
HT4BTJT00127,HT4BTJT00127,21084,12,60,9863,13,11138
HT4BTJT00127,HT4BTJT00127,30816,15,182,20581,15,10055
HT4BTJT00127,HT4BTJT00127,39115,16,118,29008,6,9989
HT4BTJT00127,HT4BTJT00127,49958,20,113,38929,17,10900
HT4BTJT00127,HT4BTJT00127,60226,24,103,49759,24,10347
HT4BTJT00127,HT4BTJT00127,70970,12,70,60000,19,10910
HT4BTJT00127,HT4BTJT00127,80849,27,99,70550,27,10188
HT4BTJT00127,compute-europe-west,2220,16,955,12,4,1220
HT4BTJT00127,compute-europe-west,3165,10,1351,725,5,1074
HT4BTJT00127,compute-europe-west,3680,11,952,1708,2,1005
HT4BTJT00127,compute-europe-west,4244,10,2051,1163,2,1015
HT4BTJT00127,compute-europe-west,4883,14,2263,1555,3,1042
HT4BTJT00127,compute-europe-west,5564,20,2856,1658,3,1023
HT4BTJT00127,compute-europe-west,4716,15,1973,1694,2,1018
HT4BTJT00127,compute-europe-west,5379,10,1660,2668,2,1030
HT4BTJT00127,compute-europe-west,4384,17,345,3003,2,1012
HT4BTJT00127,compute-europe-west,4405,6,410,2976,1,1006
HT4BTJT00127,compute-europe-west,4967,31,370,3566,2,999
HT4BTJT00127,compute-europe-west,5252,20,1040,3194,5,1046
HT4BTJT00127,compute-europe-west,5353,45,1435,2868,3,1008
HT4BTJT00127,compute-europe-west,7232,17,3815,2363,3,1030
HT4BTJT00127,compute-europe-west,5805,72,2241,2501,1,997
HT4BTJT00127,compute-europe-west,8842,64,3679,4087,2,1007
HT4BTJT00127,compute-europe-west,9697,10,5606,3056,3,1016
HT4BTJT00127,compute-europe-west,7595,21,3410,3160,2,997
HT4BTJT00127,compute-europe-west,11403,8,5616,4733,3,1034
HT4BTJT00127,compute-europe-west,10122,14,5305,3766,2,1028
HT4BTJT00127,compute-europe-west,11052,11,4647,5385,2,1003
HT4BTJT00127,compute-europe-west,12500,11,8246,3220,3,1015
HT4BTJT00127,compute-europe-west,10601,11,4658,4927,2,1000
HT4BTJT00127,compute-europe-west,11460,8,6888,3546,2,1009
HT4BTJT00127,compute-europe-west,20137,27,19074,12,2,1019
HT4BTJT00127,compute-europe-west,11789,12,10751,11,2,1011
HT4BTJT00127,compute-europe-west,23063,26,21250,723,2,1059
HT4BTJT00127,compute-europe-west,23545,9,20972,1500,3,1055
HT4BTJT00127,compute-europe-west,26215,19,21853,3312,2,1048
HT4BTJT00127,compute-europe-west,11000,15,9476,508,1,997
HT4BTJT00127,compute-europe-west,19230,18,18031,163,2,1014
HT4BTJT00127,compute-europe-west,23969,6,20564,2358,2,1048
HT4BTJT00127,compute-europe-west,18066,7,17028,6,2,1021
HT4BTJT00127,compute-europe-west,26039,30,19208,5724,2,1072
HT4BTJT00127,compute-europe-west,23214,11,18169,4038,2,1039
HT4BTJT00127,compute-europe-west,29145,7,19568,8549,3,1017
HT4BTJT00127,compute-europe-west,26750,14,18720,6992,2,1030
HT4BTJT00127,compute-europe-west,23471,11,17627,4805,1,1026
HT4BTJT00127,compute-europe-west,30566,36,19835,9671,3,1013
HT4BTJT00127,compute-europe-west,33530,9,20163,12341,3,1013
HT4BTJT00127,compute-europe-west,36817,18,21660,14095,2,1032
HT4BTJT00127,compute-europe-west,21129,9,13801,6300,1,1016
HT4BTJT00127,compute-europe-west,34900,8,19465,14389,2,1028
HT4BTJT00127,compute-europe-west,26389,10,14804,10577,2,999
HT4BTJT00127,compute-europe-west,35981,14,23038,11908,3,1011
HT4BTJT00127,compute-europe-west,26524,6,14057,11452,2,1000
HT4BTJT00127,compute-europe-west,23338,6,13504,8797,2,1024
HT4BTJT00127,compute-europe-west,36765,9,23660,12070,3,1018
HT4BTJT00127,compute-europe-west,11357,8,8957,1346,1,1043
HT4BTJT00127,compute-europe-west,26812,13,13701,12095,3,1001
HT4BTJT00127,compute-europe-west,24864,16,11696,12134,2,1011
HT4BTJT00127,compute-europe-west,32399,11,18673,12694,2,1009
HT4BTJT00127,compute-europe-west,29946,7,15325,13580,2,1015
HT4BTJT00127,compute-europe-west,25099,23,10745,13305,1,1007
HT4BTJT00127,compute-europe-west,31616,15,17618,12950,2,1026
HT4BTJT00127,compute-europe-west,22983,10,9465,12485,2,1001
HT4BTJT00127,compute-europe-west,35376,23,21527,12799,3,1021
HT4BTJT00127,compute-europe-west,31778,13,17020,13733,3,1008
HT4BTJT00127,compute-europe-west,33727,6,20653,12037,3,1024
HT4BTJT00127,compute-europe-west,35391,16,20858,13496,2,1010
HT4BTJT00127,compute-europe-west,11689,8,2731,7967,1,983
HT4BTJT00127,compute-europe-west,38615,19,20336,17242,3,1016
HT4BTJT00127,compute-europe-west,29166,11,14215,13929,2,1007
HT4BTJT00127,compute-europe-west,37175,16,19846,16296,2,1017
HT4BTJT00127,compute-europe-west,34124,14,18621,14475,2,1013
HT4BTJT00127,compute-europe-west,34174,62,17708,15403,1,1000
HT4BTJT00127,compute-europe-west,46271,49,19682,25531,3,1019
HT4BTJT00127,compute-europe-west,28336,20,13415,13907,1,989
HT4BTJT00127,compute-europe-west,41663,6,16086,24539,2,1028
HT4BTJT00127,compute-europe-west,34222,17,14823,18372,2,1009
HT4BTJT00127,compute-europe-west,42509,13,15125,26347,3,1016
HT4BTJT00127,compute-europe-west,42534,71,13277,28168,3,1020
HT4BTJT00127,compute-europe-west,44112,17,13017,30038,4,1035
HT4BTJT00127,compute-europe-west,33800,9,11824,20961,2,1002
HT4BTJT00127,compute-europe-west,33971,6,11054,21899,2,1000
HT4BTJT00127,compute-europe-west,30781,5,10457,19315,1,1002
HT4BTJT00127,compute-europe-west,34727,15,10821,22887,2,1003
HT4BTJT00127,compute-europe-west,27745,11,9205,17537,1,991
HT4BTJT00127,HT4BTJT00127,40778,9,162,29555,6,11089
HT4BTJT00127,compute-europe-west,29902,17,8860,20029,2,998
HT4BTJT00127,compute-europe-west,31512,18,6983,23531,2,996
HT4BTJT00127,HT4BTJT00127,48207,13,127,37869,10,10200
HT4BTJT00127,HT4BTJT00127,59172,9,156,47959,9,11067
HT4BTJT00127,HT4BTJT00127,69564,23,130,58605,17,10809
HT4BTJT00127,compute-europe-west,35726,14,5623,29073,2,1019
HT4BTJT00127,compute-europe-west,36942,21,3171,32712,4,1037
HT4BTJT00127,compute-europe-west,30545,21,2186,27336,1,1000
HT4BTJT00127,compute-europe-west,34294,11,2193,31071,2,1016
HT4BTJT00127,compute-europe-west,35083,15,1989,32073,2,1005
HT4BTJT00127,compute-europe-west,35324,28,617,33649,3,1026
HT4BTJT00127,compute-europe-west,34981,20,753,33193,3,1012
HT4BTJT00127,compute-europe-west,35983,15,895,34049,3,1018
HT4BTJT00127,compute-europe-west,35712,10,404,34314,1,987
HT4BTJT00127,compute-europe-west,36673,6,724,34946,2,998
HT4BTJT00127,compute-europe-west,37458,22,507,35917,2,1005
HT4BTJT00127,compute-europe-west,36836,15,639,35179,2,999
HT4BTJT00127,compute-europe-west,37593,27,760,35798,2,1002
HT4BTJT00127,compute-europe-west,38556,10,1034,36471,4,1035
HT4BTJT00127,compute-europe-west,38552,26,6899,30597,3,1014
HT4BTJT00127,compute-europe-west,39257,9,7594,30646,2,1003
HT4BTJT00127,compute-europe-west,42248,14,11521,29692,2,1018
HT4BTJT00127,compute-europe-west,40169,14,7588,31570,2,991
HT4BTJT00127,compute-europe-west,45172,13,16518,27622,2,1014
HT4BTJT00127,compute-europe-west,46076,9,17186,27859,2,1019
HT4BTJT00127,compute-europe-west,41926,14,10274,30638,2,1001
HT4BTJT00127,compute-europe-west,39799,12,10061,28730,1,993
HT4BTJT00127,compute-europe-west,48237,15,19879,27318,3,1018
HT4BTJT00127,compute-europe-west,44736,13,15454,28268,2,996
HT4BTJT00127,compute-europe-west,45634,32,15549,29034,2,1009
HT4BTJT00127,compute-europe-west,46628,53,18677,26865,2,1025
HT4BTJT00127,compute-europe-west,41471,7,10482,29972,2,1008
HT4BTJT00127,compute-europe-west,49812,6,18957,29890,2,1020
HT4BTJT00127,compute-europe-west,50936,9,16522,33376,2,1023
HT4BTJT00127,compute-europe-west,51764,8,16460,34261,3,1024
HT4BTJT00127,compute-europe-west,44478,63,14386,29046,2,1001
HT4BTJT00127,compute-europe-west,53205,15,14989,37177,2,1024
HT4BTJT00127,compute-europe-west,51914,37,14513,36343,2,1016
HT4BTJT00127,compute-europe-west,40340,17,11302,28055,2,989
HT4BTJT00127,compute-europe-west,54922,17,13903,39984,3,1015
HT4BTJT00127,compute-europe-west,44607,6,11822,31778,2,998
HT4BTJT00127,compute-europe-west,42451,38,10632,30834,1,1002
HT4BTJT00127,compute-europe-west,53576,69,13504,38974,2,1027
HT4BTJT00127,compute-europe-west,45371,14,11794,32563,2,1002
HT4BTJT00127,compute-europe-west,59271,13,14332,43908,3,1040
HT4BTJT00127,compute-europe-west,41715,16,9563,31140,1,998
HT4BTJT00127,compute-europe-west,53169,14,11613,40518,3,1015
HT4BTJT00127,compute-europe-west,52945,21,10408,41498,3,1013
HT4BTJT00127,compute-europe-west,52831,11,9413,42365,3,1037
HT4BTJT00127,compute-europe-west,43709,7,7297,35399,2,1000
HT4BTJT00127,compute-europe-west,42528,54,6443,35032,2,997
HT4BTJT00127,HT4BTJT00127,47097,18,178,37238,14,9706
HT4BTJT00127,HT4BTJT00127,57035,38,86,46853,31,10072
HT4BTJT00127,HT4BTJT00127,64884,17,160,54726,4,10014
HT4BTJT00127,HT4BTJT00127,74904,22,191,64527,20,10181
HT4BTJT00127,HT4BTJT00127,85360,8,140,74543,21,10675
HT4BTJT00127,compute-europe-west,42099,25,2947,38127,1,1000
HT4BTJT00127,HT4BTJT00127,94565,16,139,84532,26,9872
HT4BTJT00127,HT4BTJT00127,104221,66,129,94231,22,9810
HT4BTJT00127,compute-europe-west,47245,12,3261,42973,2,996
HT4BTJT00127,compute-europe-west,47290,8,1539,44750,1,990
HT4BTJT00127,compute-europe-west,48208,23,4412,42690,3,1078
HT4BTJT00127,compute-europe-west,46899,26,3044,42813,1,1012
HT4BTJT00127,compute-europe-west,47798,11,9352,37392,3,1039
HT4BTJT00127,compute-europe-west,46563,18,11398,34118,2,1027
HT4BTJT00127,compute-europe-west,47564,20,11833,34704,2,1019
HT4BTJT00127,compute-europe-west,48529,13,11817,35668,3,1028
HT4BTJT00127,compute-europe-west,53729,6,13069,39595,3,1043
HT4BTJT00127,compute-europe-west,49249,22,9621,38581,2,1020
HT4BTJT00127,compute-europe-west,46323,11,8326,36891,2,999
HT4BTJT00127,compute-europe-west,45726,8,7084,37634,2,999
HT4BTJT00127,compute-europe-west,52016,10,8049,42932,3,1020
HT4BTJT00127,compute-europe-west,47859,13,7270,39558,3,1012
HT4BTJT00127,compute-europe-west,45720,6,5260,39440,2,1010
HT4BTJT00127,compute-europe-west,52764,12,7828,43909,3,1015
HT4BTJT00127,compute-europe-west,54739,14,8158,45492,4,1067
HT4BTJT00127,compute-europe-west,41040,7,3747,36334,1,1009
HT4BTJT00127,compute-europe-west,46928,9,5622,40279,3,1011
HT4BTJT00127,compute-europe-west,47067,6,5024,41013,2,1015
HT4BTJT00127,compute-europe-west,47692,16,4669,41978,3,1022
HT4BTJT00127,compute-europe-west,49963,26,4207,44714,3,1011
HT4BTJT00127,compute-europe-west,50625,8,3162,46414,3,1031
