ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,HT4BTJT00127,10903,15,206,11,4,10703
HT4BTJT00127,HT4BTJT00127,20774,27,140,9859,4,10771
HT4BTJT00127,HT4BTJT00127,31341,43,278,20214,19,10801
HT4BTJT00127,HT4BTJT00127,50191,114,468,39437,27,10203
HT4BTJT00127,HT4BTJT00127,39904,62,404,29048,18,10403
HT4BTJT00127,HT4BTJT00127,59960,126,414,49514,40,9862
HT4BTJT00127,HT4BTJT00127,70344,111,222,59368,19,10634
HT4BTJT00127,HT4BTJT00127,80246,130,161,69926,35,10029
HT4BTJT00127,HT4BTJT00127,89404,15,131,79491,27,9762
HT4BTJT00127,HT4BTJT00127,99607,24,180,89059,29,10303
HT4BTJT00127,HT4BTJT00127,108917,16,126,99009,16,9772
HT4BTJT00127,compute-europe-west,2227,16,843,15,6,1260
HT4BTJT00127,compute-europe-west,2972,19,666,1120,5,1081
HT4BTJT00127,compute-europe-west,3657,23,495,1964,4,1040
HT4BTJT00127,compute-europe-west,2978,14,940,727,3,1068
HT4BTJT00127,compute-europe-west,3439,21,720,1641,3,1052
HT4BTJT00127,compute-europe-west,2727,21,1651,13,2,1034
HT4BTJT00127,compute-europe-west,4108,16,3063,7,1,1017
HT4BTJT00127,compute-europe-west,6500,14,5462,6,2,1015
HT4BTJT00127,compute-europe-west,53922,16,52816,18,4,1061
HT4BTJT00127,compute-europe-west,23267,24,22180,12,2,1046
HT4BTJT00127,compute-europe-west,32342,22,30782,479,4,1050
HT4BTJT00127,compute-europe-west,17706,74,16593,11,2,1025
HT4BTJT00127,compute-europe-west,11836,49,10769,5,2,1007
HT4BTJT00127,compute-europe-west,35445,22,34335,14,3,1051
HT4BTJT00127,compute-europe-west,15970,21,14909,7,1,1030
HT4BTJT00127,compute-europe-west,33907,19,32825,13,3,1051
HT4BTJT00127,compute-europe-west,30078,15,28811,193,3,1052
HT4BTJT00127,compute-europe-west,22981,16,21404,541,2,1018
HT4BTJT00127,compute-europe-west,45920,28,44849,8,2,1025
HT4BTJT00127,compute-europe-west,20515,21,19489,6,2,998
HT4BTJT00127,compute-europe-west,28438,17,26638,714,3,1064
HT4BTJT00127,compute-europe-west,74234,21,72472,696,3,1038
HT4BTJT00127,compute-europe-west,39309,47,38229,12,2,1015
HT4BTJT00127,compute-europe-west,71148,22,70040,14,2,1048
HT4BTJT00127,compute-europe-west,55832,20,54762,7,3,1031
HT4BTJT00127,compute-europe-west,76072,12,74992,8,3,1056
HT4BTJT00127,compute-europe-west,22322,23,21254,6,1,1037
HT4BTJT00127,compute-europe-west,47243,19,46195,12,2,1013
HT4BTJT00127,compute-europe-west,60217,16,59144,13,2,1038
HT4BTJT00127,compute-europe-west,33762,44,32708,7,2,1004
HT4BTJT00127,compute-europe-west,55182,9,54137,13,2,1021
HT4BTJT00127,compute-europe-west,45920,26,44556,315,2,1026
HT4BTJT00127,compute-europe-west,77544,15,76472,7,3,1050
HT4BTJT00127,compute-europe-west,67002,26,65923,11,3,1032
HT4BTJT00127,compute-europe-west,44150,14,43110,6,2,1008
HT4BTJT00127,compute-europe-west,90422,16,88438,911,3,1051
HT4BTJT00127,compute-europe-west,95494,18,93345,1067,3,1061
HT4BTJT00127,compute-europe-west,98999,27,97897,13,2,1058
HT4BTJT00127,compute-europe-west,44608,33,42948,594,1,1014
HT4BTJT00127,compute-europe-west,100526,28,98953,509,2,1030
HT4BTJT00127,compute-europe-west,84345,22,83096,11,2,1021
HT4BTJT00127,compute-europe-west,114357,18,110825,2491,3,1031
HT4BTJT00127,compute-europe-west,86233,11,85163,12,2,1033
HT4BTJT00127,compute-europe-west,76513,17,75465,6,2,1024
HT4BTJT00127,compute-europe-west,118766,17,116660,1034,3,1039
HT4BTJT00127,compute-europe-west,22358,14,21333,4,1,1004
HT4BTJT00127,compute-europe-west,89825,49,86665,2094,2,1012
HT4BTJT00127,compute-europe-west,83755,10,82663,5,2,1053
HT4BTJT00127,compute-europe-west,103256,18,102191,12,2,1031
HT4BTJT00127,compute-europe-west,95604,18,93380,1181,3,1010
HT4BTJT00127,compute-europe-west,84079,13,81504,1531,2,1022
