ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,9529,17,69,11,3,9430
HT4BTJT00078,HT4BTJT00078,18302,9,16,8613,2,9660
HT4BTJT00078,HT4BTJT00078,28118,10,38,18026,10,10032
HT4BTJT00078,HT4BVJT00003,7657,6,320,27,6,7297
HT4BTJT00078,HT4BVJT00003,16857,9,489,7097,3,9257
HT4BTJT00078,HT4BVJT00003,26147,8,491,16271,6,9377
HT4BTJT00078,HT4BVJT00003,35304,12,338,25580,3,9372
HT4BTJT00078,HT4BVJT00003,44558,19,235,34824,4,9469
HT4BTJT00078,compute-europe-west,1117,9,374,3,1,730
HT4BTJT00078,compute-europe-west,1695,11,355,612,1,708
HT4BTJT00078,compute-europe-west,1914,6,146,1059,2,704
HT4BTJT00078,compute-europe-west,2185,46,172,1253,1,712
HT4BTJT00078,compute-europe-west,2441,6,1149,616,1,667
HT4BTJT00078,compute-europe-west,2769,6,2068,24,1,658
HT4BTJT00078,compute-europe-west,1613,6,721,134,0,657
HT4BTJT00078,compute-europe-west,1801,18,812,314,0,654
HT4BTJT00078,compute-europe-west,1582,21,881,3,1,671
HT4BTJT00078,compute-europe-west,1257,53,459,93,0,664
HT4BTJT00078,compute-europe-west,1492,11,540,275,1,664
HT4BTJT00078,compute-europe-west,1426,14,578,158,1,662
HT4BTJT00078,compute-europe-west,1169,8,408,85,0,663
HT4BTJT00078,compute-europe-west,1722,7,671,363,2,677
HT4BTJT00078,compute-europe-west,3878,56,3154,3,1,662
HT4BTJT00078,compute-europe-west,1927,43,1151,78,0,653
HT4BTJT00078,compute-europe-west,5048,14,3322,1048,1,661
HT4BTJT00078,compute-europe-west,4273,7,2972,633,1,659
HT4BTJT00078,compute-europe-west,5976,6,3530,1780,0,655
HT4BTJT00078,compute-europe-west,5095,7,3149,1273,1,664
HT4BTJT00078,compute-europe-west,5278,16,2250,2360,0,651
HT4BTJT00078,compute-europe-west,5368,7,2428,2266,1,661
HT4BTJT00078,compute-europe-west,5144,9,1654,2808,0,671
HT4BTJT00078,compute-europe-west,4614,45,1147,2759,1,660
HT4BTJT00078,compute-europe-west,4193,5,970,2560,1,657
HT4BTJT00078,compute-europe-west,6095,7,2221,3196,1,666
HT4BTJT00078,compute-europe-west,4545,8,1590,2302,0,646
HT4BTJT00078,compute-europe-west,5137,55,1746,2682,0,655
HT4BTJT00078,compute-europe-west,6294,30,1883,3717,1,662
HT4BTJT00078,compute-europe-west,5667,10,1122,3870,1,662
HT4BTJT00078,compute-europe-west,5031,6,522,3846,0,654
HT4BTJT00078,compute-europe-west,5290,56,1947,2614,1,672
HT4BTJT00078,compute-europe-west,5221,9,4049,492,1,671
HT4BTJT00078,compute-europe-west,6320,10,4829,814,1,657
HT4BTJT00078,compute-europe-west,7933,17,6734,507,1,676
HT4BTJT00078,compute-europe-west,5160,11,3950,510,1,661
HT4BTJT00078,compute-europe-west,6371,5,4606,1094,1,656
HT4BTJT00078,compute-europe-west,6980,18,5073,1217,1,663
HT4BTJT00078,compute-europe-west,6527,18,5608,243,1,656
HT4BTJT00078,compute-europe-west,6077,7,5411,4,1,651
HT4BTJT00078,compute-europe-west,7637,33,6289,658,0,655
HT4BTJT00078,compute-europe-west,5888,37,4986,215,1,648
HT4BTJT00078,compute-europe-west,8653,50,6823,1128,1,656
HT4BTJT00078,compute-europe-west,5683,31,4993,3,0,656
HT4BTJT00078,compute-europe-west,6833,24,5165,996,0,652
HT4BTJT00078,compute-europe-west,9356,26,6087,2587,0,655
HT4BTJT00078,compute-europe-west,5817,24,4630,514,1,650
HT4BTJT00078,compute-europe-west,6228,31,3792,1746,1,659
HT4BTJT00078,compute-europe-west,5929,28,3249,2000,0,653
HT4BTJT00078,compute-europe-west,7301,25,3778,2835,1,666
HT4BTJT00078,compute-europe-west,7090,24,3169,3230,1,666
HT4BTJT00078,compute-europe-west,5468,20,1612,3184,0,650
HT4BTJT00078,HT4BTJT00078,9713,46,55,11,3,9631
HT4BTJT00078,compute-europe-west,6770,8,2677,3425,1,652
HT4BTJT00078,compute-europe-west,6787,13,2766,3350,0,656
HT4BTJT00078,compute-europe-west,5506,50,1902,2826,0,647
HT4BTJT00078,compute-europe-west,7664,15,2612,4373,0,658
