ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,9065,26,19,12,3,9011
HT4BTJT00078,HT4BTJT00078,17082,9,45,8047,1,8973
HT4BTJT00078,HT4BTJT00078,26039,20,47,16766,1,9207
HT4BTJT00078,HT4BVJT00003,8958,15,77,18,4,8847
HT4BTJT00078,HT4BVJT00003,17986,9,57,8791,2,9118
HT4BTJT00078,HT4BVJT00003,27335,6,53,17823,2,9409
HT4BTJT00078,HT4BVJT00003,36798,16,50,27139,2,9587
HT4BTJT00078,HT4BVJT00003,45892,6,16,36542,3,9275
HT4BTJT00078,compute-europe-west,885,6,274,3,0,600
HT4BTJT00078,compute-europe-west,1227,6,445,181,0,591
HT4BTJT00078,compute-europe-west,1748,6,710,426,1,602
HT4BTJT00078,compute-europe-west,1946,6,803,531,1,584
HT4BTJT00078,compute-europe-west,2162,17,709,850,0,583
HT4BTJT00078,compute-europe-west,855,7,235,3,0,593
HT4BTJT00078,compute-europe-west,1252,9,429,123,0,579
HT4BTJT00078,compute-europe-west,952,5,353,3,0,584
HT4BTJT00078,compute-europe-west,1253,12,631,2,1,604
HT4BTJT00078,compute-europe-west,1447,49,577,217,1,601
HT4BTJT00078,compute-europe-west,1278,9,430,251,0,585
HT4BTJT00078,compute-europe-west,1012,44,359,3,0,604
HT4BTJT00078,compute-europe-west,1578,9,381,492,0,588
HT4BTJT00078,compute-europe-west,1641,10,242,787,1,600
HT4BTJT00078,compute-europe-west,1076,11,159,272,0,576
HT4BTJT00078,compute-europe-west,1545,6,123,745,0,620
HT4BTJT00078,compute-europe-west,1990,46,315,1017,1,610
HT4BTJT00078,compute-europe-west,2381,8,192,1510,1,608
HT4BTJT00078,compute-europe-west,2399,11,199,1563,0,624
HT4BTJT00078,compute-europe-west,1948,6,317,960,0,622
HT4BTJT00078,compute-europe-west,1627,16,162,835,0,612
HT4BTJT00078,compute-europe-west,1106,55,398,3,1,642
HT4BTJT00078,compute-europe-west,922,24,283,2,1,614
HT4BTJT00078,compute-europe-west,1469,56,255,536,0,617
HT4BTJT00078,compute-europe-west,1834,51,154,1036,0,593
HT4BTJT00078,compute-europe-west,2424,51,166,1555,0,595
HT4BTJT00078,compute-europe-west,2770,20,121,2059,1,568
HT4BTJT00078,compute-europe-west,3272,18,314,2357,0,581
