ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00030,HT4BTJT00030,10342,14,129,13,5,10218
HT4BTJT00030,HT4BTJT00030,19996,27,142,9056,4,10796
HT4BTJT00030,HT4BTJT00030,27205,22,257,19414,16,7521
HT4BTJT00030,HT4BTJT00030,34461,22,134,24721,25,9575
HT4BTJT00030,HT4BTJT00030,43686,29,121,34238,21,9302
HT4BTJT00030,HT4BTJT00030,53887,20,113,43459,31,10297
HT4BTJT00030,compute-europe-west,1829,7,657,5,3,1138
HT4BTJT00030,compute-europe-west,2532,8,490,1030,4,983
HT4BTJT00030,compute-europe-west,2603,15,331,1305,1,950
HT4BTJT00030,compute-europe-west,3434,35,394,1958,3,947
HT4BTJT00030,compute-europe-west,3745,12,304,2410,1,925
HT4BTJT00030,compute-europe-west,3903,19,335,2601,2,937
HT4BTJT00030,compute-europe-west,4451,18,311,3123,2,946
HT4BTJT00030,compute-europe-west,5013,9,312,3615,1,950
HT4BTJT00030,compute-europe-west,3320,7,702,1684,2,936
HT4BTJT00030,compute-europe-west,3731,16,425,2344,1,940
HT4BTJT00030,compute-europe-west,2029,16,559,512,1,935
HT4BTJT00030,compute-europe-west,1624,15,459,222,1,922
HT4BTJT00030,compute-europe-west,2019,15,381,676,2,939
HT4BTJT00030,compute-europe-west,1959,43,926,9,4,967
HT4BTJT00030,compute-europe-west,1755,20,739,44,2,943
HT4BTJT00030,compute-europe-west,2528,14,1074,483,2,952
HT4BTJT00030,compute-europe-west,2892,115,1084,756,1,931
HT4BTJT00030,compute-europe-west,3803,54,1508,1314,2,923
HT4BTJT00030,compute-europe-west,5525,19,2167,2345,3,941
HT4BTJT00030,compute-europe-west,4399,18,1461,1983,2,929
HT4BTJT00030,compute-europe-west,5906,29,1909,3029,2,939
HT4BTJT00030,compute-europe-west,6552,62,1663,3868,2,947
HT4BTJT00030,compute-europe-west,6000,8,596,4464,1,928
HT4BTJT00030,compute-europe-west,6177,6,557,4676,1,936
HT4BTJT00030,compute-europe-west,5913,30,478,4472,1,928
HT4BTJT00030,compute-europe-west,5242,24,679,3595,2,936
HT4BTJT00030,compute-europe-west,24362,20,22963,469,2,939
HT4BTJT00030,compute-europe-west,25259,71,23085,1141,1,949
HT4BTJT00030,compute-europe-west,49036,17,48058,13,3,942
HT4BTJT00030,compute-europe-west,38727,20,37727,17,2,948
HT4BTJT00030,compute-europe-west,53104,11,52120,14,2,955
HT4BTJT00030,compute-europe-west,20985,10,20025,5,1,941
HT4BTJT00030,compute-europe-west,27745,9,26746,14,2,948
HT4BTJT00030,compute-europe-west,42352,9,41205,184,1,946
HT4BTJT00030,compute-europe-west,20336,12,18917,482,2,919
HT4BTJT00030,compute-europe-west,38620,11,37652,18,2,937
HT4BTJT00030,compute-europe-west,28527,13,27581,6,1,928
HT4BTJT00030,compute-europe-west,52938,14,51965,6,2,940
HT4BTJT00030,compute-europe-west,43786,11,42805,12,2,953
HT4BTJT00030,compute-europe-west,28444,12,26735,773,2,919
HT4BTJT00030,compute-europe-west,54877,37,53867,6,2,960
HT4BTJT00030,compute-europe-west,57321,24,55650,684,2,951
HT4BTJT00030,compute-europe-west,59589,17,56788,1821,2,955
HT4BTJT00030,compute-europe-west,44485,21,43531,5,1,924
HT4BTJT00030,compute-europe-west,58450,10,56745,746,2,939
HT4BTJT00030,compute-europe-west,51403,6,50196,270,2,923
HT4BTJT00030,compute-europe-west,60807,11,59844,14,2,935
HT4BTJT00030,compute-europe-west,51158,20,49177,1035,1,923
HT4BTJT00030,compute-europe-west,48145,8,47200,5,2,929
HT4BTJT00030,compute-europe-west,61926,17,59289,1677,2,937
HT4BTJT00030,compute-europe-west,12551,10,11625,4,0,910
HT4BTJT00030,compute-europe-west,49369,15,46432,1993,2,924
HT4BTJT00030,compute-europe-west,47182,11,44324,1916,2,918
HT4BTJT00030,HT4BTJT00030,19179,7,101,9602,11,9485
HT4BTJT00030,HT4BTJT00030,28273,21,138,18495,4,9632
HT4BTJT00030,HT4BTJT00030,35874,9,95,25855,20,9931
HT4BTJT00030,HT4BTJT00030,46300,12,95,34950,30,11243
HT4BTJT00030,HT4BTJT00030,56200,13,86,45598,19,10519
HT4BTJT00030,HT4BTJT00030,65195,7,126,55023,26,10044
HT4BTJT00030,compute-europe-west,59540,8,55163,3424,2,931
HT4BTJT00030,compute-europe-west,67552,14,64776,1827,2,934
HT4BTJT00030,compute-europe-west,68900,23,65470,2469,2,936
HT4BTJT00030,compute-europe-west,32576,17,31640,3,1,901
HT4BTJT00030,compute-europe-west,68751,17,64603,3179,2,936
HT4BTJT00030,compute-europe-west,50939,55,47767,2199,1,928
HT4BTJT00030,compute-europe-west,64367,26,62182,1215,2,942
HT4BTJT00030,compute-europe-west,54097,11,49827,3329,1,929
HT4BTJT00030,compute-europe-west,45415,31,43227,1232,1,922
HT4BTJT00030,HT4BTJT00030,70436,54,135,59367,30,10873
HT4BTJT00030,compute-europe-west,37064,22,34241,1877,1,924
HT4BTJT00030,compute-europe-west,58851,11,55673,2246,1,934
HT4BTJT00030,compute-europe-west,41914,25,39039,1927,1,920
HT4BTJT00030,compute-europe-west,60082,20,55686,3430,2,942
HT4BTJT00030,compute-europe-west,61220,27,55005,5216,2,974
HT4BTJT00030,HT4BTJT00030,70453,14,130,60645,29,9667
HT4BTJT00030,compute-europe-west,40150,12,36194,3009,1,931
HT4BTJT00030,compute-europe-west,39949,11,35349,3660,2,920
HT4BTJT00030,compute-europe-west,30823,7,29902,5,1,911
HT4BTJT00030,compute-europe-west,40547,7,35072,4537,1,924
HT4BTJT00030,compute-europe-west,26402,46,25209,223,1,921
HT4BTJT00030,compute-europe-west,54840,12,49357,4521,2,948
HT4BTJT00030,compute-europe-west,30702,18,29022,746,2,913
HT4BTJT00030,HT4BTJT00030,73312,11,106,63124,27,10081
HT4BTJT00030,HT4BTJT00030,84978,12,94,72949,22,11935
HT4BTJT00030,HT4BTJT00030,96585,8,107,84771,31,11702
HT4BTJT00030,HT4BTJT00030,107652,11,86,95906,24,11650
HT4BTJT00030,HT4BTJT00030,115488,6,96,106075,22,9299
HT4BTJT00030,HT4BTJT00030,120969,36,186,111443,52,9272
HT4BTJT00030,compute-europe-west,25430,7,21448,3053,1,920
HT4BTJT00030,compute-europe-west,36737,7,35358,445,2,921
HT4BTJT00030,compute-europe-west,34609,12,33658,13,1,917
HT4BTJT00030,HT4BTJT00030,126824,15,132,117359,28,9324
HT4BTJT00030,HT4BTJT00030,134405,17,172,124929,29,9289
HT4BTJT00030,HT4BTJT00030,143703,22,167,134168,31,9341
HT4BTJT00030,compute-europe-west,23343,14,19060,3350,1,916
HT4BTJT00030,compute-europe-west,36996,54,31984,4031,1,926
HT4BTJT00030,compute-europe-west,29243,24,28086,215,1,915
HT4BTJT00030,compute-europe-west,36426,10,30555,4927,1,931
HT4BTJT00030,compute-europe-west,43857,26,42851,16,1,961
HT4BTJT00030,compute-europe-west,89330,13,71502,16873,2,999
HT4BTJT00030,compute-europe-west,77645,19,67255,9432,2,937
HT4BTJT00030,compute-europe-west,37117,91,34737,1340,2,944
HT4BTJT00030,compute-europe-west,63269,44,61961,327,2,935
HT4BTJT00030,compute-europe-west,36033,38,34289,751,1,950
HT4BTJT00030,compute-europe-west,67769,13,64901,1924,2,935
HT4BTJT00030,compute-europe-west,68671,16,64988,2628,2,977
HT4BTJT00030,compute-europe-west,41182,13,39987,216,1,963
HT4BTJT00030,compute-europe-west,37798,20,36792,5,1,976
HT4BTJT00030,compute-europe-west,69761,13,63187,5618,2,939
HT4BTJT00030,compute-europe-west,56647,9,55702,5,1,928
HT4BTJT00030,compute-europe-west,57396,11,56168,293,2,919
HT4BTJT00030,compute-europe-west,63366,16,60697,1693,2,951
HT4BTJT00030,compute-europe-west,34343,9,31375,2005,1,949
HT4BTJT00030,compute-europe-west,71522,20,61832,8733,2,934
HT4BTJT00030,compute-europe-west,70978,20,58111,11896,1,949
HT4BTJT00030,compute-europe-west,71641,13,57963,12719,1,941
HT4BTJT00030,compute-europe-west,54615,25,52926,725,2,934
HT4BTJT00030,compute-europe-west,74872,13,56066,17839,2,993
HT4BTJT00030,compute-europe-west,71593,8,55275,15354,2,974
HT4BTJT00030,compute-europe-west,47653,13,46718,5,1,913
HT4BTJT00030,compute-europe-west,77819,13,54563,22349,2,930
HT4BTJT00030,compute-europe-west,54133,15,50158,3020,2,933
HT4BTJT00030,compute-europe-west,48265,20,46603,724,1,915
HT4BTJT00030,compute-europe-west,74652,15,53931,19695,2,983
HT4BTJT00030,compute-europe-west,57567,10,50259,6365,2,930
HT4BTJT00030,compute-europe-west,95578,6,64460,30067,3,957
HT4BTJT00030,compute-europe-west,47820,19,45880,997,1,914
HT4BTJT00030,compute-europe-west,77000,18,51370,24620,3,924
HT4BTJT00030,compute-europe-west,73541,9,49633,22939,2,931
HT4BTJT00030,compute-europe-west,75645,13,48337,26369,2,937
HT4BTJT00030,compute-europe-west,54560,19,43570,10046,2,920
HT4BTJT00030,compute-europe-west,46977,16,42050,3933,1,932
HT4BTJT00030,compute-europe-west,73071,45,45564,26533,2,927
HT4BTJT00030,compute-europe-west,49347,30,40532,7868,1,919
HT4BTJT00030,compute-europe-west,53931,14,40005,13061,2,923
HT4BTJT00030,compute-europe-west,66152,6,41418,23772,1,923
HT4BTJT00030,compute-europe-west,62043,12,40461,20656,1,906
HT4BTJT00030,compute-europe-west,44639,19,36554,7158,2,903
HT4BTJT00030,compute-europe-west,73376,8,47256,25166,2,947
HT4BTJT00030,compute-europe-west,54073,13,38515,14650,1,933
HT4BTJT00030,compute-europe-west,58477,21,38674,18806,1,988
HT4BTJT00030,compute-europe-west,45296,12,33646,10723,1,911
HT4BTJT00030,compute-europe-west,71058,9,43800,26235,2,951
HT4BTJT00030,compute-europe-west,44435,13,32384,11120,2,913
HT4BTJT00030,compute-europe-west,80260,12,45159,34144,2,937
HT4BTJT00030,compute-europe-west,62317,60,36130,25183,1,939
HT4BTJT00030,compute-europe-west,67959,44,39098,27825,2,933
HT4BTJT00030,compute-europe-west,68755,14,39534,28234,2,933
HT4BTJT00030,HT4BTJT00030,104996,7,160,95537,40,9271
HT4BTJT00030,compute-europe-west,55932,5,30500,24468,2,934
HT4BTJT00030,compute-europe-west,50853,12,24389,25474,2,918
HT4BTJT00030,compute-europe-west,44226,25,21879,21456,1,905
HT4BTJT00030,HT4BTJT00030,105188,29,141,95725,11,9284
HT4BTJT00030,compute-europe-west,59302,26,29492,28822,2,922
HT4BTJT00030,compute-europe-west,32861,18,18159,13815,1,911
HT4BTJT00030,HT4BTJT00030,114191,15,150,104744,6,9316
HT4BTJT00030,HT4BTJT00030,123583,6,160,113859,8,9572
HT4BTJT00030,compute-europe-west,19949,8,14214,4830,1,896
HT4BTJT00030,compute-europe-west,57636,15,27362,29303,2,935
HT4BTJT00030,compute-europe-west,61177,24,27162,33018,2,937
HT4BTJT00030,compute-europe-west,57847,8,26552,30351,2,932
HT4BTJT00030,compute-europe-west,58715,10,25622,32093,2,936
HT4BTJT00030,compute-europe-west,58590,13,23852,33766,2,931
HT4BTJT00030,compute-europe-west,58309,14,23627,33651,2,939
HT4BTJT00030,compute-europe-west,37576,32,10712,25870,1,921
