ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4APJT01039,HT4APJT01039,8588,9,140,23,9,8445
HT4BVJT00189,HT4BVJT00189,8850,20,49,21,5,8758
HT4BTJT00078,HT4BTJT00078,9036,10,113,16,4,8920
HT4BTJT00078,compute-europe-west,5459,16,4282,7,3,1145
HT4BTJT00127,HT4BTJT00127,9046,12,141,19,6,8906
HT4BTJT00078,compute-europe-west,4277,15,3284,5,2,979
HT4APJT01039,HT4APJT01039,8830,7,123,89,24,8609
HT4APJT01039,HT4APJT01039,17660,22,124,8659,8,8888
HT4BVJT00189,HT4BVJT00189,10045,20,94,917,3,9010
HT4BTJT00078,compute-europe-west,4076,12,3056,55,2,946
HT4BTJT00078,compute-europe-west,4308,8,3186,103,2,951
HT4APJT01039,HT4APJT01039,24050,16,198,15240,12,8573
HT4BTJT00127,HT4BTJT00127,12423,18,169,3366,6,8876
HT4BVJT00189,HT4BVJT00189,17397,25,175,7988,8,9244
HT4BTJT00127,HT4BTJT00127,21038,8,98,11760,5,9209
HT4BTJT00127,HT4BTJT00127,28634,18,183,19607,22,8830
HT4BTJT00078,compute-europe-west,1844,10,846,11,2,963
HT4APJT01039,compute-europe-west,10252,11,8650,638,2,948
HT4BTJT00127,compute-europe-west,1907,15,863,14,2,953
HT4APJT01039,compute-europe-west,8102,13,7113,5,1,948
HT4BTJT00078,compute-europe-west,1799,14,719,11,1,942
HT4BTJT00127,compute-europe-west,6534,10,5557,10,2,951
HT4BVJT00189,HT4BVJT00189,13041,26,166,3251,16,9608
HT4BVJT00189,HT4BVJT00189,21770,19,89,12155,7,9528
HT4BVJT00189,HT4BVJT00189,30513,28,124,20967,6,9420
HT4APJT01039,HT4APJT01039,16450,8,124,7686,11,8656
HT4BTJT00127,compute-europe-west,3275,8,2322,10,2,927
HT4BVJT00189,HT4BVJT00189,38061,7,76,28683,14,9320
HT4BTJT00127,compute-europe-west,3374,18,2305,99,2,944
HT4BVJT00189,HT4BVJT00189,45751,27,125,36194,5,9436
HT4BTJT00078,compute-europe-west,1577,13,591,13,2,954
HT4BTJT00078,compute-europe-west,1623,11,479,114,3,952
HT4BVJT00189,compute-europe-west,1775,21,794,10,1,932
HT4BTJT00078,compute-europe-west,2119,16,569,550,2,928
HT4BTJT00127,compute-europe-west,4681,53,3283,315,2,942
HT4BVJT00189,compute-europe-west,3585,18,741,1861,3,958
HT4BTJT00078,compute-europe-west,2429,12,353,1077,1,932
HT4BVJT00189,compute-europe-west,1766,11,807,5,1,932
HT4BTJT00078,compute-europe-west,1707,25,637,13,1,946
HT4BTJT00078,compute-europe-west,1857,13,266,578,1,927
HT4BVJT00189,compute-europe-west,2217,9,1001,231,1,938
HT4BTJT00078,compute-europe-west,1498,11,506,5,1,932
HT4BVJT00189,compute-europe-west,2326,28,1264,11,2,943
HT4BTJT00078,compute-europe-west,3197,11,2232,10,2,939
HT4BVJT00189,compute-europe-west,3256,29,2041,224,2,951
HT4APJT01039,HT4APJT01039,8637,13,149,23,6,8484
HT4APJT01039,HT4APJT01039,15273,10,131,6151,12,8969
HT4BTJT00127,compute-europe-west,1788,12,818,11,1,929
HT4BTJT00078,compute-europe-west,1864,17,919,4,1,918
HT4BTJT00127,compute-europe-west,2204,13,1068,191,1,923
HT4BTJT00127,compute-europe-west,11444,11,9714,786,1,930
HT4BTJT00127,compute-europe-west,15198,10,12208,1962,1,944
HT4BTJT00127,compute-europe-west,12049,33,10425,657,2,930
HT4BTJT00078,compute-europe-west,1892,12,759,5,2,927
HT4APJT01039,compute-europe-west,1755,7,785,14,2,937
HT4BTJT00078,compute-europe-west,1510,14,540,4,1,931
HT4BTJT00127,compute-europe-west,12641,9,7871,3771,1,939
HT4APJT01039,HT4APJT01039,12405,7,115,5560,15,6736
HT4BTJT00127,compute-europe-west,10182,35,6995,2164,2,924
HT4APJT01039,compute-europe-west,1521,7,539,5,1,941
HT4BVJT00189,compute-europe-west,2029,25,986,17,1,935
HT4BTJT00127,compute-europe-west,9682,25,4577,4105,2,945
HT4APJT01039,compute-europe-west,3131,13,595,1579,1,936
HT4BVJT00189,compute-europe-west,2845,11,629,1151,2,951
HT4BTJT00078,compute-europe-west,4572,13,593,2965,1,925
HT4BTJT00078,compute-europe-west,6013,13,491,4566,2,932
HT4BTJT00078,compute-europe-west,1705,14,688,10,2,939
HT4BTJT00127,compute-europe-west,1790,47,696,5,1,917
HT4BTJT00127,compute-europe-west,2136,41,412,743,2,920
HT4BTJT00078,compute-europe-west,2318,21,562,795,1,921
HT4BTJT00127,compute-europe-west,1819,9,767,13,2,956
HT4BVJT00189,HT4BVJT00189,8984,10,88,12,5,8898
HT4BTJT00078,compute-europe-west,2008,25,916,6,2,941
HT4BTJT00078,compute-europe-west,2887,41,979,835,1,938
HT4APJT01039,compute-europe-west,4438,14,1016,2449,1,950
HT4APJT01039,compute-europe-west,3387,7,826,1645,1,926
HT4APJT01039,compute-europe-west,3198,9,2229,10,1,937
HT4BVJT00189,HT4BVJT00189,10444,17,96,965,5,9391
HT4APJT01039,compute-europe-west,3757,7,1826,891,2,948
HT4BTJT00127,compute-europe-west,1458,13,511,4,1,919
HT4BVJT00189,HT4BVJT00189,16850,14,98,7154,6,9613
HT4BTJT00127,compute-europe-west,1621,9,640,14,2,941
HT4APJT01039,compute-europe-west,1687,7,697,4,1,937
HT4BTJT00078,compute-europe-west,1699,7,659,14,2,943
HT4BVJT00189,compute-europe-west,4447,18,2690,687,3,957
HT4APJT01039,compute-europe-west,2422,8,1427,11,2,948
HT4BTJT00127,compute-europe-west,2740,9,702,1083,1,936
HT4BTJT00127,compute-europe-west,1661,14,672,5,1,930
HT4APJT01039,compute-europe-west,2368,13,1394,27,1,925
HT4APJT01039,compute-europe-west,2354,17,1414,5,1,923
HT4BVJT00189,compute-europe-west,3046,19,1394,576,2,939
HT4BTJT00078,compute-europe-west,1717,26,501,239,1,911
HT4APJT01039,compute-europe-west,2860,6,1274,618,2,926
HT4BVJT00189,HT4BVJT00189,12685,12,161,2421,7,10113
HT4APJT01039,compute-europe-west,2433,8,1384,11,1,1004
HT4BVJT00189,compute-europe-west,3743,32,1198,1528,2,984
HT4BVJT00189,compute-europe-west,4700,62,1207,2471,1,967
HT4BTJT00127,compute-europe-west,2541,9,789,667,2,978
HT4BVJT00189,compute-europe-west,4560,28,471,3050,2,1010
HT4BVJT00189,compute-europe-west,4656,7,382,3291,1,977
HT4APJT01039,compute-europe-west,4985,10,869,3036,2,947
HT4BTJT00127,HT4BTJT00127,8836,14,105,15,7,8721
HT4BVJT00189,compute-europe-west,7055,20,5080,918,1,953
HT4BVJT00189,compute-europe-west,6292,18,4303,976,2,944
HT4BTJT00127,HT4BTJT00127,15474,22,223,6420,6,8853
HT4APJT01039,HT4APJT01039,8418,44,79,15,4,8309
HT4BTJT00127,HT4BTJT00127,23350,7,98,13610,9,9664
HT4BTJT00127,compute-europe-west,1521,19,554,5,1,936
HT4BVJT00189,compute-europe-west,3694,29,2055,569,2,967
HT4BTJT00127,compute-europe-west,1512,12,560,5,1,920
HT4BTJT00078,compute-europe-west,1969,11,589,431,2,932
HT4BTJT00127,compute-europe-west,2163,9,672,505,2,964
HT4BTJT00078,HT4BTJT00078,8604,11,114,21,8,8487
HT4BVJT00189,compute-europe-west,3438,21,2463,10,1,939
HT4APJT01039,compute-europe-west,1416,13,421,3,1,914
HT4BTJT00127,compute-europe-west,4026,25,2138,929,2,931
HT4BTJT00127,compute-europe-west,4885,46,2059,1820,2,924
HT4BTJT00127,compute-europe-west,2941,21,1938,5,1,929
HT4BVJT00189,compute-europe-west,3249,10,723,1548,1,921
HT4BTJT00127,compute-europe-west,3228,7,829,1473,2,912
HT4BTJT00127,compute-europe-west,4076,11,959,2166,1,924
HT4APJT01039,compute-europe-west,4552,7,550,3030,1,916
HT4APJT01039,compute-europe-west,1587,9,594,11,2,948
HT4BTJT00127,compute-europe-west,2008,7,553,4,1,924
HT4BVJT00189,compute-europe-west,1651,8,647,5,1,933
HT4BTJT00078,HT4BTJT00078,8604,10,100,20,7,8505
