ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4APJT01039,HT4APJT01039,8756,15,49,16,3,8676
HT4BTJT00030,HT4BTJT00030,8795,34,61,19,3,8685
HT4AVJT02309,compute-europe-west,829,29,139,3,0,585
HT4CWJT00250,compute-europe-west,997,67,274,3,0,588
HT4CWJT00250,compute-europe-west,1834,24,687,546,1,572
HT4BVJT00189,compute-europe-west,1197,66,504,3,0,568
HT4BVJT00003,compute-europe-west,1320,17,315,424,1,563
HT4CWJT00250,compute-europe-west,1871,67,1065,168,1,559
HT4CWJT00250,compute-europe-west,1980,50,1252,101,0,573
HT4BTJT00030,compute-europe-west,1321,11,183,401,0,574
HT4BVJT00189,compute-europe-west,1722,31,281,830,1,575
HT4BTJT00030,compute-europe-west,1165,8,216,369,1,570
HT4BTJT00030,compute-europe-west,1370,8,140,648,0,572
HT4APJT01039,compute-europe-west,1947,39,229,1103,0,572
HT4APJT01039,compute-europe-west,2447,52,200,1628,0,562
HT4CWJT00250,compute-europe-west,3277,52,859,1774,1,575
HT4AVJT02309,compute-europe-west,2322,25,229,1511,1,556
HT4APJT01039,compute-europe-west,1927,14,219,1097,1,577
HT4AVJT02309,compute-europe-west,2119,104,186,1201,0,562
HT4BVJT00189,compute-europe-west,2138,31,320,1198,1,584
HT4APJT01039,compute-europe-west,2433,56,140,1521,0,573
HT4BVJT00189,compute-europe-west,2813,25,145,1991,0,577
HT4BVJT00003,compute-europe-west,860,25,263,3,0,563
HT4BVJT00003,compute-europe-west,786,29,173,3,0,559
HT4BVJT00003,compute-europe-west,871,20,222,4,0,610
HT4BTJT00030,compute-europe-west,1169,27,450,3,1,580
HT4BVJT00189,compute-europe-west,900,13,271,3,0,583
HT4APJT01039,compute-europe-west,876,48,258,3,0,562
HT4BTJT00030,compute-europe-west,1102,50,234,172,1,542
HT4BTJT00030,compute-europe-west,1212,35,194,428,1,553
HT4BVJT00003,compute-europe-west,1713,24,266,863,1,555
HT4CWJT00250,compute-europe-west,1124,14,262,294,0,552
HT4CWJT00250,compute-europe-west,867,12,179,2,0,575
HT4AVJT02309,compute-europe-west,903,20,270,2,0,567
HT4AVJT02309,compute-europe-west,887,25,267,3,0,593
HT4CWJT00250,compute-europe-west,1373,29,353,388,0,598
HT4BVJT00003,compute-europe-west,771,28,179,2,0,557
HT4AVJT02309,compute-europe-west,1881,25,316,967,0,566
HT4AVJT02309,compute-europe-west,2301,24,186,1529,0,561
HT4CWJT00250,compute-europe-west,1741,27,140,1013,0,553
HT4BVJT00189,compute-europe-west,2446,64,278,1539,0,556
HT4BTJT00030,compute-europe-west,1886,75,285,965,0,557
HT4BTJT00030,compute-europe-west,2362,30,344,1390,1,552
HT4AVJT02309,compute-europe-west,2722,41,136,1884,0,546
HT4BVJT00189,compute-europe-west,3107,43,226,2262,0,575
HT4BVJT00189,compute-europe-west,3744,54,323,2705,0,570
HT4BTJT00030,compute-europe-west,3940,64,170,3121,0,584
HT4BVJT00189,compute-europe-west,1870,26,231,1033,1,576
HT4BVJT00003,compute-europe-west,2107,25,217,1285,0,572
HT4CWJT00250,compute-europe-west,1958,77,183,1087,1,561
HT4BVJT00003,compute-europe-west,2080,29,137,1344,1,566
HT4CWJT00250,compute-europe-west,2302,63,313,1316,0,578
HT4AVJT02309,compute-europe-west,2516,20,221,1703,0,567
HT4BTJT00030,compute-europe-west,1918,54,276,992,1,569
HT4BTJT00030,compute-europe-west,2233,17,366,1284,0,563
HT4AVJT02309,compute-europe-west,1653,27,265,774,0,580
