ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,8899,18,134,12,2,8771
HT4BVJT00012,HT4BVJT00012,8415,10,24,14,4,8361
HT4BTJT00078,HT4BTJT00078,8558,52,56,24,3,8429
HT4CWJT00250,HT4CWJT00250,8691,26,90,13,3,8598
HT4AVJT02309,compute-europe-west,3201,28,2453,4,1,706
HT4BVJT00012,HT4BVJT00012,14774,11,56,6229,3,8491
HT4BTJT00127,HT4BTJT00127,8982,21,99,13,2,8883
HT4BVJT00003,compute-europe-west,2991,12,1675,597,1,700
HT4BVJT00003,compute-europe-west,4080,21,3011,237,3,707
HT4BTJT00127,compute-europe-west,2175,32,503,909,1,688
HT4APJT01039,compute-europe-west,2990,21,1716,592,1,656
HT4CWJT00980,compute-europe-west,2642,34,1276,657,1,646
HT4CWJT00250,compute-europe-west,1857,9,390,799,0,650
HT4APJT01039,compute-europe-west,4187,14,1929,1474,1,650
HT4CWJT00250,compute-europe-west,1525,8,324,487,1,670
HT4CWJT00250,compute-europe-west,1806,8,139,978,0,666
HT4BTJT00078,compute-europe-west,6087,18,2277,3088,1,635
HT4BVJT00012,compute-europe-west,4076,17,1331,2039,1,643
HT4BTJT00078,compute-europe-west,6631,12,2810,3134,1,634
HT4BTJT00127,compute-europe-west,1999,13,335,988,0,659
HT4AVJT02309,compute-europe-west,2837,40,556,1508,0,646
HT4BTJT00127,compute-europe-west,3670,19,431,2445,2,653
HT4BTJT00127,compute-europe-west,3403,16,207,2522,1,641
HT4BTJT00078,compute-europe-west,7704,38,1509,5404,0,640
HT4CWJT00980,compute-europe-west,4936,44,777,3479,0,637
HT4AVJT02309,compute-europe-west,5396,54,513,4092,0,651
HT4CWJT00980,compute-europe-west,6553,18,743,4876,0,643
HT4APJT01039,compute-europe-west,5343,18,418,4263,0,636
HT4BTJT00078,compute-europe-west,7728,19,1357,5660,1,637
HT4APJT01039,compute-europe-west,6683,14,318,5633,1,640
HT4CWJT00980,HT4CWJT00980,9668,26,170,11,4,9493
HT4BTJT00127,compute-europe-west,5173,36,481,3995,1,649
HT4CWJT00980,HT4CWJT00980,15245,23,69,5413,6,9735
HT4BTJT00127,compute-europe-west,3392,25,1462,1256,1,646
HT4CWJT00250,compute-europe-west,1971,21,496,811,0,637
HT4BVJT00003,compute-europe-west,2791,39,391,1720,0,640
HT4APJT01039,compute-europe-west,2310,17,1637,3,1,642
HT4BTJT00078,compute-europe-west,2777,36,1597,400,0,646
HT4BVJT00003,compute-europe-west,4072,10,3413,3,1,640
HT4CWJT00250,compute-europe-west,3116,31,1701,742,1,637
HT4CWJT00250,compute-europe-west,4925,22,3784,439,2,633
HT4CWJT00980,compute-europe-west,4096,46,2968,171,0,649
HT4BVJT00003,compute-europe-west,3790,34,1877,1044,1,637
HT4AVJT02309,compute-europe-west,1901,24,441,793,1,639
HT4AVJT02309,compute-europe-west,2280,40,354,1218,1,643
HT4AVJT02309,compute-europe-west,2267,41,255,1332,0,643
HT4CWJT00980,compute-europe-west,7158,31,3236,2941,1,682
HT4APJT01039,compute-europe-west,1468,25,423,255,1,644
HT4AVJT02309,compute-europe-west,1838,50,448,701,0,640
HT4CWJT00980,compute-europe-west,6787,15,2601,3486,0,678
HT4CWJT00250,HT4CWJT00250,8775,42,43,20,3,8674
HT4CWJT00250,HT4CWJT00250,17234,14,84,8671,4,8446
HT4BVJT00003,HT4BVJT00003,8675,26,63,13,3,8607
HT4BVJT00003,compute-europe-west,2393,52,816,848,0,639
HT4CWJT00250,compute-europe-west,1762,9,694,357,1,637
HT4BVJT00012,compute-europe-west,3961,27,822,2401,1,655
HT4APJT01039,compute-europe-west,3021,15,608,1766,0,639
HT4APJT01039,compute-europe-west,2403,53,554,1144,1,631
HT4AVJT02309,compute-europe-west,3944,26,456,2813,0,650
HT4CWJT00250,compute-europe-west,4243,18,396,3175,0,646
HT4BTJT00127,compute-europe-west,4894,18,633,3577,0,652
HT4APJT01039,compute-europe-west,4136,17,374,3097,1,636
HT4BTJT00127,compute-europe-west,4612,18,268,3672,0,648
HT4CWJT00250,compute-europe-west,5012,9,466,3850,1,643
HT4BVJT00003,compute-europe-west,5125,14,648,3799,0,648
HT4BVJT00012,compute-europe-west,5200,17,532,3926,0,634
