ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00250,HT4CWJT00250,9083,8,112,11,2,8986
HT4CWJT00250,compute-europe-west,1563,14,779,4,1,694
HT4CWJT00250,HT4CWJT00250,17273,10,82,7806,3,9374
HT4CWJT00250,HT4CWJT00250,24978,5,19,15500,4,9449
HT4CWJT00250,HT4CWJT00250,33819,13,65,24830,2,8947
HT4CWJT00250,HT4CWJT00250,43072,19,22,33695,2,9336
HT4CWJT00250,HT4CWJT00250,51928,6,50,42826,5,9078
HT4CWJT00250,HT4CWJT00250,60557,10,29,51604,5,8912
HT4CWJT00250,compute-europe-west,1718,7,1008,3,1,687
HT4CWJT00250,compute-europe-west,6761,6,5462,607,1,682
HT4CWJT00250,compute-europe-west,6975,6,5244,1048,1,669
HT4CWJT00250,compute-europe-west,4474,16,3745,3,1,696
HT4CWJT00250,compute-europe-west,4764,8,3865,180,1,706
HT4CWJT00250,compute-europe-west,7742,9,4533,2545,1,662
HT4CWJT00250,compute-europe-west,4533,7,2469,1402,1,649
HT4CWJT00250,compute-europe-west,4814,6,2183,1969,0,654
HT4CWJT00250,compute-europe-west,4115,9,893,2552,1,659
HT4CWJT00250,compute-europe-west,3713,17,379,2645,0,663
HT4CWJT00250,compute-europe-west,3972,6,536,2759,0,670
HT4CWJT00250,compute-europe-west,3879,10,734,2471,1,660
HT4CWJT00250,compute-europe-west,3608,10,496,2452,1,653
HT4CWJT00250,compute-europe-west,4137,18,1038,2426,1,652
HT4CWJT00250,compute-europe-west,6979,6,2850,3462,1,657
HT4CWJT00250,compute-europe-west,4350,43,1807,1847,0,646
HT4CWJT00250,compute-europe-west,5518,7,2534,2310,0,655
HT4CWJT00250,compute-europe-west,4732,6,2332,1740,1,653
HT4CWJT00250,compute-europe-west,7079,11,2486,3927,0,653
HT4CWJT00250,compute-europe-west,5540,6,2065,2803,1,662
HT4CWJT00250,compute-europe-west,6381,5,1187,4537,1,648
HT4CWJT00250,compute-europe-west,6472,6,886,4915,0,664
HT4CWJT00250,compute-europe-west,6230,8,379,5191,1,649
HT4CWJT00250,compute-europe-west,5695,4,571,4463,1,655
HT4CWJT00250,compute-europe-west,5218,40,790,3739,1,650
HT4CWJT00250,compute-europe-west,7149,43,1298,5151,0,654
HT4CWJT00250,compute-europe-west,5607,17,774,4166,1,648
