ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,8887,8,45,5,2,8864
HT4BTJT00078,HT4BTJT00078,17074,9,43,7995,4,9026
HT4BTJT00078,HT4BTJT00078,25907,9,46,16686,0,9166
HT4BTJT00078,HT4BTJT00078,33365,20,9,24217,2,9114
HT4BTJT00078,HT4BTJT00078,42822,8,10,33237,4,9566
HT4BTJT00078,HT4BTJT00078,52676,6,47,42681,2,9942
HT4BTJT00078,HT4BTJT00078,62432,6,9,52571,4,9843
HT4BTJT00078,compute-europe-west,717,6,125,3,0,579
HT4BTJT00078,compute-europe-west,816,7,205,3,1,586
HT4BTJT00078,compute-europe-west,1185,6,135,452,1,583
HT4BTJT00078,compute-europe-west,1746,11,118,960,0,594
HT4BTJT00078,compute-europe-west,1864,6,137,1120,0,583
HT4BTJT00078,compute-europe-west,2078,8,126,1368,1,574
HT4BTJT00078,compute-europe-west,820,5,164,3,0,587
HT4BTJT00078,compute-europe-west,1066,4,168,219,0,580
HT4BTJT00078,compute-europe-west,900,12,207,3,0,583
HT4BTJT00078,compute-europe-west,928,6,253,3,1,611
HT4BTJT00078,compute-europe-west,1055,14,106,330,0,597
HT4BTJT00078,compute-europe-west,996,5,210,101,1,580
HT4BTJT00078,compute-europe-west,784,5,171,3,0,598
HT4BTJT00078,compute-europe-west,1387,8,166,561,0,581
HT4BTJT00078,compute-europe-west,1431,5,134,706,1,581
HT4BTJT00078,compute-europe-west,831,7,164,86,1,566
HT4BTJT00078,compute-europe-west,1282,11,85,586,0,593
HT4BTJT00078,compute-europe-west,1753,6,169,992,0,579
HT4BTJT00078,compute-europe-west,2044,7,87,1366,1,576
HT4BTJT00078,compute-europe-west,2081,7,167,1317,0,588
HT4BTJT00078,compute-europe-west,1553,6,250,705,1,590
HT4BTJT00078,compute-europe-west,1256,5,165,493,1,587
HT4BTJT00078,compute-europe-west,951,10,294,3,0,608
HT4BTJT00078,compute-europe-west,852,17,254,2,1,575
HT4BTJT00078,compute-europe-west,1381,19,225,535,0,587
HT4BTJT00078,compute-europe-west,1705,8,96,1029,1,575
HT4BTJT00078,compute-europe-west,2262,10,83,1559,0,586
