ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00250,HT4CWJT00250,8727,17,15,11,2,8677
HT4AVJT02309,compute-europe-west,844,39,187,3,0,594
HT4APJT01039,compute-europe-west,1040,22,411,3,0,598
HT4APJT01039,compute-europe-west,1150,19,447,3,0,578
HT4APJT01039,compute-europe-west,1182,53,527,3,1,585
HT4BVJT00003,compute-europe-west,1418,21,307,435,1,576
HT4APJT01039,compute-europe-west,1980,20,540,733,0,593
HT4APJT01039,compute-europe-west,2059,15,460,986,1,590
HT4CWJT00250,compute-europe-west,878,17,225,3,0,591
HT4CWJT00250,compute-europe-west,1487,45,185,547,0,591
HT4AVJT02309,compute-europe-west,2026,40,305,1019,1,575
HT4CWJT00250,compute-europe-west,1041,27,183,135,1,585
HT4AVJT02309,compute-europe-west,1069,58,228,204,1,577
HT4CWJT00250,compute-europe-west,935,18,136,132,0,580
HT4BVJT00003,compute-europe-west,892,30,262,2,1,591
HT4BVJT00003,compute-europe-west,804,20,137,69,1,574
HT4BVJT00003,compute-europe-west,866,28,192,3,0,595
HT4CWJT00250,compute-europe-west,951,41,224,3,0,587
HT4BVJT00003,compute-europe-west,920,62,273,2,1,581
HT4APJT01039,compute-europe-west,811,12,213,3,0,577
HT4APJT01039,compute-europe-west,824,16,166,2,1,585
HT4AVJT02309,compute-europe-west,939,24,308,3,0,597
HT4AVJT02309,compute-europe-west,932,28,305,3,0,590
HT4APJT01039,compute-europe-west,1130,20,327,179,1,594
HT4AVJT02309,compute-europe-west,2201,25,308,986,1,583
HT4BVJT00003,compute-europe-west,1226,26,182,449,0,569
HT4APJT01039,compute-europe-west,2169,18,133,1452,0,568
HT4AVJT02309,compute-europe-west,2369,16,134,1632,0,564
HT4AVJT02309,compute-europe-west,1213,23,140,410,0,559
HT4BVJT00003,compute-europe-west,1389,29,221,546,1,583
HT4APJT01039,compute-europe-west,776,14,176,2,0,577
HT4APJT01039,compute-europe-west,1815,50,297,790,1,590
HT4BVJT00003,compute-europe-west,1113,22,133,309,1,582
HT4AVJT02309,compute-europe-west,1514,20,222,691,0,578
HT4APJT01039,compute-europe-west,938,25,208,2,0,596
HT4APJT01039,compute-europe-west,1142,14,181,336,0,576
HT4AVJT02309,compute-europe-west,1547,18,269,687,1,567
HT4AVJT02309,compute-europe-west,1615,28,185,700,0,589
HT4AVJT02309,compute-europe-west,938,37,313,2,1,574
HT4BVJT00003,compute-europe-west,1308,27,575,2,1,591
HT4APJT01039,compute-europe-west,1016,19,414,2,0,588
HT4AVJT02309,compute-europe-west,1671,10,713,2,0,568
HT4CWJT00250,compute-europe-west,1059,34,764,2,1,574
HT4APJT01039,compute-europe-west,1216,16,823,3,0,589
HT4CWJT00250,compute-europe-west,1044,22,429,2,1,582
HT4APJT01039,compute-europe-west,1007,17,339,2,0,592
HT4CWJT00250,compute-europe-west,909,17,304,2,1,576
HT4CWJT00250,compute-europe-west,992,26,388,2,1,576
HT4APJT01039,compute-europe-west,2499,17,1541,257,1,590
HT4CWJT00250,compute-europe-west,1226,11,551,2,0,574
HT4APJT01039,compute-europe-west,2620,27,751,875,0,582
HT4AVJT02309,compute-europe-west,1230,35,162,456,0,578
HT4BVJT00003,compute-europe-west,2134,29,549,861,1,585
HT4CWJT00250,compute-europe-west,1082,18,345,123,0,586
HT4BVJT00003,compute-europe-west,1273,28,632,2,1,604
HT4AVJT02309,compute-europe-west,1399,33,301,490,0,575
HT4BVJT00003,compute-europe-west,1905,30,423,766,0,571
HT4APJT01039,compute-europe-west,907,59,256,3,0,582
HT4BVJT00003,compute-europe-west,935,35,301,2,1,589
HT4APJT01039,compute-europe-west,792,13,207,2,0,560
HT4AVJT02309,compute-europe-west,833,37,224,2,0,567
HT4BVJT00003,compute-europe-west,908,27,299,2,1,580
HT4APJT01039,compute-europe-west,1055,23,248,203,0,581
HT4APJT01039,compute-europe-west,1693,13,365,660,0,601
HT4BVJT00003,compute-europe-west,2136,14,219,1228,0,576
HT4CWJT00250,compute-europe-west,1939,15,347,976,1,564
HT4CWJT00250,compute-europe-west,2431,24,332,1417,1,584
HT4AVJT02309,compute-europe-west,974,20,308,2,1,591
HT4BVJT00003,compute-europe-west,1508,64,263,510,0,586
HT4CWJT00250,compute-europe-west,1868,24,179,1066,0,584
HT4CWJT00250,compute-europe-west,981,22,260,3,0,583
HT4AVJT02309,compute-europe-west,925,23,305,2,0,585
HT4CWJT00250,compute-europe-west,901,26,267,2,0,570
HT4APJT01039,compute-europe-west,994,22,171,151,0,577
HT4AVJT02309,compute-europe-west,1474,25,343,516,1,568
HT4CWJT00250,compute-europe-west,936,78,219,2,0,572
HT4BVJT00003,compute-europe-west,785,28,180,2,0,570
HT4BVJT00003,compute-europe-west,861,27,261,2,1,568
HT4CWJT00250,compute-europe-west,907,26,225,2,0,583
