ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,10736,13,59,20,4,10645
HT4BTJT00078,HT4BTJT00078,20538,8,99,9804,7,10618
HT4BTJT00078,HT4BTJT00078,30576,16,162,20123,15,10282
HT4BTJT00078,HT4BTJT00078,41338,14,137,28694,12,12487
HT4BTJT00078,HT4BTJT00078,51916,9,116,41161,7,10681
HT4BTJT00078,HT4BTJT00078,63566,6,118,51639,9,11825
HT4BTJT00078,HT4BTJT00078,74401,6,87,63310,9,11027
HT4BTJT00078,compute-europe-west,1734,6,540,7,3,1173
HT4BTJT00078,compute-europe-west,2098,9,361,698,4,989
HT4BTJT00078,compute-europe-west,2860,13,437,1459,2,944
HT4BTJT00078,compute-europe-west,3338,6,216,2181,2,920
HT4BTJT00078,compute-europe-west,3794,6,368,2495,1,923
HT4BTJT00078,compute-europe-west,4309,11,499,2868,2,939
HT4BTJT00078,compute-europe-west,4893,10,534,3418,2,928
HT4BTJT00078,compute-europe-west,3956,21,2652,335,3,933
HT4BTJT00078,compute-europe-west,4520,7,3594,6,1,920
HT4BTJT00078,compute-europe-west,4590,10,3643,11,1,923
HT4BTJT00078,compute-europe-west,4962,9,4036,5,1,908
HT4BTJT00078,compute-europe-west,6303,20,5361,6,1,916
HT4BTJT00078,compute-europe-west,51903,14,48915,2019,4,943
HT4BTJT00078,compute-europe-west,27073,10,26122,11,2,924
HT4BTJT00078,compute-europe-west,32952,8,32003,7,2,937
HT4BTJT00078,compute-europe-west,13647,13,12718,4,1,910
HT4BTJT00078,compute-europe-west,23022,47,22041,5,1,926
HT4BTJT00078,compute-europe-west,38998,4,38052,12,2,927
HT4BTJT00078,compute-europe-west,20934,7,19999,5,1,916
HT4BTJT00078,compute-europe-west,34733,14,33314,476,2,924
HT4BTJT00078,compute-europe-west,32689,11,30928,812,2,932
HT4BTJT00078,compute-europe-west,25999,7,25046,11,1,920
HT4BTJT00078,compute-europe-west,47018,10,44953,1121,3,930
HT4BTJT00078,compute-europe-west,25428,15,23884,614,1,913
HT4BTJT00078,compute-europe-west,31657,18,30685,36,2,907
HT4BTJT00078,compute-europe-west,75553,17,73496,1074,2,962
HT4BTJT00078,compute-europe-west,41938,6,40995,12,1,923
HT4BTJT00078,compute-europe-west,73157,18,72180,17,2,936
HT4BTJT00078,compute-europe-west,66365,13,64316,1110,2,919
HT4BTJT00078,compute-europe-west,74963,10,73209,788,2,952
HT4BTJT00078,compute-europe-west,26872,9,24410,1547,2,902
HT4BTJT00078,compute-europe-west,45795,6,44859,11,1,917
HT4BTJT00078,compute-europe-west,63761,14,62343,467,2,920
HT4BTJT00078,compute-europe-west,33606,8,32681,4,2,908
HT4BTJT00078,compute-europe-west,48387,4,47454,11,1,915
HT4BTJT00078,compute-europe-west,40098,10,37903,1271,1,913
HT4BTJT00078,compute-europe-west,68760,11,67295,492,1,960
HT4BTJT00078,compute-europe-west,53324,17,52372,12,1,917
HT4BTJT00078,compute-europe-west,36562,6,35012,628,2,912
HT4BTJT00078,compute-europe-west,72907,10,70882,1068,1,943
HT4BTJT00078,compute-europe-west,76497,9,73193,2370,2,929
HT4BTJT00078,compute-europe-west,76603,6,73123,2519,2,939
HT4BTJT00078,compute-europe-west,28998,15,28074,4,1,907
HT4BTJT00078,compute-europe-west,72698,13,69316,2441,2,925
HT4BTJT00078,compute-europe-west,57952,6,57017,11,1,914
HT4BTJT00078,compute-europe-west,77298,8,74089,2276,1,923
HT4BTJT00078,compute-europe-west,59965,10,59019,12,2,920
HT4BTJT00078,compute-europe-west,52911,6,51967,9,2,926
HT4BTJT00078,compute-europe-west,80467,9,79514,11,2,926
HT4BTJT00078,compute-europe-west,11325,9,10414,4,0,896
HT4BTJT00078,compute-europe-west,63155,8,61578,629,2,935
HT4BTJT00078,compute-europe-west,61228,16,58785,1470,2,953
HT4BTJT00078,compute-europe-west,71724,10,69432,1356,2,925
HT4BTJT00078,compute-europe-west,69465,13,65567,2972,1,911
HT4BTJT00078,compute-europe-west,63098,15,59853,2308,1,914
HT4BTJT00078,HT4BTJT00078,51583,15,141,38484,14,12951
HT4BTJT00078,compute-europe-west,61052,16,58623,1502,1,907
HT4BTJT00078,HT4BTJT00078,65109,17,177,50117,24,14788
HT4BTJT00078,HT4BTJT00078,79193,8,195,64339,21,14648
HT4BTJT00078,HT4BTJT00078,93464,7,244,78908,38,14295
HT4BTJT00078,HT4BTJT00078,109589,31,191,92900,36,16440
HT4BTJT00078,compute-europe-west,24329,7,23300,103,1,895
HT4BTJT00078,compute-europe-west,101416,10,95297,5201,1,922
HT4BTJT00078,compute-europe-west,71720,11,69958,830,1,918
HT4BTJT00078,compute-europe-west,93670,50,92155,529,1,922
HT4BTJT00078,compute-europe-west,80770,11,78669,1158,1,921
HT4BTJT00078,compute-europe-west,65270,12,62732,1591,2,909
HT4BTJT00078,compute-europe-west,121067,44,107344,12736,2,929
HT4BTJT00078,compute-europe-west,54331,9,52112,1305,1,903
HT4BTJT00078,compute-europe-west,98166,15,90370,6853,1,924
HT4BTJT00078,compute-europe-west,69044,24,68102,4,2,907
HT4BTJT00078,compute-europe-west,101574,7,91576,9056,2,925
HT4BTJT00078,compute-europe-west,110566,11,95693,13931,2,925
HT4BTJT00078,compute-europe-west,119247,26,105174,13117,2,928
HT4BTJT00078,compute-europe-west,67795,27,66840,4,1,921
HT4BTJT00078,compute-europe-west,69685,10,66345,2423,1,910
HT4BTJT00078,compute-europe-west,53997,12,52218,857,2,905
HT4BTJT00078,compute-europe-west,68538,19,66027,1569,2,915
HT4BTJT00078,compute-europe-west,51156,18,47610,2616,1,908
HT4BTJT00078,compute-europe-west,101767,5,88885,11935,2,930
HT4BTJT00078,compute-europe-west,55760,7,53355,1494,1,901
HT4BTJT00078,compute-europe-west,66140,10,63085,2124,1,908
HT4BTJT00078,compute-europe-west,91539,7,82084,8527,2,917
HT4BTJT00078,compute-europe-west,117185,10,102348,13886,2,933
HT4BTJT00078,compute-europe-west,91917,12,82243,8723,2,937
HT4BTJT00078,compute-europe-west,95407,60,83897,10509,2,927
HT4BTJT00078,HT4BTJT00078,104838,13,171,88647,45,15971
HT4BTJT00078,compute-europe-west,58353,54,56553,830,1,913
HT4BTJT00078,compute-europe-west,79050,15,74572,3557,1,908
HT4BTJT00078,compute-europe-west,75180,25,73112,1124,2,914
HT4BTJT00078,compute-europe-west,104568,16,89868,13757,2,925
HT4BTJT00078,compute-europe-west,106910,18,91125,14835,2,915
HT4BTJT00078,compute-europe-west,113312,7,95629,16737,2,931
HT4BTJT00078,compute-europe-west,51247,10,50331,4,1,900
HT4BTJT00078,compute-europe-west,73402,46,69362,3086,1,910
HT4BTJT00078,compute-europe-west,57786,15,56828,4,2,927
HT4BTJT00078,compute-europe-west,69727,10,67141,1662,1,913
HT4BTJT00078,compute-europe-west,86011,9,73957,11122,2,915
HT4BTJT00078,compute-europe-west,157664,13,156695,13,2,941
HT4BTJT00078,compute-europe-west,116975,22,111486,4531,2,936
HT4BTJT00078,compute-europe-west,74493,17,66843,6760,1,912
HT4BTJT00078,compute-europe-west,95582,53,81863,12748,2,914
HT4BTJT00078,compute-europe-west,71613,18,66272,4422,1,911
HT4BTJT00078,compute-europe-west,104657,44,89854,13813,2,924
HT4BTJT00078,compute-europe-west,106389,9,90295,15162,3,916
HT4BTJT00078,compute-europe-west,72211,14,65160,6118,1,916
