ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00189,HT4BVJT00189,11670,15,173,11,4,11507
HT4BVJT00189,compute-europe-west,4417,11,3179,7,3,1201
HT4BVJT00189,HT4BVJT00189,21239,20,240,10278,26,10710
HT4BVJT00189,HT4BVJT00189,30475,13,178,19330,6,10979
HT4BVJT00189,HT4BVJT00189,41730,43,122,30262,17,11306
HT4BVJT00189,HT4BVJT00189,52565,36,121,41482,40,10906
HT4BVJT00189,compute-europe-west,3063,7,1895,103,2,1050
HT4BVJT00189,HT4BVJT00189,64683,16,101,52035,36,12532
HT4BVJT00189,HT4BVJT00189,75467,17,118,63942,20,11401
HT4BVJT00189,HT4BVJT00189,85904,16,151,75071,31,10663
HT4BVJT00189,compute-europe-west,3237,8,2187,6,3,1031
HT4BVJT00189,compute-europe-west,4451,9,3321,69,3,1037
HT4BVJT00189,compute-europe-west,5094,9,3459,566,2,1048
HT4BVJT00189,compute-europe-west,5784,17,3411,1307,2,1030
HT4BVJT00189,compute-europe-west,5080,15,4009,12,3,1030
HT4BVJT00189,compute-europe-west,5745,33,4480,196,3,1038
HT4BVJT00189,compute-europe-west,21139,16,20070,7,2,1035
HT4BVJT00189,compute-europe-west,19054,21,17995,6,1,1026
HT4BVJT00189,compute-europe-west,22628,48,21565,6,2,1005
HT4BVJT00189,compute-europe-west,149606,6,144481,4079,5,1045
HT4BVJT00189,compute-europe-west,87599,8,85695,885,3,1007
HT4BVJT00189,compute-europe-west,118345,13,116278,992,3,1035
HT4BVJT00189,compute-europe-west,71542,23,69952,503,2,1027
HT4BVJT00189,compute-europe-west,41454,17,40398,5,1,1030
HT4BVJT00189,compute-europe-west,125975,15,123182,1727,3,1044
HT4BVJT00189,compute-europe-west,56188,10,55136,6,2,1031
HT4BVJT00189,compute-europe-west,113240,21,112162,12,2,1033
HT4BVJT00189,compute-europe-west,104726,18,103664,12,3,1028
HT4BVJT00189,compute-europe-west,74786,17,73740,11,2,1037
HT4BVJT00189,compute-europe-west,122598,7,119995,1568,3,1023
HT4BVJT00189,compute-europe-west,66148,7,65106,5,3,1013
HT4BVJT00189,compute-europe-west,77344,14,75314,1015,3,1006
HT4BVJT00189,compute-europe-west,129152,16,125637,2454,3,1038
HT4BVJT00189,compute-europe-west,87271,11,86223,14,2,1021
HT4BVJT00189,compute-europe-west,124581,17,122858,663,3,1037
HT4BVJT00189,compute-europe-west,114290,12,110949,2321,3,1037
HT4BVJT00189,compute-europe-west,126564,21,123708,1795,3,1033
HT4BVJT00189,compute-europe-west,58033,23,56973,6,2,1014
HT4BVJT00189,compute-europe-west,94735,9,93681,12,3,1027
HT4BVJT00189,compute-europe-west,110551,12,108557,941,3,1030
HT4BVJT00189,compute-europe-west,69795,11,68735,6,1,1011
HT4BVJT00189,compute-europe-west,98705,11,96651,1016,3,1024
HT4BVJT00189,compute-europe-west,82735,22,80952,750,2,1006
HT4BVJT00189,compute-europe-west,118169,17,116905,209,2,1032
HT4BVJT00189,compute-europe-west,99741,6,98677,12,2,1034
HT4BVJT00189,compute-europe-west,74048,10,73000,5,2,1029
HT4BVJT00189,compute-europe-west,125801,9,121316,3441,2,1028
HT4BVJT00189,compute-europe-west,134944,20,127428,6471,3,1019
HT4BVJT00189,compute-europe-west,135270,15,129965,4240,3,1048
HT4BVJT00189,compute-europe-west,64423,78,62722,609,3,1010
HT4BVJT00189,compute-europe-west,129204,17,122187,5969,5,1022
HT4BVJT00189,compute-europe-west,97836,17,96775,6,2,1034
HT4BVJT00189,compute-europe-west,145228,18,144170,13,2,1024
HT4BVJT00189,compute-europe-west,101821,11,99452,1344,2,1011
HT4BVJT00189,compute-europe-west,89858,10,88807,25,2,1021
HT4BVJT00189,compute-europe-west,153162,8,147667,4459,2,1023
HT4BVJT00189,compute-europe-west,32851,16,31820,4,1,1007
HT4BVJT00189,compute-europe-west,106729,18,105683,12,2,1016
HT4BVJT00189,compute-europe-west,100185,20,96646,2501,2,1017
HT4BVJT00189,compute-europe-west,129847,13,128782,13,3,1035
HT4BVJT00189,compute-europe-west,117095,9,111650,4407,2,1026
HT4BVJT00189,compute-europe-west,99457,9,97007,1422,2,1011
HT4BVJT00189,compute-europe-west,132756,8,131704,12,2,1028
HT4BVJT00189,compute-europe-west,91150,13,90102,6,2,1025
HT4BVJT00189,compute-europe-west,151271,8,149819,420,3,1020
HT4BVJT00189,compute-europe-west,134292,13,133201,13,3,1056
HT4BVJT00189,compute-europe-west,147597,15,146542,12,3,1018
HT4BVJT00189,compute-europe-west,156863,16,155273,523,2,1042
HT4BVJT00189,compute-europe-west,42606,15,40787,803,1,998
HT4BVJT00189,compute-europe-west,159502,15,158391,12,3,1073
HT4BVJT00189,compute-europe-west,114282,21,106487,6749,2,1025
HT4BVJT00189,compute-europe-west,144670,13,143618,12,3,1020
HT4BVJT00189,compute-europe-west,120393,13,118230,1133,3,1012
HT4BVJT00189,compute-europe-west,101961,24,98606,2320,1,1006
HT4BVJT00189,HT4BVJT00189,57043,19,153,45496,26,11385
HT4BVJT00189,compute-europe-west,64932,7,63847,5,1,1056
HT4BVJT00189,HT4BVJT00189,63993,21,80,53317,26,10534
HT4BVJT00189,compute-europe-west,101042,11,96510,3457,3,1045
HT4BVJT00189,HT4BVJT00189,74147,15,117,62714,24,11315
HT4BVJT00189,compute-europe-west,159958,9,158612,296,3,1036
HT4BVJT00189,compute-europe-west,175810,18,172702,2053,3,1026
HT4BVJT00189,compute-europe-west,100685,12,95463,4189,2,1016
HT4BVJT00189,compute-europe-west,101908,12,95789,5076,3,1031
HT4BVJT00189,compute-europe-west,83808,14,79513,3265,1,1010
HT4BVJT00189,compute-europe-west,102681,6,95888,5763,2,1022
HT4BVJT00189,compute-europe-west,66918,11,65861,4,2,1025
HT4BVJT00189,compute-europe-west,151270,7,149721,504,3,1031
HT4BVJT00189,compute-europe-west,87497,10,85595,884,1,1004
HT4BVJT00189,compute-europe-west,100538,15,93883,5611,2,1023
HT4BVJT00189,compute-europe-west,135077,17,133684,347,2,1025
HT4BVJT00189,compute-europe-west,176606,13,175091,463,3,1034
HT4BVJT00189,compute-europe-west,139049,11,137965,12,2,1057
HT4BVJT00189,HT4BVJT00189,75707,16,117,64218,21,11375
HT4BVJT00189,HT4BVJT00189,85225,18,181,72666,63,12318
HT4BVJT00189,compute-europe-west,88299,8,84140,3130,2,1018
HT4BVJT00189,compute-europe-west,122286,17,117542,3699,3,1022
HT4BVJT00189,compute-europe-west,116991,17,114767,1177,2,1027
HT4BVJT00189,HT4BVJT00189,94135,34,154,82434,25,11521
HT4BVJT00189,HT4BVJT00189,103517,6,212,92632,26,10647
HT4BVJT00189,HT4BVJT00189,115061,8,253,103193,29,11607
HT4BVJT00189,compute-europe-west,78097,7,75617,1461,2,1009
HT4BVJT00189,compute-europe-west,111442,16,110213,202,2,1018
HT4BVJT00189,compute-europe-west,91196,27,85109,5042,2,1001
HT4BVJT00189,compute-europe-west,108668,20,106946,616,2,1021
HT4BVJT00189,HT4BVJT00189,123232,47,159,111418,19,11589
HT4BVJT00189,HT4BVJT00189,134102,17,189,122696,44,11180
HT4BVJT00189,HT4BVJT00189,144631,11,132,133253,29,11222
HT4BVJT00189,compute-europe-west,111025,18,108653,1341,2,1008
HT4BVJT00189,compute-europe-west,147594,48,144842,1667,3,1020
HT4BVJT00189,compute-europe-west,111904,29,108529,2345,1,994
HT4BVJT00189,HT4BVJT00189,156896,69,156,144004,30,12663
HT4BVJT00189,HT4BVJT00189,169180,24,216,156561,25,12398
HT4BVJT00189,compute-europe-west,111677,13,107763,2879,2,1016
HT4BVJT00189,compute-europe-west,108564,7,105626,1917,1,1019
HT4BVJT00189,HT4BVJT00189,179304,11,148,167201,27,11956
HT4BVJT00189,compute-europe-west,127171,17,125277,858,2,1014
HT4BVJT00189,compute-europe-west,126127,15,125085,5,3,1015
HT4BVJT00189,compute-europe-west,139904,16,138842,12,2,1028
HT4BVJT00189,compute-europe-west,105863,24,104801,5,2,1025
HT4BVJT00189,compute-europe-west,156959,23,154819,1076,3,1039
HT4BVJT00189,compute-europe-west,159060,34,154943,3010,3,1063
HT4BVJT00189,compute-europe-west,155896,78,154733,12,3,1068
HT4BVJT00189,compute-europe-west,120325,36,117432,1832,2,1011
HT4BVJT00189,compute-europe-west,163183,57,157771,4302,3,1047
HT4BVJT00189,compute-europe-west,157878,35,154715,2079,2,1040
HT4BVJT00189,compute-europe-west,90237,48,88245,929,2,1007
HT4BVJT00189,compute-europe-west,162039,47,157120,3822,3,1038
HT4BVJT00189,compute-europe-west,124105,56,119880,3137,2,1024
HT4BVJT00189,compute-europe-west,159817,12,154802,3924,3,1066
HT4BVJT00189,compute-europe-west,90851,22,89163,658,5,1004
HT4BVJT00189,compute-europe-west,124898,29,122663,1165,1,1026
HT4BVJT00189,compute-europe-west,202462,42,201341,15,4,1050
HT4BVJT00189,compute-europe-west,100449,14,96978,2445,1,1010
HT4BVJT00189,HT4BVJT00189,144371,17,318,130886,37,13132
HT4BVJT00189,HT4BVJT00189,170148,84,410,156337,25,13302
HT4BVJT00189,HT4BVJT00189,156761,47,396,143826,28,12452
HT4BVJT00189,compute-europe-west,117557,100,115432,1004,2,1020
HT4BVJT00189,compute-europe-west,105333,93,102967,1283,2,1000
HT4BVJT00189,HT4BVJT00189,181661,14,163,169321,30,12136
HT4BVJT00189,compute-europe-west,103786,43,102087,643,2,1011
HT4BVJT00189,compute-europe-west,111297,23,109910,343,2,1016
HT4BVJT00189,compute-europe-west,122850,12,120004,1801,3,1028
HT4BVJT00189,compute-europe-west,83278,121,82154,4,1,997
HT4BVJT00189,compute-europe-west,113061,28,110061,1988,2,1006
HT4BVJT00189,compute-europe-west,105365,35,103614,682,2,1030
HT4BVJT00189,compute-europe-west,146663,49,145569,17,3,1024
HT4BVJT00189,compute-europe-west,110976,48,107781,2127,2,1016
HT4BVJT00189,compute-europe-west,90602,67,87754,1762,1,1017
HT4BVJT00189,compute-europe-west,148065,11,146990,13,3,1044
HT4BVJT00189,compute-europe-west,90984,25,87706,2235,2,1015
HT4BVJT00189,compute-europe-west,156785,63,151791,3903,3,1028
HT4BVJT00189,compute-europe-west,130017,24,126030,2924,3,1033
HT4BVJT00189,HT4BVJT00189,175782,30,292,162588,27,12854
HT4BVJT00189,HT4BVJT00189,189394,31,385,175350,26,13631
HT4BVJT00189,HT4BVJT00189,202841,30,417,188899,46,13451
HT4BVJT00189,compute-europe-west,124296,20,121075,2171,2,1027
HT4BVJT00189,compute-europe-west,103885,26,102845,5,2,1005
HT4BVJT00189,compute-europe-west,96638,75,94294,1256,2,1004
HT4BVJT00189,compute-europe-west,159003,46,155987,1932,3,1034
HT4BVJT00189,compute-europe-west,136875,21,134083,1709,3,1058
HT4BVJT00189,compute-europe-west,86689,12,85661,4,2,1007
HT4BVJT00189,compute-europe-west,157771,11,155757,943,3,1050
HT4BVJT00189,compute-europe-west,58964,34,57924,3,1,1002
HT4BVJT00189,HT4BVJT00189,204097,31,256,191893,47,11893
HT4BVJT00189,compute-europe-west,134938,48,129982,3865,2,1031
HT4BVJT00189,compute-europe-west,138981,27,133564,4362,3,1029
HT4BVJT00189,compute-europe-west,137927,45,131969,4888,2,1024
HT4BVJT00189,compute-europe-west,137166,13,131926,4199,3,1028
HT4BVJT00189,compute-europe-west,138151,22,132068,5038,3,1023
HT4BVJT00189,compute-europe-west,159166,15,153897,4214,3,1031
HT4BVJT00189,compute-europe-west,69951,67,68776,101,1,1004
HT4BVJT00189,compute-europe-west,97157,90,90886,5158,2,1020
HT4BVJT00189,compute-europe-west,116920,63,113730,2100,2,1018
HT4BVJT00189,compute-europe-west,102143,68,97882,3167,2,1014
HT4BVJT00189,compute-europe-west,132495,21,130757,693,3,1022
HT4BVJT00189,compute-europe-west,140953,47,137464,2392,3,1035
HT4BVJT00189,compute-europe-west,131349,16,130284,15,3,1028
HT4BVJT00189,compute-europe-west,88690,104,80881,6694,2,1006
HT4BVJT00189,compute-europe-west,66093,101,62725,2262,2,999
HT4BVJT00189,compute-europe-west,72270,65,70446,744,1,1012
HT4BVJT00189,HT4BVJT00189,223729,33,527,211032,37,12141
HT4BVJT00189,HT4BVJT00189,188891,66,280,177202,22,11334
HT4BVJT00189,HT4BVJT00189,200184,54,396,188463,26,11283
HT4BVJT00189,HT4BVJT00189,211290,13,287,199684,19,11311
HT4BVJT00189,compute-europe-west,119654,13,115506,3113,2,1017
HT4BVJT00189,compute-europe-west,123720,27,119007,3653,2,1027
HT4BVJT00189,compute-europe-west,122649,60,118631,2934,3,1023
HT4BVJT00189,compute-europe-west,126713,58,121852,3783,3,1015
HT4BVJT00189,compute-europe-west,131753,59,129344,1326,3,1023
HT4BVJT00189,compute-europe-west,96423,48,91603,3742,2,1024
HT4BVJT00189,compute-europe-west,95361,54,91411,2871,2,1021
HT4BVJT00189,compute-europe-west,75343,15,68357,5956,2,1012
HT4BVJT00189,compute-europe-west,134531,7,131579,1909,4,1020
HT4BVJT00189,compute-europe-west,129384,28,124787,3552,3,1025
HT4BVJT00189,compute-europe-west,89643,9,88045,572,2,1014
HT4BVJT00189,compute-europe-west,81870,8,79722,1086,2,1025
HT4BVJT00189,compute-europe-west,39488,27,38455,4,0,1002
HT4BVJT00189,compute-europe-west,61979,53,57341,3548,1,1035
HT4BVJT00189,compute-europe-west,88971,43,83877,4036,2,1011
HT4BVJT00189,compute-europe-west,68906,14,62915,4974,1,996
HT4BVJT00189,compute-europe-west,41283,45,38447,1778,1,1009
HT4BVJT00189,compute-europe-west,124055,25,121103,1891,3,1022
HT4BVJT00189,compute-europe-west,123006,54,120408,1527,2,1019
HT4BVJT00189,compute-europe-west,111677,14,110608,11,3,1039
HT4BVJT00189,compute-europe-west,97927,32,92358,4526,2,1006
HT4BVJT00189,compute-europe-west,74846,65,69588,4182,1,1006
HT4BVJT00189,compute-europe-west,115319,55,112599,1622,3,1023
HT4BVJT00189,HT4BVJT00189,194374,44,146,182731,29,11439
HT4BVJT00189,compute-europe-west,62376,28,59820,1531,1,1000
HT4BVJT00189,compute-europe-west,116243,37,112697,2453,2,1045
HT4BVJT00189,compute-europe-west,102855,13,101809,11,2,1016
HT4BVJT00189,compute-europe-west,113938,20,109882,3000,3,1032
HT4BVJT00189,compute-europe-west,114949,69,110724,3101,3,1050
HT4BVJT00189,compute-europe-west,81077,68,78019,1958,2,1024
HT4BVJT00189,compute-europe-west,85135,43,80995,3090,1,1009
HT4BVJT00189,compute-europe-west,115946,41,110833,3997,3,1069
HT4BVJT00189,compute-europe-west,117997,44,111299,5587,3,1036
HT4BVJT00189,compute-europe-west,40956,23,33710,6227,1,999
HT4BVJT00189,compute-europe-west,89985,49,85594,3328,3,1008
HT4BVJT00189,compute-europe-west,78578,30,74938,2597,2,1008
HT4BVJT00189,compute-europe-west,91815,26,86192,4571,2,1021
HT4BVJT00189,compute-europe-west,97928,42,95004,1858,2,1014
