ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00189,10492,16,308,26,10,10162
HT4BVJT00003,HT4BVJT00189,18835,51,223,9179,1,9389
HT4BVJT00003,HT4BVJT00189,28082,21,339,18333,2,9414
HT4BVJT00003,HT4BVJT00189,35810,56,259,26009,2,9482
HT4BVJT00003,HT4BVJT00189,45328,70,408,35239,3,9613
HT4BVJT00003,HT4BVJT00189,55273,51,442,44747,4,10018
HT4BVJT00003,HT4BVJT00189,64896,20,285,54733,3,9838
HT4BVJT00003,HT4BVJT00189,74281,58,171,64433,4,9615
HT4BVJT00003,joaquim-MS-7996,1687,14,146,3,0,1520
HT4BVJT00003,joaquim-MS-7996,3060,13,241,1258,1,1481
HT4BVJT00003,joaquim-MS-7996,3978,26,167,2324,0,1454
HT4BVJT00003,joaquim-MS-7996,4868,24,119,3268,0,1451
HT4BVJT00003,joaquim-MS-7996,5963,28,111,4384,0,1433
HT4BVJT00003,joaquim-MS-7996,7014,15,132,5445,1,1417
HT4BVJT00003,compute-europe-west,1133,48,348,3,1,719
HT4BVJT00003,compute-europe-west,1412,25,150,552,0,692
HT4BVJT00003,compute-europe-west,1309,20,554,4,2,703
HT4BVJT00003,compute-europe-west,1209,24,378,4,1,711
HT4BVJT00003,compute-europe-west,1429,7,374,367,2,658
HT4BVJT00003,joaquim-MS-7996,1916,46,208,181,1,1485
HT4BVJT00003,joaquim-MS-7996,2494,50,132,868,0,1443
HT4BVJT00003,joaquim-MS-7996,3831,31,129,2144,0,1440
HT4BVJT00003,joaquim-MS-7996,4795,15,187,3150,0,1450
HT4BVJT00003,joaquim-MS-7996,6199,51,147,4558,0,1434
HT4BVJT00003,joaquim-MS-7996,7461,14,103,5893,1,1449
HT4BVJT00003,joaquim-MS-7996,8765,15,79,7225,0,1438
HT4BVJT00003,joaquim-MS-7996,9906,64,124,8282,0,1432
HT4BVJT00003,joaquim-MS-7996,11117,24,76,9597,0,1421
HT4BVJT00003,joaquim-MS-7996,11416,15,86,9891,0,1418
HT4BVJT00003,joaquim-MS-7996,12194,28,157,10577,1,1434
HT4BVJT00003,compute-europe-west,1492,59,781,3,1,653
HT4BVJT00003,compute-europe-west,1699,44,971,4,1,673
HT4BVJT00003,compute-europe-west,1958,54,1239,4,1,656
HT4BVJT00003,compute-europe-west,4398,72,3309,350,1,659
HT4BVJT00003,compute-europe-west,2622,8,1940,3,0,661
HT4BVJT00003,compute-europe-west,3418,18,2726,3,0,660
HT4BVJT00003,compute-europe-west,4535,79,3009,780,1,656
HT4BVJT00003,compute-europe-west,4546,29,2540,1295,1,665
HT4BVJT00003,compute-europe-west,2594,13,1140,798,0,643
HT4BVJT00003,compute-europe-west,3518,8,2222,620,1,666
HT4BVJT00003,compute-europe-west,3392,20,2482,220,1,657
HT4BVJT00003,compute-europe-west,3800,33,2818,290,1,652
HT4BVJT00003,compute-europe-west,6122,71,2893,2390,1,659
HT4BVJT00003,compute-europe-west,3913,42,2351,864,1,655
HT4BVJT00003,compute-europe-west,4556,28,2486,1256,1,668
HT4BVJT00003,compute-europe-west,5018,27,2486,1837,1,658
HT4BVJT00003,joaquim-MS-7996,3283,43,157,1621,0,1458
HT4BVJT00003,compute-europe-west,1847,51,399,747,1,644
HT4BVJT00003,compute-europe-west,2227,8,295,1234,1,650
HT4BVJT00003,compute-europe-west,2502,26,151,1573,1,643
HT4BVJT00003,compute-europe-west,2443,49,391,1347,0,655
HT4BVJT00003,compute-europe-west,2812,25,328,1819,0,640
HT4BVJT00003,compute-europe-west,3319,53,416,2186,0,640
HT4BVJT00003,joaquim-MS-7996,1613,9,142,2,1,1454
HT4BVJT00003,joaquim-MS-7996,2163,26,122,557,1,1447
HT4BVJT00003,joaquim-MS-7996,2686,19,97,1120,0,1448
HT4BVJT00003,joaquim-MS-7996,3163,39,104,1570,0,1441
HT4BVJT00003,joaquim-MS-7996,3935,20,158,2304,1,1450
HT4BVJT00003,joaquim-MS-7996,4535,17,153,2926,1,1439
HT4BVJT00003,joaquim-MS-7996,5730,28,41,4185,0,1460
HT4BVJT00003,compute-europe-west,1336,57,608,4,0,660
HT4BVJT00003,compute-europe-west,1770,36,581,509,0,654
HT4BVJT00003,compute-europe-west,1812,54,351,755,1,652
HT4BVJT00003,compute-europe-west,2411,30,392,1340,1,644
HT4BVJT00003,compute-europe-west,2667,17,261,1738,0,651
HT4BVJT00003,compute-europe-west,2943,59,178,2050,1,654
HT4BVJT00003,compute-europe-west,3109,25,309,2121,1,653
HT4BVJT00003,compute-europe-west,3406,21,1129,1606,1,653
HT4BVJT00003,compute-europe-west,3958,12,1115,2181,0,649
HT4BVJT00003,compute-europe-west,3640,27,699,2195,0,649
HT4BVJT00003,compute-europe-west,4203,58,949,2533,1,654
HT4BVJT00003,compute-europe-west,4142,38,701,2636,0,658
HT4BVJT00003,joaquim-MS-7996,1766,58,163,6,1,1532
HT4BVJT00003,joaquim-MS-7996,2770,23,115,1214,0,1407
HT4BVJT00003,joaquim-MS-7996,3272,58,127,1657,0,1433
HT4BVJT00003,compute-europe-west,1191,61,450,4,1,661
HT4BVJT00003,compute-europe-west,1469,20,260,406,1,646
HT4BVJT00003,compute-europe-west,1837,29,302,830,1,656
HT4BVJT00003,compute-europe-west,1632,15,436,565,1,646
HT4BVJT00003,compute-europe-west,2082,13,711,712,0,644
HT4BVJT00003,compute-europe-west,2725,13,775,1235,1,645
