ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,8597,16,98,15,4,8502
HT4BVJT00003,HT4BVJT00003,19216,7,65,7607,5,11568
HT4BVJT00003,HT4BVJT00003,30541,21,137,18823,8,11568
HT4BVJT00003,HT4BTJT00030,27234,18,2828,15443,6,8946
HT4BVJT00003,HT4BTJT00030,9458,11,2353,20,6,7085
HT4BVJT00003,HT4BTJT00030,35973,10,2805,24273,5,8934
HT4BVJT00003,HT4BTJT00030,17882,14,2248,6935,4,8730
HT4BVJT00003,joaquim-MS-7996,2350,29,499,8,3,1792
HT4BVJT00003,joaquim-MS-7996,3403,22,433,1245,3,1705
HT4BVJT00003,joaquim-MS-7996,5004,23,501,2735,2,1745
HT4BVJT00003,joaquim-MS-7996,6178,17,220,4280,1,1664
HT4BVJT00003,joaquim-MS-7996,7404,16,347,5361,2,1676
HT4BVJT00003,joaquim-MS-7996,8618,22,278,6622,2,1682
HT4BVJT00003,joaquim-MS-7996,9979,14,244,8029,2,1686
HT4BVJT00003,joaquim-MS-7996,9784,60,310,7734,2,1678
HT4BVJT00003,joaquim-MS-7996,11068,43,247,9097,2,1672
HT4BVJT00003,compute-europe-west,1716,26,569,7,4,1108
HT4BVJT00003,compute-europe-west,1765,16,242,517,2,968
HT4BVJT00003,compute-europe-west,2278,21,232,1078,2,944
HT4BVJT00003,compute-europe-west,2456,48,554,855,5,962
HT4BVJT00003,compute-europe-west,2474,8,484,1045,2,952
HT4BVJT00003,compute-europe-west,3245,40,553,1698,2,944
HT4BVJT00003,compute-europe-west,3713,62,831,1891,1,926
HT4BVJT00003,compute-europe-west,4684,62,1596,2052,2,929
HT4BVJT00003,compute-europe-west,6312,38,2975,2364,2,934
HT4BVJT00003,compute-europe-west,5265,24,1962,2359,1,917
HT4BVJT00003,compute-europe-west,6894,9,3214,2704,2,938
HT4BVJT00003,compute-europe-west,7581,52,3021,3563,2,935
HT4BVJT00003,compute-europe-west,7375,50,2344,4065,1,912
HT4BVJT00003,compute-europe-west,8750,12,3309,4420,2,933
HT4BVJT00003,compute-europe-west,6821,11,2172,3717,1,917
HT4BVJT00003,compute-europe-west,7473,20,3465,3069,2,918
HT4BVJT00003,compute-europe-west,8247,16,3800,3479,3,943
HT4BVJT00003,compute-europe-west,7227,22,3504,2769,2,928
HT4BVJT00003,joaquim-MS-7996,2140,10,368,5,1,1754
HT4BVJT00003,joaquim-MS-7996,3336,14,297,1260,1,1711
HT4BVJT00003,joaquim-MS-7996,4508,18,332,2374,2,1783
HT4BVJT00003,joaquim-MS-7996,5855,19,194,3987,1,1664
HT4BVJT00003,joaquim-MS-7996,7410,43,316,5377,2,1670
HT4BVJT00003,joaquim-MS-7996,8287,34,324,6257,2,1668
HT4BVJT00003,joaquim-MS-7996,8408,14,246,6343,1,1743
HT4BVJT00003,joaquim-MS-7996,9637,15,244,7648,1,1726
HT4BVJT00003,compute-europe-west,3457,54,1875,599,2,922
HT4BVJT00003,compute-europe-west,5534,10,3670,931,2,917
HT4BVJT00003,compute-europe-west,6062,11,3551,1577,2,918
HT4BVJT00003,compute-europe-west,4082,9,3144,10,2,917
HT4BVJT00003,compute-europe-west,6764,19,3881,1935,2,925
HT4BVJT00003,compute-europe-west,7600,17,3899,2756,3,923
HT4BVJT00003,HT4BVJT00003,14413,10,196,3244,5,10987
HT4BVJT00003,joaquim-MS-7996,5190,21,223,3267,1,1676
HT4BVJT00003,joaquim-MS-7996,6517,16,243,4579,1,1670
HT4BVJT00003,compute-europe-west,6400,7,5458,12,1,917
HT4BVJT00003,joaquim-MS-7996,7249,9,331,5211,2,1688
HT4BVJT00003,joaquim-MS-7996,8546,10,306,6554,1,1680
HT4BVJT00003,joaquim-MS-7996,10108,35,259,8073,1,1741
HT4BVJT00003,joaquim-MS-7996,11126,14,328,9017,2,1754
HT4BVJT00003,compute-europe-west,4533,24,3180,413,0,915
HT4BVJT00003,compute-europe-west,6924,15,5975,11,1,911
HT4BVJT00003,compute-europe-west,6879,15,5239,705,2,913
HT4BVJT00003,compute-europe-west,7179,21,5156,1081,1,913
HT4BVJT00003,HT4BVJT00003,16383,13,125,5216,10,11049
HT4BVJT00003,joaquim-MS-7996,7192,20,263,5190,1,1694
HT4BVJT00003,joaquim-MS-7996,8204,15,270,6247,2,1679
HT4BVJT00003,joaquim-MS-7996,9363,20,199,7478,1,1663
HT4BVJT00003,joaquim-MS-7996,10232,31,354,8172,2,1669
HT4BVJT00003,joaquim-MS-7996,11344,14,484,9155,2,1674
HT4BVJT00003,joaquim-MS-7996,12927,23,536,10687,2,1676
HT4BVJT00003,joaquim-MS-7996,14180,12,330,12158,2,1678
HT4BVJT00003,joaquim-MS-7996,15475,12,78,13726,1,1654
HT4BVJT00003,joaquim-MS-7996,16712,14,292,14714,2,1691
HT4BVJT00003,joaquim-MS-7996,18042,51,183,16152,1,1661
HT4BVJT00003,HT4BTJT00030,9277,14,419,18,12,8843
HT4BVJT00003,joaquim-MS-7996,18588,26,277,16604,2,1679
HT4BVJT00003,HT4BVJT00003,19643,19,132,8184,5,11321
HT4BVJT00003,HT4BVJT00003,32556,31,146,19399,16,12985
HT4BVJT00003,HT4BTJT00030,15314,21,375,6034,3,8914
HT4BVJT00003,compute-europe-west,2450,23,1490,6,2,924
HT4BVJT00003,compute-europe-west,2968,13,1266,776,3,910
HT4BVJT00003,compute-europe-west,3569,22,2605,16,2,927
