ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,9450,65,20,16,3,9350
HT4BTJT00078,HT4BVJT00003,9282,16,44,13,3,9200
HT4BTJT00078,HT4BVJT00003,18375,23,88,8918,2,9342
HT4BTJT00078,joaquim-MS-7996,1490,18,69,3,0,1403
HT4BTJT00078,joaquim-MS-7996,2857,43,128,1307,0,1381
HT4BTJT00078,joaquim-MS-7996,4177,15,93,2644,0,1359
HT4BTJT00078,joaquim-MS-7996,5380,9,41,3974,0,1352
HT4BTJT00078,compute-europe-west,740,11,127,2,1,585
HT4BTJT00078,compute-europe-west,1103,13,207,2,1,591
HT4BTJT00078,compute-europe-west,1130,10,134,393,0,586
HT4BTJT00078,compute-europe-west,1766,25,117,902,0,601
HT4BTJT00078,joaquim-MS-7996,4912,49,63,3425,0,1361
HT4BTJT00078,compute-europe-west,1487,15,173,665,0,587
HT4BTJT00078,compute-europe-west,799,18,169,2,0,605
HT4BTJT00078,compute-europe-west,1080,10,130,349,0,587
HT4BTJT00078,compute-europe-west,1180,44,552,3,0,580
HT4BTJT00078,compute-europe-west,1387,19,760,3,0,603
HT4BTJT00078,compute-europe-west,1578,71,749,147,1,603
HT4BTJT00078,compute-europe-west,1416,51,477,297,0,585
HT4BTJT00078,compute-europe-west,1146,58,479,3,0,599
HT4BTJT00078,compute-europe-west,1593,56,512,437,0,586
HT4BTJT00078,compute-europe-west,1759,31,448,689,0,588
HT4BTJT00078,compute-europe-west,1128,37,135,384,0,572
HT4BTJT00078,compute-europe-west,1587,44,93,848,0,594
HT4BTJT00078,joaquim-MS-7996,1494,29,59,6,1,1392
HT4BTJT00078,joaquim-MS-7996,2560,74,27,1096,0,1356
HT4BTJT00078,joaquim-MS-7996,3357,18,35,1957,1,1345
HT4BTJT00078,joaquim-MS-7996,3542,19,68,2079,0,1369
HT4BTJT00078,compute-europe-west,878,44,209,2,0,589
HT4BTJT00078,compute-europe-west,1028,29,378,2,1,616
HT4BTJT00078,compute-europe-west,971,25,352,3,0,587
HT4BTJT00078,compute-europe-west,1485,60,246,547,1,592
HT4BTJT00078,compute-europe-west,2360,83,216,1478,0,582
HT4BTJT00078,compute-europe-west,1757,60,181,935,0,578
HT4BTJT00078,compute-europe-west,2745,45,138,1979,0,581
HT4BTJT00078,compute-europe-west,3227,42,257,2343,0,579
HT4BTJT00078,compute-europe-west,3437,50,141,2648,0,595
HT4BTJT00078,compute-europe-west,3319,32,346,2298,1,613
HT4BTJT00078,compute-europe-west,3642,36,249,2782,0,573
HT4BTJT00078,compute-europe-west,2466,39,282,1477,0,577
HT4BTJT00078,joaquim-MS-7996,1473,26,44,5,0,1394
HT4BTJT00078,joaquim-MS-7996,2768,47,66,1279,0,1379
HT4BTJT00078,joaquim-MS-7996,4082,32,61,2618,1,1372
HT4BTJT00078,joaquim-MS-7996,3507,24,47,2069,0,1360
HT4BTJT00078,compute-europe-west,787,33,175,2,0,576
HT4BTJT00078,compute-europe-west,1231,64,174,128,0,601
HT4BTJT00078,compute-europe-west,1157,58,184,316,1,590
HT4BTJT00078,compute-europe-west,1214,12,213,318,1,575
HT4BTJT00078,compute-europe-west,1705,27,151,811,0,590
HT4BTJT00078,compute-europe-west,1071,58,182,241,0,584
HT4BTJT00078,compute-europe-west,888,14,270,2,0,599
HT4BTJT00078,compute-europe-west,972,21,92,275,0,581
HT4BTJT00078,compute-europe-west,1243,39,218,398,0,590
HT4BTJT00078,compute-europe-west,970,59,182,134,0,587
HT4BTJT00078,compute-europe-west,1294,43,132,509,0,579
HT4BTJT00078,joaquim-MS-7996,1502,44,65,6,0,1387
HT4BTJT00078,compute-europe-west,808,44,177,2,1,580
HT4BTJT00078,compute-europe-west,932,29,303,2,0,600
HT4BTJT00078,compute-europe-west,1521,29,331,555,1,595
HT4BTJT00078,compute-europe-west,1773,24,93,1052,0,596
HT4BTJT00078,compute-europe-west,828,16,218,2,0,586
HT4BTJT00078,compute-europe-west,919,47,266,14,1,588
HT4BTJT00078,compute-europe-west,1187,25,302,261,1,574
HT4BTJT00078,compute-europe-west,1689,47,529,505,0,603
HT4BTJT00078,compute-europe-west,1831,57,380,704,0,578
HT4BTJT00078,compute-europe-west,1143,18,176,370,1,581
HT4BTJT00078,compute-europe-west,1913,28,344,654,0,599
HT4BTJT00078,compute-europe-west,892,35,255,2,0,594
HT4BTJT00078,compute-europe-west,874,53,218,2,0,597
HT4BTJT00078,compute-europe-west,1184,15,181,375,1,608
