ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4CWJT00250,9591,16,87,9,1,9452
HT4CWJT00250,HT4CWJT00250,16729,23,88,7843,2,8781
HT4BTJT00078,joaquim-MS-7996,1663,23,194,7,1,1431
HT4BTJT00078,joaquim-MS-7996,1825,16,179,11,2,1540
HT4BTJT00127,joaquim-MS-7996,1659,32,118,113,0,1386
HT4BVJT00003,joaquim-MS-7996,3020,26,217,1371,0,1397
HT4BTJT00078,joaquim-MS-7996,1613,37,143,3,1,1412
HT4BVJT00003,joaquim-MS-7996,4338,16,221,2694,0,1394
HT4CWJT00250,joaquim-MS-7996,5185,19,125,3617,0,1417
HT4BTJT00078,compute-europe-west,1270,25,510,4,1,713
HT4BTJT00078,compute-europe-west,1212,16,406,87,2,697
HT4BVJT00003,compute-europe-west,1606,30,459,420,1,692
HT4BTJT00127,compute-europe-west,2212,26,445,1055,2,675
HT4CWJT00250,compute-europe-west,2627,20,469,1473,1,651
HT4BTJT00127,compute-europe-west,2965,16,234,2001,1,646
HT4BVJT00003,compute-europe-west,3046,11,295,2069,1,642
HT4BTJT00127,joaquim-MS-7996,2894,27,199,1258,1,1401
HT4BTJT00078,compute-europe-west,1157,20,486,5,0,640
HT4BTJT00127,joaquim-MS-7996,1604,9,149,8,1,1423
HT4BTJT00078,joaquim-MS-7996,1800,65,139,117,1,1396
HT4BVJT00003,joaquim-MS-7996,1536,19,103,2,0,1402
HT4BTJT00127,joaquim-MS-7996,2091,19,145,506,0,1400
HT4CWJT00250,joaquim-MS-7996,1596,14,134,8,1,1423
HT4CWJT00250,joaquim-MS-7996,2127,35,139,491,1,1398
HT4CWJT00250,joaquim-MS-7996,2861,47,160,1222,1,1428
HT4BTJT00127,joaquim-MS-7996,3117,18,181,1506,1,1399
HT4CWJT00250,joaquim-MS-7996,4004,12,117,2456,0,1410
HT4BTJT00127,joaquim-MS-7996,4998,19,130,3391,0,1395
HT4CWJT00250,compute-europe-west,1202,51,449,3,1,639
HT4BTJT00078,compute-europe-west,1129,7,479,4,1,640
HT4BTJT00078,compute-europe-west,1095,54,319,3,0,630
HT4CWJT00250,joaquim-MS-7996,1568,19,93,4,0,1444
HT4BTJT00078,joaquim-MS-7996,2415,19,161,745,0,1400
HT4BTJT00127,joaquim-MS-7996,3507,28,150,1906,1,1395
HT4CWJT00250,joaquim-MS-7996,4784,50,135,3134,0,1391
HT4BTJT00078,compute-europe-west,1149,12,424,3,1,638
HT4CWJT00250,compute-europe-west,1108,17,418,4,0,661
HT4BTJT00078,compute-europe-west,1106,15,426,4,0,652
HT4BTJT00078,compute-europe-west,971,20,227,64,0,645
HT4CWJT00250,compute-europe-west,1143,22,357,118,0,637
HT4BVJT00003,compute-europe-west,1514,14,508,333,1,649
HT4BTJT00078,compute-europe-west,1206,28,490,3,1,650
HT4BTJT00078,compute-europe-west,1737,32,330,618,0,660
HT4BVJT00003,joaquim-MS-7996,1555,16,128,2,0,1407
HT4CWJT00250,compute-europe-west,1234,17,374,226,0,621
HT4CWJT00250,joaquim-MS-7996,1648,19,142,6,0,1423
HT4BTJT00078,compute-europe-west,1103,19,381,3,0,642
HT4BVJT00003,joaquim-MS-7996,1545,17,104,4,0,1414
HT4BTJT00127,joaquim-MS-7996,1950,22,123,368,0,1391
HT4BTJT00078,compute-europe-west,954,12,303,3,0,627
HT4BTJT00127,compute-europe-west,1059,18,390,3,1,648
HT4BVJT00003,compute-europe-west,1364,24,437,258,1,634
HT4BTJT00127,compute-europe-west,1601,47,227,663,1,637
HT4BVJT00003,compute-europe-west,1663,28,185,810,0,633
HT4BTJT00078,compute-europe-west,1104,60,382,2,0,634
HT4BVJT00003,joaquim-MS-7996,1551,12,134,2,1,1394
HT4BTJT00127,compute-europe-west,1086,63,304,2,0,641
HT4CWJT00250,compute-europe-west,1105,21,364,3,0,620
HT4BTJT00078,joaquim-MS-7996,1643,67,128,4,1,1423
HT4BTJT00078,compute-europe-west,1103,16,382,3,0,629
HT4CWJT00250,compute-europe-west,1366,22,357,293,1,629
HT4BTJT00078,compute-europe-west,1216,15,513,3,1,643
HT4BTJT00127,compute-europe-west,1107,28,391,3,0,648
HT4BTJT00127,joaquim-MS-7996,1598,10,159,2,1,1402
HT4BTJT00127,compute-europe-west,1549,56,834,3,0,644
HT4BTJT00078,compute-europe-west,1141,34,431,3,1,641
HT4BVJT00003,joaquim-MS-7996,1581,22,111,2,0,1405
HT4BVJT00003,joaquim-MS-7996,2805,15,97,1295,0,1400
HT4CWJT00250,joaquim-MS-7996,2889,31,126,1330,0,1387
HT4BVJT00003,compute-europe-west,2126,23,1389,3,0,646
HT4BVJT00003,compute-europe-west,1307,24,640,3,1,633
HT4BTJT00078,joaquim-MS-7996,1598,20,152,4,1,1410
HT4BTJT00078,joaquim-MS-7996,3014,58,170,1343,0,1394
HT4CWJT00250,compute-europe-west,1090,30,420,3,0,638
HT4BTJT00127,joaquim-MS-7996,3737,8,164,2162,0,1395
HT4BTJT00127,compute-europe-west,1296,56,499,3,0,632
HT4BVJT00003,joaquim-MS-7996,3529,57,84,1986,1,1391
HT4CWJT00250,compute-europe-west,1632,45,952,3,0,636
HT4BVJT00003,compute-europe-west,1395,8,561,124,0,632
HT4BTJT00127,compute-europe-west,1326,26,632,3,1,655
HT4BVJT00003,joaquim-MS-7996,1574,23,133,7,1,1410
HT4BVJT00003,compute-europe-west,1023,23,366,3,0,622
HT4CWJT00250,joaquim-MS-7996,1968,21,158,362,1,1405
HT4BVJT00003,joaquim-MS-7996,1722,48,157,6,1,1434
HT4BTJT00078,joaquim-MS-7996,2244,13,155,656,0,1407
HT4BVJT00003,compute-europe-west,1338,12,693,3,0,625
HT4CWJT00250,joaquim-MS-7996,1652,33,107,6,1,1416
HT4CWJT00250,joaquim-MS-7996,1939,29,138,372,0,1397
HT4BTJT00127,joaquim-MS-7996,3191,24,140,1625,0,1399
HT4BVJT00003,joaquim-MS-7996,3828,22,112,2208,0,1408
HT4BTJT00078,joaquim-MS-7996,3846,25,147,2261,0,1391
HT4BTJT00127,joaquim-MS-7996,4507,32,109,2959,0,1396
HT4CWJT00250,joaquim-MS-7996,5498,18,189,3893,0,1394
HT4CWJT00250,joaquim-MS-7996,6836,21,145,5269,1,1396
HT4CWJT00250,compute-europe-west,1191,15,527,4,0,641
HT4BVJT00003,compute-europe-west,1377,13,476,158,1,637
HT4CWJT00250,compute-europe-west,1654,14,271,722,0,635
HT4CWJT00250,compute-europe-west,1091,14,416,4,0,652
HT4BTJT00127,compute-europe-west,1297,16,540,5,0,654
HT4CWJT00250,compute-europe-west,1295,23,412,179,1,633
HT4BVJT00003,compute-europe-west,1796,33,486,618,1,643
HT4BVJT00003,joaquim-MS-7996,1597,12,133,6,1,1435
HT4CWJT00250,compute-europe-west,1206,21,396,2,1,670
HT4BVJT00003,joaquim-MS-7996,1538,25,116,2,0,1395
HT4CWJT00250,compute-europe-west,1153,15,485,3,0,642
HT4BTJT00127,joaquim-MS-7996,1616,25,97,5,1,1460
HT4BTJT00078,joaquim-MS-7996,2915,15,134,1339,0,1397
HT4BTJT00078,joaquim-MS-7996,2685,30,146,1019,1,1397
HT4BVJT00003,joaquim-MS-7996,1992,8,156,420,1,1396
HT4BTJT00127,compute-europe-west,1586,27,830,2,1,640
HT4BVJT00003,compute-europe-west,2444,12,1792,3,1,633
HT4BVJT00003,compute-europe-west,2600,20,1939,3,0,634
HT4CWJT00250,joaquim-MS-7996,1728,15,127,6,1,1466
HT4BTJT00127,joaquim-MS-7996,2920,15,147,1350,0,1405
HT4BTJT00127,joaquim-MS-7996,2639,15,154,1004,1,1397
HT4BTJT00127,joaquim-MS-7996,3530,28,124,1932,0,1398
HT4BVJT00003,joaquim-MS-7996,4746,50,125,3164,0,1399
HT4BVJT00003,joaquim-MS-7996,5956,19,120,4422,1,1388
HT4BVJT00003,compute-europe-west,1267,24,527,2,1,650
HT4CWJT00250,compute-europe-west,1297,23,628,3,1,631
HT4BTJT00127,joaquim-MS-7996,1699,26,158,6,1,1413
HT4BVJT00003,joaquim-MS-7996,1689,24,115,152,0,1392
HT4BTJT00127,joaquim-MS-7996,2145,24,135,565,1,1412
HT4BVJT00003,joaquim-MS-7996,2960,25,175,1347,1,1396
HT4BTJT00078,joaquim-MS-7996,3838,15,128,2296,1,1391
HT4BVJT00003,joaquim-MS-7996,4755,11,106,3173,0,1394
HT4BVJT00003,compute-europe-west,1392,47,447,3,1,626
HT4BTJT00078,compute-europe-west,1113,24,436,3,1,631
HT4BTJT00127,compute-europe-west,1425,14,675,3,1,649
HT4BTJT00127,compute-europe-west,2492,16,646,1194,1,624
HT4BTJT00127,compute-europe-west,1805,20,487,591,0,627
HT4CWJT00250,compute-europe-west,2901,16,461,1788,1,628
HT4CWJT00250,compute-europe-west,3006,13,226,2101,0,642
HT4BVJT00003,joaquim-MS-7996,1709,29,134,6,1,1435
HT4BVJT00003,joaquim-MS-7996,2882,16,114,1316,1,1416
HT4BVJT00003,joaquim-MS-7996,3714,7,142,2175,0,1390
HT4CWJT00250,joaquim-MS-7996,5199,47,135,3524,0,1395
HT4CWJT00250,joaquim-MS-7996,6164,24,85,4659,0,1387
HT4BTJT00078,joaquim-MS-7996,8579,50,211,6819,1,1398
HT4BTJT00127,joaquim-MS-7996,7149,9,178,5499,0,1398
HT4BTJT00127,joaquim-MS-7996,9781,18,118,8201,0,1392
HT4BVJT00003,joaquim-MS-7996,10661,21,97,9061,0,1390
HT4CWJT00250,joaquim-MS-7996,11755,19,118,10203,1,1400
HT4BVJT00003,compute-europe-west,1192,56,435,3,0,641
HT4BTJT00078,compute-europe-west,1134,16,469,3,0,635
HT4BTJT00078,compute-europe-west,1647,18,371,596,1,623
HT4BTJT00127,compute-europe-west,1099,37,354,2,0,625
HT4BTJT00078,compute-europe-west,1027,8,380,3,0,633
HT4CWJT00250,compute-europe-west,1159,29,453,3,1,641
HT4BVJT00003,joaquim-MS-7996,1612,19,93,5,1,1418
HT4BVJT00003,joaquim-MS-7996,2129,25,129,571,1,1400
HT4BVJT00003,joaquim-MS-7996,1615,23,98,1,0,1404
HT4BTJT00127,HT4BTJT00127,9033,10,46,11,2,8954
HT4BTJT00078,joaquim-MS-7996,1718,37,190,9,2,1438
HT4AVJT02309,HT4AVJT02309,8734,14,40,9,2,8664
HT4AVJT02309,joaquim-MS-7996,1706,9,179,5,2,1455
HT4APJT01039,joaquim-MS-7996,1717,29,127,6,1,1482
HT4AVJT02309,joaquim-MS-7996,1524,8,77,6,1,1431
HT4BTJT00127,joaquim-MS-7996,2851,24,159,1232,0,1422
HT4BTJT00127,joaquim-MS-7996,4257,58,176,2593,0,1410
HT4BTJT00078,joaquim-MS-7996,5099,25,99,3491,1,1404
HT4AVJT02309,joaquim-MS-7996,5833,16,144,4266,0,1398
HT4AVJT02309,joaquim-MS-7996,6403,7,134,4861,1,1389
HT4BTJT00127,joaquim-MS-7996,7648,15,214,5934,0,1406
HT4APJT01039,joaquim-MS-7996,9089,12,246,7312,1,1394
HT4BTJT00078,joaquim-MS-7996,9985,17,122,8427,1,1403
HT4APJT01039,joaquim-MS-7996,11156,12,137,9611,0,1397
HT4BTJT00127,joaquim-MS-7996,12098,17,146,10427,0,1399
HT4APJT01039,joaquim-MS-7996,12730,17,175,11119,1,1409
HT4AVJT02309,compute-europe-west,1160,11,429,4,1,699
HT4APJT01039,compute-europe-west,1180,12,469,4,1,682
HT4AVJT02309,compute-europe-west,1186,23,441,4,1,669
HT4BTJT00127,compute-europe-west,1205,27,385,3,1,674
HT4APJT01039,compute-europe-west,1159,57,426,3,1,660
HT4BTJT00078,joaquim-MS-7996,1651,32,133,78,1,1402
HT4BTJT00078,joaquim-MS-7996,2233,21,151,651,0,1406
HT4BTJT00078,joaquim-MS-7996,2946,50,138,1326,0,1400
HT4APJT01039,compute-europe-west,1117,6,451,4,1,642
HT4BTJT00078,joaquim-MS-7996,2682,77,141,1017,0,1408
HT4APJT01039,joaquim-MS-7996,3687,22,133,2126,0,1404
HT4BTJT00078,joaquim-MS-7996,3716,27,148,2078,1,1452
HT4AVJT02309,joaquim-MS-7996,3222,11,143,1251,0,1397
HT4AVJT02309,joaquim-MS-7996,3238,13,115,1696,0,1407
HT4BTJT00078,compute-europe-west,1118,51,436,3,0,632
HT4AVJT02309,compute-europe-west,1209,11,456,41,1,661
HT4APJT01039,compute-europe-west,1617,11,460,500,1,639
HT4BTJT00078,joaquim-MS-7996,1613,19,175,1,0,1404
HT4AVJT02309,compute-europe-west,1960,52,166,1016,1,632
HT4BTJT00078,joaquim-MS-7996,1620,13,119,2,0,1410
HT4AVJT02309,compute-europe-west,1058,30,383,4,0,638
HT4AVJT02309,compute-europe-west,969,21,189,41,0,644
HT4BTJT00078,joaquim-MS-7996,1521,7,82,2,0,1409
HT4BTJT00127,joaquim-MS-7996,2600,23,224,924,2,1423
HT4AVJT02309,joaquim-MS-7996,2283,10,131,735,1,1403
HT4AVJT02309,compute-europe-west,1023,6,384,3,0,629
HT4BTJT00127,joaquim-MS-7996,3155,17,123,1522,0,1399
HT4BTJT00078,joaquim-MS-7996,3758,15,91,2242,0,1402
HT4BTJT00078,joaquim-MS-7996,2484,14,126,928,0,1411
HT4AVJT02309,compute-europe-west,1110,21,347,3,0,634
HT4BTJT00127,compute-europe-west,1451,57,343,328,1,623
HT4APJT01039,compute-europe-west,2390,48,1317,383,1,631
HT4AVJT02309,compute-europe-west,1008,24,291,3,0,625
HT4APJT01039,joaquim-MS-7996,1619,18,116,6,1,1424
HT4BTJT00127,joaquim-MS-7996,2637,16,134,996,0,1409
HT4APJT01039,joaquim-MS-7996,3740,22,144,2067,1,1396
HT4BTJT00127,joaquim-MS-7996,4402,33,82,2872,0,1401
HT4AVJT02309,compute-europe-west,1020,19,338,3,0,632
HT4BTJT00127,compute-europe-west,1374,19,706,3,1,640
