ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,8589,30,57,8,2,8493
HT4AVJT02309,HT4AVJT02309,8682,29,18,22,3,8612
HT4BTJT00127,HT4BTJT00127,8857,35,30,25,1,8769
HT4BTJT00127,compute-europe-west,863,26,248,3,0,568
HT4BTJT00127,joaquim-MS-7996,1520,48,58,5,0,1360
HT4APJT01039,joaquim-MS-7996,2479,18,80,1035,1,1340
HT4BTJT00127,joaquim-MS-7996,3674,13,57,2234,0,1351
HT4BTJT00127,joaquim-MS-7996,1935,11,87,490,1,1336
HT4BTJT00078,compute-europe-west,984,25,326,3,0,589
HT4BTJT00078,compute-europe-west,1528,35,272,545,0,573
HT4AVJT02309,compute-europe-west,1535,6,211,703,0,564
HT4BTJT00078,compute-europe-west,821,57,184,3,0,574
HT4AVJT02309,joaquim-MS-7996,1425,26,39,5,0,1348
HT4BTJT00078,compute-europe-west,771,35,94,2,0,572
HT4APJT01039,joaquim-MS-7996,1474,14,51,3,0,1355
HT4APJT01039,joaquim-MS-7996,2283,16,35,748,0,1330
HT4APJT01039,joaquim-MS-7996,2224,23,47,810,0,1338
HT4BTJT00078,compute-europe-west,871,18,269,3,0,578
HT4APJT01039,joaquim-MS-7996,1450,18,59,3,0,1358
HT4BTJT00127,compute-europe-west,1247,53,627,2,0,560
HT4BTJT00127,compute-europe-west,999,60,338,3,0,578
HT4AVJT02309,compute-europe-west,871,11,257,3,0,563
HT4AVJT02309,compute-europe-west,943,66,296,3,0,572
HT4BTJT00127,joaquim-MS-7996,1536,33,69,3,0,1358
HT4AVJT02309,joaquim-MS-7996,2614,55,71,1085,1,1339
HT4APJT01039,compute-europe-west,744,13,166,3,0,560
HT4BTJT00127,compute-europe-west,959,19,339,36,0,560
HT4AVJT02309,compute-europe-west,1211,33,301,210,0,564
HT4AVJT02309,compute-europe-west,796,53,131,3,0,542
HT4APJT01039,compute-europe-west,873,63,216,3,0,588
HT4BTJT00127,compute-europe-west,1292,20,465,131,1,590
HT4APJT01039,compute-europe-west,1144,26,105,408,0,588
HT4BTJT00127,joaquim-MS-7996,1540,16,66,5,0,1368
HT4AVJT02309,compute-europe-west,967,24,227,124,0,584
HT4BTJT00127,compute-europe-west,969,75,257,2,1,595
HT4BTJT00127,joaquim-MS-7996,1450,24,59,4,1,1351
HT4AVJT02309,compute-europe-west,1146,65,309,199,0,574
HT4AVJT02309,compute-europe-west,1385,17,746,2,1,557
HT4AVJT02309,compute-europe-west,1471,6,893,3,0,555
HT4APJT01039,compute-europe-west,1144,13,339,218,1,574
HT4BTJT00127,compute-europe-west,807,28,214,3,0,553
HT4AVJT02309,compute-europe-west,916,24,302,32,1,561
HT4BTJT00078,compute-europe-west,804,26,221,2,0,538
HT4BTJT00127,joaquim-MS-7996,1469,20,57,5,0,1374
HT4BTJT00078,compute-europe-west,1074,13,297,2,0,572
HT4BTJT00127,compute-europe-west,848,52,174,2,0,563
HT4BTJT00078,compute-europe-west,1073,24,218,3,0,558
HT4BTJT00078,compute-europe-west,853,26,223,2,0,565
HT4BTJT00127,compute-europe-west,1044,55,383,2,0,595
HT4BTJT00078,compute-europe-west,1035,18,178,274,0,557
HT4BTJT00127,compute-europe-west,998,36,306,39,0,598
HT4AVJT02309,compute-europe-west,1155,24,186,371,0,564
HT4APJT01039,compute-europe-west,1553,19,257,588,1,574
HT4BTJT00078,compute-europe-west,903,21,213,2,0,566
HT4APJT01039,compute-europe-west,989,14,293,36,0,582
HT4AVJT02309,compute-europe-west,815,14,215,30,0,549
HT4APJT01039,compute-europe-west,1263,25,197,554,0,543
HT4BTJT00127,compute-europe-west,898,19,214,2,0,552
HT4APJT01039,compute-europe-west,844,21,251,2,0,569
HT4BTJT00127,compute-europe-west,889,37,218,2,0,544
HT4AVJT02309,compute-europe-west,788,24,216,2,0,549
HT4APJT01039,compute-europe-west,900,15,330,2,1,549
HT4BTJT00127,compute-europe-west,1046,56,252,180,0,549
HT4BTJT00127,compute-europe-west,1636,56,294,639,0,586
HT4APJT01039,compute-europe-west,2035,15,336,1117,0,549
HT4BTJT00078,compute-europe-west,1875,9,364,891,1,540
HT4BTJT00078,compute-europe-west,2268,28,559,1066,0,555
HT4AVJT02309,compute-europe-west,908,30,305,3,0,562
HT4BTJT00078,compute-europe-west,1124,35,350,176,0,560
HT4APJT01039,compute-europe-west,1618,21,329,668,1,565
HT4BTJT00078,compute-europe-west,2048,15,911,544,1,554
HT4AVJT02309,compute-europe-west,852,22,550,3,0,559
HT4BTJT00078,compute-europe-west,905,21,301,2,1,541
HT4AVJT02309,compute-europe-west,923,15,258,88,1,553
HT4BTJT00127,compute-europe-west,1515,18,340,547,0,561
HT4BTJT00078,compute-europe-west,897,13,218,2,1,542
HT4APJT01039,compute-europe-west,736,11,167,2,0,552
HT4APJT01039,compute-europe-west,799,24,216,2,0,549
HT4BTJT00078,joaquim-MS-7996,1495,59,51,5,1,1365
HT4BTJT00078,joaquim-MS-7996,1759,51,40,324,0,1331
HT4AVJT02309,compute-europe-west,881,6,295,3,0,577
HT4BTJT00127,compute-europe-west,1045,65,269,128,0,568
HT4AVJT02309,compute-europe-west,971,30,216,155,1,567
HT4APJT01039,compute-europe-west,1082,18,210,273,0,576
HT4BTJT00078,compute-europe-west,1540,38,96,788,0,549
HT4BTJT00078,compute-europe-west,864,20,262,2,1,571
HT4AVJT02309,compute-europe-west,887,21,296,2,0,566
HT4BTJT00078,compute-europe-west,1523,28,262,2,0,559
HT4BTJT00078,compute-europe-west,868,49,258,2,0,551
HT4APJT01039,compute-europe-west,1268,12,247,339,0,555
HT4AVJT02309,compute-europe-west,694,20,130,2,0,538
HT4AVJT02309,compute-europe-west,732,26,132,2,1,567
HT4APJT01039,compute-europe-west,884,21,248,51,0,555
HT4AVJT02309,joaquim-MS-7996,1480,59,56,4,1,1352
HT4BTJT00078,joaquim-MS-7996,2271,29,45,867,0,1327
HT4AVJT02309,compute-europe-west,801,16,171,2,0,554
HT4APJT01039,compute-europe-west,892,10,288,2,0,553
HT4BTJT00078,compute-europe-west,1134,28,313,143,0,547
HT4BTJT00127,compute-europe-west,1096,72,305,104,1,538
HT4AVJT02309,compute-europe-west,1477,22,212,548,0,551
HT4BTJT00127,compute-europe-west,905,20,216,2,1,555
HT4BTJT00078,joaquim-MS-7996,1463,56,43,4,1,1348
HT4AVJT02309,compute-europe-west,842,19,256,2,0,562
HT4BTJT00127,compute-europe-west,897,36,267,2,0,538
HT4BTJT00078,compute-europe-west,945,27,257,3,0,550
HT4BTJT00078,compute-europe-west,1015,11,131,311,0,560
HT4BTJT00078,compute-europe-west,802,11,133,84,1,555
HT4APJT01039,compute-europe-west,873,18,300,2,1,552
HT4BTJT00127,compute-europe-west,812,25,227,2,0,564
HT4BTJT00127,compute-europe-west,1378,46,305,442,0,575
HT4AVJT02309,compute-europe-west,1787,23,178,1000,0,574
HT4APJT01039,compute-europe-west,2123,21,490,1064,1,543
HT4BTJT00078,compute-europe-west,1770,14,319,872,1,566
HT4BTJT00078,compute-europe-west,2266,52,306,1361,1,545
HT4APJT01039,compute-europe-west,1947,23,503,872,0,555
HT4APJT01039,compute-europe-west,2082,19,393,1109,0,552
HT4BTJT00127,compute-europe-west,2412,49,143,1651,0,541
HT4BTJT00078,compute-europe-west,2609,14,343,1613,1,557
HT4AVJT02309,joaquim-MS-7996,1452,12,58,6,0,1370
HT4BTJT00078,joaquim-MS-7996,2643,64,37,1150,0,1331
HT4APJT01039,joaquim-MS-7996,3683,53,37,2264,0,1319
HT4BTJT00078,joaquim-MS-7996,3881,31,61,2382,0,1337
HT4APJT01039,joaquim-MS-7996,4075,27,40,2616,1,1344
HT4BTJT00078,compute-europe-west,860,64,222,2,0,561
HT4BTJT00127,compute-europe-west,998,34,180,234,1,542
HT4BTJT00078,compute-europe-west,807,25,180,2,0,545
HT4BTJT00127,compute-europe-west,1196,49,210,371,1,545
HT4BTJT00127,compute-europe-west,1521,35,98,837,1,543
HT4APJT01039,compute-europe-west,947,55,334,2,0,553
HT4AVJT02309,compute-europe-west,1387,21,261,436,0,551
HT4BTJT00078,compute-europe-west,1728,26,136,943,1,539
HT4BTJT00078,compute-europe-west,2072,29,139,1297,1,538
HT4AVJT02309,compute-europe-west,2316,48,131,1586,0,548
HT4BTJT00078,compute-europe-west,2643,25,186,1795,1,554
HT4APJT01039,joaquim-MS-7996,1466,18,67,4,1,1368
HT4APJT01039,joaquim-MS-7996,2756,36,30,1337,6,1336
HT4BTJT00127,compute-europe-west,1789,34,225,972,0,551
HT4AVJT02309,joaquim-MS-7996,4692,55,64,3203,1,1352
HT4BTJT00078,joaquim-MS-7996,3328,54,51,1876,1,1337
HT4BTJT00127,joaquim-MS-7996,5720,25,39,4319,0,1324
