ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BTJT00127,8956,16,127,22,6,8779
HT4AVJT02309,HT4BTJT00127,16217,17,32,7413,1,8692
HT4BTJT00078,compute-europe-west,907,21,219,3,1,633
HT4BTJT00078,compute-europe-west,934,56,258,3,0,612
HT4BTJT00078,joaquim-MS-7996,1497,21,74,3,0,1341
HT4BTJT00127,joaquim-MS-7996,2432,9,76,1008,1,1337
HT4BTJT00078,compute-europe-west,994,64,310,3,0,606
HT4BTJT00078,joaquim-MS-7996,1507,28,97,3,1,1366
HT4BVJT00003,compute-europe-west,927,31,257,2,0,618
HT4BVJT00003,compute-europe-west,1535,63,226,556,0,621
HT4AVJT02309,compute-europe-west,1555,13,246,613,1,586
HT4BVJT00003,compute-europe-west,822,50,174,2,0,590
HT4AVJT02309,compute-europe-west,1018,26,169,239,0,580
HT4BVJT00003,compute-europe-west,806,69,138,2,0,584
HT4BTJT00127,joaquim-MS-7996,1451,8,54,6,1,1362
HT4BTJT00127,compute-europe-west,764,10,168,2,1,582
HT4BTJT00127,compute-europe-west,842,8,220,3,0,609
HT4BVJT00003,compute-europe-west,827,12,216,2,1,592
HT4BTJT00127,compute-europe-west,874,8,259,3,0,592
HT4BTJT00078,compute-europe-west,841,27,221,3,0,589
HT4BTJT00078,compute-europe-west,887,21,169,2,1,589
HT4AVJT02309,compute-europe-west,916,14,284,2,1,587
HT4AVJT02309,compute-europe-west,944,53,284,2,1,600
HT4BTJT00078,compute-europe-west,1314,25,305,308,1,608
HT4AVJT02309,compute-europe-west,1604,17,251,655,0,591
HT4BTJT00127,compute-europe-west,2077,54,178,1230,0,590
HT4BTJT00078,compute-europe-west,2447,32,126,1659,0,586
HT4AVJT02309,compute-europe-west,2613,27,249,1684,1,590
HT4AVJT02309,compute-europe-west,1318,24,129,586,0,573
HT4BTJT00127,compute-europe-west,888,46,226,2,0,604
HT4BTJT00078,compute-europe-west,1357,28,178,564,1,577
HT4BTJT00078,joaquim-MS-7996,1441,8,60,6,1,1364
HT4BTJT00127,compute-europe-west,1225,22,174,349,0,609
HT4AVJT02309,compute-europe-west,933,19,212,137,0,570
HT4BTJT00078,compute-europe-west,835,29,208,2,1,588
HT4BTJT00078,compute-europe-west,1219,21,179,347,0,576
HT4AVJT02309,compute-europe-west,1576,29,250,733,0,562
HT4AVJT02309,compute-europe-west,1465,26,247,583,0,603
HT4AVJT02309,compute-europe-west,895,6,286,3,0,589
HT4BTJT00127,compute-europe-west,1349,12,714,3,0,619
HT4BTJT00078,compute-europe-west,837,26,214,3,0,592
HT4AVJT02309,compute-europe-west,896,27,249,45,0,572
HT4BVJT00003,compute-europe-west,802,22,177,2,0,568
HT4BTJT00078,compute-europe-west,1002,57,264,2,1,592
HT4BVJT00003,compute-europe-west,900,16,252,2,0,598
HT4BTJT00078,compute-europe-west,902,31,174,3,0,611
HT4BVJT00003,compute-europe-west,856,18,254,2,0,584
HT4BVJT00003,compute-europe-west,824,28,217,2,0,570
HT4BTJT00078,compute-europe-west,1107,22,329,159,0,597
HT4BVJT00003,compute-europe-west,1082,15,173,279,0,572
HT4BTJT00078,compute-europe-west,1019,22,295,90,0,603
HT4AVJT02309,compute-europe-west,1045,26,172,246,1,599
HT4BTJT00127,compute-europe-west,1431,52,343,432,0,600
HT4BVJT00003,compute-europe-west,815,10,213,2,1,587
HT4BTJT00127,compute-europe-west,1013,47,347,2,0,593
HT4AVJT02309,compute-europe-west,1508,16,201,717,0,563
HT4BTJT00127,compute-europe-west,962,15,89,209,0,571
HT4BTJT00078,compute-europe-west,838,23,216,2,1,588
HT4BTJT00127,compute-europe-west,941,63,219,2,0,612
HT4BTJT00078,compute-europe-west,866,22,207,2,1,573
HT4AVJT02309,compute-europe-west,908,18,201,2,0,577
HT4BTJT00127,compute-europe-west,982,32,308,3,0,631
HT4BTJT00078,compute-europe-west,1338,47,258,306,0,613
HT4BTJT00078,compute-europe-west,1810,22,326,831,0,627
HT4BTJT00127,compute-europe-west,2277,71,233,1352,0,606
HT4BVJT00003,compute-europe-west,2018,51,267,1085,0,583
HT4BVJT00003,compute-europe-west,2534,52,315,1583,0,591
HT4BTJT00127,compute-europe-west,957,14,260,2,0,597
HT4AVJT02309,compute-europe-west,1405,18,243,536,0,589
HT4BVJT00003,compute-europe-west,1840,48,175,1014,1,595
HT4BVJT00003,compute-europe-west,945,63,272,2,0,604
HT4AVJT02309,compute-europe-west,905,16,244,3,0,601
HT4BVJT00003,compute-europe-west,885,43,260,2,0,572
HT4BTJT00078,compute-europe-west,818,19,208,2,0,585
HT4AVJT02309,compute-europe-west,1385,26,288,491,0,575
HT4BVJT00003,compute-europe-west,808,8,209,2,1,577
HT4BTJT00127,compute-europe-west,787,29,177,2,0,578
HT4BTJT00127,compute-europe-west,805,27,173,2,0,579
HT4BVJT00003,compute-europe-west,879,13,252,2,1,595
HT4BVJT00003,compute-europe-west,821,24,216,1,1,569
