ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BTJT00078,9601,10,439,15,7,9169
HT4BVJT00189,HT4BTJT00078,17079,24,426,7662,4,9017
HT4BTJT00078,HT4BTJT00127,7884,27,993,30,6,6867
HT4BTJT00078,joaquim-MS-7996,2133,11,330,18,6,1678
HT4BTJT00127,joaquim-MS-7996,2139,11,341,154,1,1627
HT4BTJT00078,joaquim-MS-7996,2064,11,296,12,1,1736
HT4BVJT00003,joaquim-MS-7996,3621,24,803,1126,2,1686
HT4BVJT00003,joaquim-MS-7996,5370,53,823,2719,2,1679
HT4BVJT00189,joaquim-MS-7996,6287,69,397,4172,1,1643
HT4BTJT00078,joaquim-MS-7996,7442,6,194,5613,1,1631
HT4BTJT00078,joaquim-MS-7996,8477,54,358,6207,1,1775
HT4BTJT00127,HT4BTJT00127,9293,49,94,19,8,9157
HT4BVJT00003,HT4BVJT00003,7093,14,101,13,6,6992
HT4BVJT00189,HT4BVJT00189,9138,29,101,14,5,9023
HT4BTJT00127,HT4BTJT00127,17995,6,74,8740,13,9195
HT4BTJT00127,joaquim-MS-7996,7858,27,593,5577,2,1659
HT4BTJT00078,joaquim-MS-7996,7138,48,373,5034,1,1649
HT4BVJT00003,HT4BVJT00003,10050,21,116,1094,7,8830
HT4BTJT00127,joaquim-MS-7996,6845,63,413,4676,2,1620
HT4BVJT00003,joaquim-MS-7996,7437,9,311,5475,1,1630
HT4BTJT00078,joaquim-MS-7996,8997,8,449,6842,2,1678
HT4BTJT00127,joaquim-MS-7996,7026,19,426,4836,2,1719
HT4BVJT00189,joaquim-MS-7996,5346,45,412,3247,3,1649
HT4BVJT00189,joaquim-MS-7996,6136,16,316,4187,1,1619
HT4BVJT00189,joaquim-MS-7996,7126,16,424,5039,2,1646
HT4BVJT00003,joaquim-MS-7996,8442,10,426,6318,2,1638
HT4BTJT00127,joaquim-MS-7996,9342,20,345,7257,2,1689
HT4BVJT00189,joaquim-MS-7996,10392,14,294,8372,1,1623
HT4BTJT00127,joaquim-MS-7996,11729,11,334,9648,2,1635
HT4BVJT00189,HT4BVJT00189,9302,10,100,11,4,9177
HT4BTJT00078,HT4BTJT00127,9561,47,510,19,6,8958
HT4BTJT00078,HT4BTJT00078,8887,8,106,28,5,8745
HT4BVJT00189,joaquim-MS-7996,6749,17,355,4607,1,1620
HT4BTJT00078,joaquim-MS-7996,7558,49,273,5581,1,1654
HT4BTJT00127,joaquim-MS-7996,8882,15,748,6496,2,1623
HT4BVJT00189,joaquim-MS-7996,12103,19,1004,9424,2,1634
HT4BTJT00078,joaquim-MS-7996,10204,8,663,7890,1,1650
HT4BVJT00189,compute-europe-west,1803,37,614,6,3,1131
HT4BTJT00078,HT4BTJT00127,9505,8,551,18,7,8885
HT4BTJT00078,compute-europe-west,1904,22,815,7,3,1052
HT4BVJT00189,compute-europe-west,2440,9,1097,271,2,1041
HT4BTJT00078,joaquim-MS-7996,4511,7,280,2536,2,1674
HT4BVJT00189,joaquim-MS-7996,4764,45,433,2630,2,1640
HT4BTJT00078,joaquim-MS-7996,4626,14,378,2586,1,1637
HT4BVJT00189,joaquim-MS-7996,5320,16,369,3214,2,1645
HT4BVJT00003,joaquim-MS-7996,6591,18,377,4492,2,1640
HT4BVJT00003,joaquim-MS-7996,5917,14,373,3834,1,1661
HT4BTJT00127,joaquim-MS-7996,6420,63,387,4285,1,1635
HT4BTJT00078,compute-europe-west,1715,22,581,4,1,1017
HT4BTJT00127,joaquim-MS-7996,5958,22,286,4003,1,1628
HT4BTJT00127,joaquim-MS-7996,6823,23,352,4805,2,1638
HT4BTJT00127,joaquim-MS-7996,9850,81,670,7469,2,1634
HT4BTJT00127,joaquim-MS-7996,8069,10,550,5847,2,1649
