ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00250,HT4CWJT00250,9123,52,29,14,2,9030
HT4BVJT00003,HT4BVJT00003,6816,40,37,15,4,6730
HT4BVJT00189,compute-europe-west,891,61,238,3,0,543
HT4BTJT00127,HT4BTJT00127,8963,49,51,17,2,8848
HT4AVJT02309,HT4AVJT02309,8677,24,23,18,3,8618
HT4BVJT00003,HT4BVJT00003,13375,8,9,4728,1,8631
HT4CWJT00980,compute-europe-west,805,41,189,2,1,555
HT4CWJT00250,HT4CWJT00250,14910,13,60,6131,5,8699
HT4CWJT00250,compute-europe-west,891,16,240,2,0,552
HT4CWJT00980,joaquim-MS-7996,1456,15,53,3,0,1371
HT4BTJT00078,compute-europe-west,1003,32,260,2,1,545
HT4CWJT00980,joaquim-MS-7996,1710,58,62,137,1,1361
HT4APJT01039,joaquim-MS-7996,2586,17,77,1129,1,1348
HT4CWJT00980,joaquim-MS-7996,3877,25,61,2389,1,1356
HT4BTJT00127,compute-europe-west,769,10,166,2,0,568
HT4BTJT00078,compute-europe-west,898,32,256,40,0,563
HT4BTJT00127,compute-europe-west,885,9,205,44,0,545
HT4BTJT00127,compute-europe-west,994,8,134,260,0,576
HT4CWJT00980,joaquim-MS-7996,2160,20,100,664,1,1353
HT4BVJT00003,compute-europe-west,1236,27,225,433,0,549
HT4BVJT00189,compute-europe-west,1764,19,228,959,0,552
HT4BVJT00189,compute-europe-west,2250,14,237,1434,0,559
HT4AVJT02309,compute-europe-west,2427,7,201,1432,0,535
HT4BVJT00189,compute-europe-west,1100,58,182,266,0,552
HT4AVJT02309,joaquim-MS-7996,1484,7,29,5,1,1434
HT4BTJT00078,joaquim-MS-7996,2224,10,62,706,0,1356
HT4BVJT00189,compute-europe-west,773,59,135,2,0,550
HT4BTJT00078,joaquim-MS-7996,2789,70,35,1322,0,1356
HT4APJT01039,joaquim-MS-7996,1522,13,50,5,1,1377
HT4APJT01039,joaquim-MS-7996,2183,18,29,786,0,1339
HT4APJT01039,joaquim-MS-7996,2322,23,41,895,0,1355
HT4BTJT00127,compute-europe-west,971,15,307,3,0,555
HT4CWJT00250,compute-europe-west,1109,67,212,231,0,545
HT4BTJT00078,compute-europe-west,845,10,250,3,0,576
HT4CWJT00250,compute-europe-west,1171,23,169,429,0,542
HT4BVJT00189,compute-europe-west,1710,27,271,852,0,559
HT4BTJT00127,compute-europe-west,2104,15,180,1368,0,531
HT4BTJT00127,compute-europe-west,2316,43,144,1587,0,540
HT4APJT01039,joaquim-MS-7996,1507,50,85,3,0,1366
HT4CWJT00250,compute-europe-west,2379,44,293,1469,0,549
HT4CWJT00980,compute-europe-west,2210,24,222,1329,0,537
HT4CWJT00980,compute-europe-west,1695,18,177,937,0,553
HT4AVJT02309,compute-europe-west,932,28,256,100,1,547
