ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4AVJT02309,9995,20,536,232,3,9124
HT4BTJT00030,HT4BTJT00030,7107,49,117,20,6,6945
HT4BTJT00127,HT4BTJT00127,7053,32,154,20,7,6866
HT4CWJT00250,joaquim-MS-7996,2179,18,420,7,4,1719
HT4BTJT00078,joaquim-MS-7996,3435,19,313,1432,2,1648
HT4BTJT00030,HT4BTJT00030,14315,46,118,5020,9,9160
HT4AVJT02309,joaquim-MS-7996,4346,14,715,1972,2,1646
HT4BVJT00003,joaquim-MS-7996,5878,9,961,3258,1,1643
HT4BVJT00003,joaquim-MS-7996,7162,13,576,4822,1,1649
HT4AVJT02309,joaquim-MS-7996,7736,8,231,5760,1,1699
HT4APJT01039,HT4APJT01039,9293,16,84,18,5,9196
HT4CWJT00980,compute-europe-west,1826,15,627,13,3,1108
HT4CWJT00250,compute-europe-west,1512,14,529,5,2,960
HT4APJT01039,HT4APJT01039,15648,56,110,6405,10,9099
HT4CWJT00250,HT4CWJT00250,9333,15,166,25,11,9143
HT4CWJT00250,compute-europe-west,1465,8,458,5,1,986
HT4AVJT02309,joaquim-MS-7996,4703,63,254,2705,1,1668
HT4BTJT00030,compute-europe-west,3536,15,2511,6,2,994
HT4BTJT00127,HT4BTJT00127,7084,52,79,27,6,6927
HT4BTJT00127,HT4BTJT00127,16288,45,130,6879,6,9266
HT4APJT01039,HT4CWJT00250,17657,7,671,7397,12,9496
HT4BTJT00078,joaquim-MS-7996,5723,51,341,3589,1,1629
HT4AVJT02309,joaquim-MS-7996,6636,43,188,4753,0,1635
HT4APJT01039,joaquim-MS-7996,7692,22,471,5528,2,1672
HT4AVJT02309,joaquim-MS-7996,9198,7,451,7034,1,1638
HT4BTJT00127,HT4BTJT00127,23247,8,132,14075,15,9056
HT4CWJT00980,compute-europe-west,5893,19,4797,16,3,964
HT4BTJT00078,joaquim-MS-7996,10313,9,407,8163,2,1656
HT4CWJT00980,compute-europe-west,6076,86,4102,965,1,917
HT4CWJT00980,HT4CWJT00980,9898,14,191,27,7,9675
HT4AVJT02309,joaquim-MS-7996,7912,7,376,5883,2,1643
HT4BTJT00127,joaquim-MS-7996,7933,28,433,5792,2,1647
HT4CWJT00980,compute-europe-west,2808,27,1765,10,2,914
HT4BTJT00127,compute-europe-west,2569,17,820,817,1,889
HT4AVJT02309,joaquim-MS-7996,8162,50,424,6029,1,1659
HT4APJT01039,HT4APJT01039,14144,16,101,4115,6,9924
HT4CWJT00250,compute-europe-west,2505,16,591,975,1,918
HT4BVJT00003,compute-europe-west,2995,11,1044,1017,1,910
HT4BVJT00003,HT4BVJT00003,9524,26,96,17,6,9413
HT4CWJT00250,compute-europe-west,2164,47,532,695,1,886
HT4CWJT00250,compute-europe-west,2753,30,398,1433,2,884
HT4CWJT00980,compute-europe-west,3430,16,775,1610,2,923
HT4BVJT00003,compute-europe-west,1922,45,675,276,1,904
HT4BTJT00078,joaquim-MS-7996,2846,30,297,822,2,1678
